Probe_ID	Entrez_Gene_ID
MYCBP2_9273	290447
BCAN_32892	25393
NPRL2_9354	363138
NVL_9386	289323
SLC25A24_9855	310791
TP53INP2_32755	362246
IFITM2_8870	114709
CYP1A2_8416	24297
SLC5A5_32559	114613
CTSS_8404	50654
PHKA1_9471	64561
GDF9_33177	59304
PSMD2_9598	287984
THRSP_33314	25357
STAT3_9959	25125
GJC1_32338	363677
IARS_33171	306804
TCFL5_9994	311715
WIPF2_10177	360620
KIRREL3_33279	315546
IDI1_8863	89784
PRLR_9571	24684
FMO3_8654	84493
PLAUR_33147	50692
CKMT2_33148	688698
FAM55B_32626	500991
AGMAT_33108	298607
SPR_9930	297402
PTGER2_32472	81752
CLU_32773	24854
SERPINB9_32899	361241
CYP17A1_32365	25146
FOLR2_32628	293154
LOC100134871_32288	103694856
COG4_8348	361407
C2CD2L_8174	300666
CENPK_8288	294712
LSR_9162	64355
ABCG2_32656	312382
RGD1307603_9684	293656
DLGAP5_8475	289997
VIM_10153	81818
RB1_9662	24708
ICAM1_8859	25464
PIGX_9477	288041
C5AR1_33023	113959
DMGDH_8476	245961
HEATR1_8791	361262
CPT1B_8373	25756
CD53_8250	24251
RAD51C_9650	497976
SLCO1C1_32799	84511
DUSP22_8503	361242
KIF22_8963	293502
ACBD3_7962	289312
HIST1H2BD_33231	361247
NOS1_32409	24598
RGD1566401_32721	500717
PTGS1_32494	24693
TUBG1_10107	252921
CHAC1_8301	362196
SLC17A2_33216	306950
RAC2_9646	366957
LIPC_9005	24538
SLC40A1_9877	170840
USP7_10142	360471
FBXO22_32888	300724
TJP1_10025	292994
STEAP4_32408	499991
ETFDH_8575	295143
GNB2L1_8731	83427
HSD17B10_8831	63864
ABCG8_7948	155192
TXLNA_10110	682457
HRAS_33089	293621
LOC100362572_32922	103693261
PCBD1_9435	29700
PLCB3_9496	29322
GRB7_8748	84427
INTS3_8907	361988
TWF2_10109	684352
RGS2_9701	84583
TRMT61A_10089	103692719
S100A6_9773	85247
GHR_8706	25235
PIK3R1_32562	25513
ADIPOQ_32429	246253
FKBP1A_8648	25639
NUP93_9384	291874
TRAF6_10072	311245
BHMT_8143	81508
MGC109340_32287;ARXES2_33115	100360464
CYP4F4_32350	286904
RHEB_9704	26954
PSMB9_9592	24967
CD74_8252	25599
VCAM1_32349	25361
MT1A_9255	24567
KDM3A_8952	312440
VAV1_33194	25156
NCAPD2_9284	362438
VTN_10161	29169
BBS10_32397	500832
NDRG1_32364	299923
SLAMF9_32467	289235
ECSCR_32931	689248
MYL12A_33284	501203
CRP_8385	360395
EMILIN1_33056	298845
COX8B_32651	25250
SCN3B_33222	245956
VDAC2_10151	83531
AMBP_33085	25377
SATB1_9780	316164
IFI30_32493	290644
GSTZ1_8764	681913
B3GNT1_8122	100911750
CLDN7_8329	65132
ENOPH1_8559	305177
ECHS1_8519	100911186
IFNAR1_8872	288264
UPB1_33048	116593
CKS2_8325	498709
P4HTM_9408	301008
RPL35_32720	296709
GPX3_33214	64317
RELA_32444;NOS2_32920	309165
CYP4A1_33111	50549
CDCA7_32988	311742
RPF2_9724	294436
PSMG1_9606	288236
APOC3_32553	24207
DAO_8437	114027
CCL7_32689	287561
PIGZ_32744	303872
NSG1_32675	25247
ADCK3_7987	360887
TCAP_32842	688173
PCNA_9442	25737
DDX18_8453	308490
RHOV_32970	171581
CALU_8191	64366
ASAH1_8089	84431
DUSP11_8501	103690006
ARCN1_8074	300674
DHRS7_8469	100364391
FGB_32596	24366
DYNLRB2_33097	361415
MPC2_33219	100359982
CYP2C13_8419	171521
PPP2R5A_9549	312754
CHERP_8306	290614
RT1-DMB_32359	100909630
CHSY1_8317	292999
OXSR1_9404	316064
ATAD5_32790	303348
CCL21_33005	298006
PIGB_9476	315807
EGR1_8533	24330
SYT5_33285	54309
TNFRSF1A_32996	25625
ECT2_8523	361921
CYTH1_8433	116691
CENPW_32846	689399
GCK_8697	24385
IGHMBP2_8884	29532
RT1-A2_9758;RT1-A2_33098;RT1-A2_9757	24974
MYL9_9276	296313
ACO2_7967	79250
CSNK1E_8394	58822
CTSD_8403	171293
BMP4_8153	25296
HES1_8796	29577
PRKCD_9567	170538
HBA2_32600	360504
SPARC_33251	24791
SLC6A3_33188	24898
EDEM1_8524	297504
STAC3_9953	362895
SCG3_33017	116635
AMACR_8038	25284
BAX_8132	24887
LAP3_8984	289668
CYP2D5_32296	286963
CLTB_8336	116561
LOC100911784_9090	100911784
STMN2_32640	84510
PTK2B_9614	50646
GJA1_8709	24392
EIF4E_32598	117045
NEUROD1_33308	29458
DDIT4_8450	140942
ATP1A1_32617	24211
CENPT_32437	307805
GRIN2C_33254	24411
BAI3_32984	301309
CCL2_8218	24770
PLEKHM1_9500	303584
MGP_33209	25333
PTPRB_32629	314843
TPM2_32337	500450
RGD1565355_33245	103690020
ABCC2_32541	25303
CXCL1_8407	81503
AATF_32691	114512
NCOA1_9289	313929
CYP4A2_8425;CYP4A2_32530	24306
ARNT2_8085	25243
USP6NL_10141	291309
TPD52L2_10067	296480
MDM2_9214	314856
ANXA5_32426	25673
TRIB3_10079	246273
DUSP4_8505	60587
HTR2C_32686	25187
TGFBR2_10008	81810
DENND2D_8461	310772
ENPP3_8562	54410
BCL2_8135	24224
CDH1_8262	314642
CALCOCO1_32442	246047
MTMR2_33004	315422
FCER1A_32292	25047
DUSP6_8506	116663
FPGS_8664	687266
CPSF4_8372	304277
CAST_8205	266806
DNAJC15_8483	290370
PLIN2_9502	298199
DPH2_8490	298452
IYD_8933	308129
PTGS2_9612	29527
PDIA5_9451	360722
ANGPTL3_8045	502970
CSK_8392	315707
NR4A1_9362	79240
KLHL21_8971	313743
LOC688090_9144	688090
CRYAB_33054	25420
COL3A1_8354	84032
DAPK1_32687	306722
SNX6_9913	362738
CCNG1_32302	25405
APOC1_8063	25292
PRDX1_32791	117254
HSP90AA1_8838	299331
HSPA8_8845	689955
USP1_10136	313387
CKAP2_8324	306575
AQP7_8072	29171
TRAPPC3_10075	362599
SEZ6_9819	192247
C4A_8176	24233
FAM105A_32634	310190
CGRRF1_8300	116679
RGD1564614_9695	498241
TUBB5_10105	29214
HIST1H2BF_33070	306969
KAZALD1_32890	293997
LOC679818_32331	679818
CRY1_8386	299691
LOC100911946_9096	100911946
PCM1_9441	81740
DRAP1_8496	293674
RPL19_9731	81767
TYK2_32670	100361294
TMSB10_32772	50665
NR3C1_9361	24413
MCUR1_32908	291034
PARP1_9425	25591
CYP19A1_32995	25147
PVRL2_33014	308417
AP2M1_8054	116563
THY1_33010	24832
RELB_9675	100360982
MMP9_32531	81687
IFIT3_8868	309526
ORC6_9399	291927
MT2A_9256	100362623
DEGS2_32528	314438
SULT1B1_32942	64305
FAM20B_8600	304885
EZH2_8584	312299
NFKB1_9305	81736
PLAC8_32356	360914
SELE_32346	25544
GATA3_8690	85471
RAB11FIP2_9636	308003
CISD1_8322	294362
HP_8823	24464
CES1D_32914	113902
DFFB_8464	84359
TSPAN3_10095	300733
HAT1_8780	296501
MXRA8_32384	313770
DDX21_8454	685025
APON_8066	304603
CD55_33080	64036
LGALS3BP_8990	245955
EIF4G1_8551	287986
APOA2_33095	25649
UGT2B7_33032	286989
TAX1BP3_32829	360564
AURKB_8117	114592
PIK3C3_9481	65052
REG3B_9674	24618
PPP1R3B_9545	192280
TTR_10102	24856
SCNN1G_33158	24768
RXRA_32828	25271
JUNB_8939	24517
CDO1_8275	81718
TRAP1_10074	287069
CTPS1_32924	313560
PTPN1_9616	24697
CLK1_32739	301434
CPSF4L_32833	287799
KIF11_33013	171304
PEX11A_9460	85249
SPAG7_9922	303260
CYP51_8429	25427
ADAM10_7983	29650
ABCF3_7946	287982
CTNND1_8401	311163
SOD3_33241	25352
TINAG_33073	300846
DCP1B_33178	500305
RT1-A3_9759	309627
PGR_32824	25154
GALM_32658	313843
NAT1_33063;SLC38A3_9873	252919
POLR1E_9523	313245
APLN_33320	58812
LOC102551815_32699;GNB1_8730	24400
MAPKAPK5_9195	498183
CYP11B2_32978	353498
UNG_32960	304577
MGST1_33167	171341
EGF_8530	25313
MCM4_9208	29728
DCC_32537	25311
CORO1A_8364	155151
DHDDS_8467	298541
TLE1_10026	362533
APBB2_8056	305339
C1QC_8170	362634
CYP2A1_32717	24894
ATP6V1D_8113	299159
MRPS16_9249	688912
RFX5_9681	310659
BID_8145	64625
F9_8588	24946
HPS5_8825	308598
CENPI_32983	25448
BLCAP_8149	171113
IRS1_33296	25467
GPATCH8_8741	685233
SMTNL1_33008	311167
INPP4B_8905	116699
C1S_8172	192262
LOC100910898_33247	299053
RTP4_9766	360733
AHNAK_32407	191572
SERPINA6_32325	299270
GLRX_8715	64045
TBC1D9B_9985	360520
NOS3_9345	24600
GADD45B_8679	299626
WDR77_32860	310769
LGALS8_8992	116641
UHRF1_10132	316129
NHP2_32664	103690013
F12_8587	306761
ACOT4_7971	681337
GRWD1_8753	308592
SLC22A7_9847	89776
MFSD10_9223	305449
NALCN_32735	266760
ALDH1L1_32662	64392
GNL3_8735	290556
FCGBPL1_33220	292746
RBM15B_9665	315988
B4GALNT1_8123	64828
FERMT3_32542	309186
SLC13A5_9837	266998
UST5R_10143	171398
IGG-2A_33162	367586
PGM1_9466	24645
CYP11A1_32785	29680
PARP14_9427	303903
PRKAR2B_33052	24679
EBNA1BP2_8513	114021
CRYZ_8389	362061
UBE2J1_10122	297961
A2M_7932	24153
NLRX1_33261	315599
LOC681410_33126	681410
ADM_33168	25026
HSPB1_8847	24471
PRSS23_9581	308807
SLC22A5_9846	303140
SLC20A1_9844	81826
LOC100912608_9111	100911668
CLEC7A_32927	502902
TNFSF10_32297	246775
LOC100909840_9050;PFN2_9464	100909840
HERC6_8794	362376
PATL1_9431	361736
MYLPF_32295	24584
SEL1L_32748	314352
COL6A3_33029	367313
PAN2_9420	408200
CLEC4A1_32387	362430
PLA2G15_9492	361401
ACY3_32489	293653
HSPA4_8843	266759
TTC17_32457	311224
VDAC1_32318	83529
TSKU_10094	308843
FYB_32909	499537
EXOSC5_32543	308441
CCL5_32784	81780
CBLB_8207	171136
IKBKE_8890	363984
CFI_32585	79126
TTK_32727	315852
RALGDS_9656	29622
RT1-CE11_32928	683761
KLHL9_8972	313348
AHR_32572	25690
SERTAD1_33143	361526
KIT_8968	64030
LOC100912041_9098	100912041
NRAS_9363	24605
CCP110_8230	361634
GAA_8675	367562
KLHDC2_8970	299113
PSMB10_9588	291983
BAMBI_8130	83837
VEGFA_32415	83785
TFF1_33246	117270
FST_33195	24373
PIK3C2A_9479	361632
CYP3A23/3A1_33326;CYP3A2_32374	266682
ST7_9952	296911
ABCG5_7947	114628
SPRR1A_33122	499660
MEF2C_9217	499497
RBM6_9668	315997
TSLP_32811	688621
INPP1_8904	316376
MTFR1_9260	311403
C8G_8182	296545
YTHDF1_10190	296467
GDNF_33134	25453
ITGB1_8925	24511
GZMBL2_32731	103690372
NUSAP1_9385	311336
MAPK1IP1L_9189	361028
NUP88_9383	113929
TM7SF2_10031	293688
EPHB2_8566	313633
PDS5A_9454	305343
PLSCR3_9509	360549
FMO1_32787	25256
NOD1_32821	500133
ATF3_8095	25389
F2R_32746	25439
SYNPO2L_32441	305675
TUBB3_32820	246118
FGA_8632	361969
LOC100911867_9094	100911867
ACSM3_7976	24763
HCK_8783	25734
ISG20_33257	293052
SEPW1_32392	25545
IL11_32565	171040
NISCH_9318	306255
TECR_32583	191576
FBXO7_8621	366854
RPS27L_33046	681429
EEF1E1_8529	291057
CTCF_32905	83726
SULT1C2_33309	171072
NET1_9297	307098
EXT1_8582	299907
TH_10010	25085
STAT1_9958;STAT1_9957;STAT1_32366	25124
LOC100911750_32851	293667
DERA_8462	690945
PAK1_9416	29431
IGTP_8887	303163
SDC2_9793	25615
EPHA3_8565	29210
LOC689064_32448	103694857
SAPCD2_9777	680531
RRM2B_33011	299976
CD48_8249	245962
SERPINA3C_32925	24794
PTTG1_9623	64193
SMARCA4_9894	171379
CIAPIN1_8319	307649
GSK3B_8754	84027
TNNT1_33317	171409
ADI1_7994	298934
