MSigDBID	MSigDBName	Entrez_Gene_ID
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	24517
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	81503
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	25389
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	25493
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	683206
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	29527
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	81503
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	294235
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	361226
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	29538
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	114105
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	366960
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	309452
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	299339
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	25433
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	58954
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	78971
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	50692
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	79426
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	25464
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	24516
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	25148
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	24494
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	170929
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	171071
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	313587
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	24787
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	54278
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	24493
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	100360982
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	687813
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	29619
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	114856
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	116596
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	304063
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	25584
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	24771
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	24330
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	24498
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	24835
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	363630
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	81736
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	60584
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	689388
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	25445
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	79240
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	29146
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	116637
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	29244
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	287562
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	266766
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	311406
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	293692
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	494344
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	305584
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	117279
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	362491
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	316241
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	58853
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	29380
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	498256
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	353218
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	297902
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	25112
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	245920
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	83722
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	79431
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	114090
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	89829
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	296600
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	84023
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	171109
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	60325
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	114519
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	24617
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	78969
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	310467
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	309165
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	60371
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	60665
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	65161
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	84397
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	25406
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	29200
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	25619
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	24577
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	500590
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	29517
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	363599
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	297508
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	25446
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	286988
