ID	Plate1-103	Plate3-439	Plate2-323	Plate9-218	Plate3-432	Plate2-330	Plate9-219	Plate3-438	Plate11-214	Plate1-102	Plate3-435	Plate3-437	Plate11-211	Plate9-220	Plate1-110	Plate1-104	Plate3-434	Plate3-436	Plate11-217	Plate4-433	Plate1-105	Plate2-324	Plate1-108	Plate3-440	Plate1-106	Plate9-213	Plate2-329	Plate1-107	Plate2-321	Plate2-326	Plate3-431	Plate2-325	Plate2-328	Plate4-327	Plate2-322	Plate1-101
Dose	0	0	0	0	8	8	8	8	16	16	16	16	31.25	31.25	31.25	31.25	62.5	62.5	62.5	62.5	125	125	125	125	250	250	250	250	500	500	500	500	1000	1000	1000	1000
A1BG_7930	0.147061	0.698849	0.756107	0.901922	0.383417	0.929549	1.06365	0.927983	0.679373	0	1.0272	1.10826	0.600322	1.52038	0.294809	0.0500399	0.143192	1.39777	0.385085	0.143192	8.0846	0.481672	0.355498	0.612444	0	0.824881	1.8402	0	1.22804	1.2131	1.63001	0.186091	0.500912	0.186091	0.750566	0
A2M_7932	4.58423	3.20725	3.81901	2.8206	4.02412	3.4807	3.95026	2.99854	4.41134	4.24385	3.71406	3.31706	4.44472	3.50604	3.27416	2.67611	3.43811	3.58293	3.51751	3.96802	3.13984	3.59027	3.31335	3.37957	4.21903	3.23178	4.46135	3.65109	3.03888	3.60116	4.63752	3.56765	3.95989	3.12121	3.62708	3.95584
AADAC_7934	4.7128	5.34703	5.14776	4.9877	5.15054	5.26956	5.00631	5.05359	5.91928	5.08786	5.07451	5.03554	5.20151	5.12341	4.97678	5.06731	5.17418	5.3911	5.20671	5.17301	5.70558	5.44661	5.32414	5.05698	5.10391	5.24693	4.88669	5.45433	5.32472	5.2815	5.44182	4.9492	5.16638	5.15048	5.27541	5.28823
AARS_7935	11.2386	11.0668	11.0415	10.9264	11.3282	11.1973	11.0664	10.9166	10.7348	10.6071	10.8769	11.1313	11.22	11.0142	10.9842	11.1483	10.7865	10.8331	11.1732	11.2531	11.3972	10.9003	11.0334	11.1694	11.2065	10.9884	11.3384	10.9321	11.0348	11.006	10.8666	11.178	10.855	10.9056	10.7715	10.5967
AASS_7936	8.37459	8.67623	8.30979	8.34015	8.5784	8.57659	8.33463	8.09784	8.42682	8.59109	8.19168	8.43293	8.38712	8.50918	8.07144	8.36137	8.48701	8.39274	8.15371	8.15449	8.27168	8.23542	8.25077	8.02244	7.84673	8.51783	8.52306	8.71391	8.39941	8.31188	8.20659	8.29986	8.32553	8.13924	8.11958	8.53241
AATF_32691	3.64549	3.42863	3.678	3.41229	3.65286	3.44164	3.24301	3.35767	4.05686	3.31632	3.47748	3.28338	3.56056	3.59708	3.5226	3.61782	3.00638	3.77057	3.47723	3.8294	3.95509	3.76521	3.41278	3.6631	3.42911	3.60719	3.76546	3.29885	3.55042	3.60254	3.79545	3.57553	3.60595	2.78403	3.49615	3.55274
ABAT_32557	7.03176	7.33092	7.18948	7.13646	7.07309	7.31058	7.03703	7.22893	7.32498	6.89368	6.94463	7.07408	7.28705	7.29309	7.06639	7.27448	7.14254	7.35105	7.00843	7.19872	7.2203	7.20051	7.20352	7.08521	7.29738	7.40867	7.30183	7.15701	7.04212	7.13768	7.11005	7.12577	7.208	6.91648	7.10677	7.19012
ABCB11_33142	7.05658	7.37817	7.19463	6.93002	7.03762	6.68402	7.00231	6.86365	7.19439	6.74596	7.43542	6.8523	6.86139	6.97237	7.26129	6.65352	7.13086	6.9833	7.17475	6.57632	7.22708	6.96517	6.8968	7.10245	7.32408	7.02585	7.19643	7.2945	7.24069	7.11188	7.33752	6.78861	7.32615	7.15357	7.03646	7.38465
ABCB1A_7938	3.51741	3.31141	3.14418	2.58075	3.40877	3.71932	2.3752	1.36239	2.51539	3.41358	2.56731	2.44944	3.58582	2.52382	3.23911	2.30319	2.80036	3.32573	2.17557	2.84043	2.91863	2.55385	1.76521	2.02809	1.61355	3.42863	1.36912	2.94061	3.34406	3.23314	3.14697	1.76817	3.35379	1.62639	3.12889	2.75562
ABCB1B_7939	0.271078	0	0.0872999	0.431658	0.235112	0.379761	0.116625	0.234543	0	0.233476	0	0.246373	0.483031	0.339093	0.687953	0.00299218	0.65562	0.987639	0.501129	0	0.310742	0.382881	0.00299218	0.248509	0.566782	0.833995	0.473288	0.503388	0.796945	0.42009	0.594258	0.384551	0.0872999	0.0872999	0.0872999	0.326402
ABCB6_7940	0.794757	0.592708	1.33823	0.902901	1.21862	0.832646	0.658608	0.821842	0.416437	0.163812	1.21863	0.689006	1.09695	0.719412	0.618288	0.96755	1.01388	1.40664	0.708457	0.523002	0.897616	0.448252	0.87145	0.693856	1.21692	0.74003	1.24876	0.959423	1.33744	0.934477	0.367641	0.844971	0.48057	0.392046	0.688432	0.937028
ABCC1_32904	1.77352	1.61249	1.64202	1.26378	1.46508	1.85905	1.3896	1.36669	1.55758	1.34233	2.17315	1.07296	2.14341	1.20219	1.92622	1.77137	2.13881	1.6417	2.34311	2.35359	1.40054	1.34667	1.17729	1.85751	2.02513	2.01224	1.88383	2.16435	1.7972	1.81858	1.7038	1.47381	2.26608	2.04091	1.25764	2.07983
ABCC2_32541	2.57159	3.34978	2.58155	2.7922	2.77945	2.79724	2.90363	2.53878	3.24993	2.93242	3.0804	2.60217	3.24402	2.57584	2.73713	2.38432	2.9688	2.55957	2.50896	2.70658	3.20652	2.81133	2.13569	2.21566	2.90197	2.84542	2.24996	3.1619	3.10434	3.0264	3.50217	2.81883	2.89593	2.75938	3.25839	3.47543
ABCC3_7941	2.08699	2.40064	2.41073	1.50034	1.74691	1.62373	1.61943	1.82438	2.02667	2.02031	2.91442	1.79652	2.15358	2.1607	2.41299	1.71778	2.11549	2.33209	2.9092	2.21947	3.70128	2.61539	1.36364	2.79725	2.20213	2.43198	2.56022	1.90075	2.844	1.6622	1.9186	2.14509	1.60019	2.40747	2.19676	2.18963
