ID	S4P1_C10	S4P1_D10	S4P1_B10	S4P1_A11	S4P1_F10	S4P1_G10	S4P1_H10	S4P1_E11	S4P1_C11	S4P1_D11	S4P1_B11	S4P1_G11	S4P1_A12	S4P1_F11	S4P1_H11	S4P1_D12	S4P1_B12	S4P1_C12	S4P1_E12	S4P2_D01	S4P1_H12	S4P1_F12	S4P1_G12	S4P2_F01	S4P2_H01	S4P2_G01	S4P2_E01	S4P2_G02	S4P2_F02	S4P2_D02	S4P2_E02	S4P2_B03	S4P2_H02	S4P2_C03	S4P2_A03
	0	0	0	0.075	0.075	0.075	0.075	0.156	0.156	0.156	0.156	0.3125	0.3125	0.3125	0.3125	0.625	0.625	0.625	0.625	1.25	1.25	1.25	1.25	2.5	2.5	2.5	2.5	5	5	5	5	10	10	10	10
ONECUT1_32438	7.72724359723242	6.04638435515726	6.3801404011521	7.09073177894835	6.24911788879378	5.87953535081543	7.17660611058863	6.14404523232133	7.06863352770863	4.87834288019944	6.57509214338905	6.07674160099395	6.66033906239461	3.93639645727734	4.56626164805256	5.95053966331092	6.7828489770786	6.20619225742472	6.74293830084874	5.26465941028163	6.17341332601547	5.38006571054662	6.71362964469349	4.79816823464301	5.63010387774834	5.07696242666299	4.79490388961195	6.64997087112025	6.8814572369468	7.7081310309712	5.20594354660436	5.86152008129375	5.55837184521999	4.83266879964996	5.96874583232373
PCSK6_9443	5.37181672813197	5.44229712049155	5.60041929264135	5.19077837658141	5.42527670312749	5.65046784655006	5.4464254552495	5.80004355893121	5.57020976043409	5.39447607443927	5.46041744314555	5.68530026750929	5.96664670056035	5.68541760640638	5.55983032837332	5.24032327340046	5.377397279169	5.53193289204273	5.46763892735898	5.38813579288367	5.25522069795342	5.67878757054944	5.30732733421448	5.20976445021731	5.00135210443217	5.73996926587979	5.77953447273531	5.58230524443447	5.60086469484875	5.65611205254537	5.19077148480517	5.44790324728949	5.65710494502893	5.51850454401432	4.97466512853359
ACTC1_32706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.426013826409418	0	0	0	0	0	0	0	0.433052486605747	0	0.283072115932129	0	0	0.382327988228898	0	0
NEFL_9295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.259799447700094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYBPC2_33202	0	0.542782753850089	0.426883351278297	0	0	0	0.580539453412771	0	0	0	0	0.415924618063461	0	0	0	0	0	0	0.36551355615929	0	0	0	0.598965060607559	0.451465249537323	0	0.256963440712113	0.497416060995729	0	0.329904055835976	0.283072115932129	0	0	0	0	0.455497521588004
SYNPO2L_32441	0	0.296768514502051	0	0	0	0	0	0	0	0	0	0	0	0	0	0.316533764211639	0	0	0	0	0	0	0.598965060607559	0	0	0	0	0	0	0	0	0	0	0	0
RPF2_9724	4.79967635512793	5.12108587749617	5.0453706856307	5.38295468210522	4.9603592764153	5.22699021770648	5.03148923122556	5.07269085573698	5.3132356226545	4.86813426181495	5.49502823018984	5.21290287055395	5.12871929274435	5.01709529044885	5.05145463537289	5.37435295466755	5.35291506390237	5.33810929469918	5.47700904927866	5.49089375714498	5.13952220032659	4.97652985224825	5.80903805006003	4.89041808735388	5.0879143889319	5.07696242666299	4.51217591773972	4.82307645159331	5.03822953094894	5.28307192315824	5.07159062536611	5.0928019878657	5.11612444662906	5.10508155525344	5.05741725708347
LGALS1_33266	3.41219044465662	2.97300430764204	3.58717791187339	2.0592713916989	3.3430424736313	3.0250608590343	3.74256762078516	2.75198875230621	2.91469891897867	2.67628922896807	4.11297704354058	2.66595102894107	2.97039092998487	2.76004742391965	2.41707464521176	3.26103749873566	2.93446725245366	2.92128282065685	2.24744817310523	3.84770991806156	2.72661845108693	3.09564204769369	2.35530868526369	2.10663482687463	2.57327671794267	2.45525520158283	3.73882047119523	3.43328515866022	2.78855729813036	2.22814575811476	3.35995982923317	3.33766353275866	3.29276112892076	3.17587333575896	3.30890465374441
PLAC8_32356	5.94206295830264	5.81430296433415	6.16162350790524	5.33523677996767	6.12113405599659	5.57286164650417	6.25365015581776	5.78280221356351	6.54000138537835	6.29196905703208	6.23969681450314	5.94990674626005	5.69147375830949	5.02823728955913	5.6532911678608	6.2539479234496	6.30993968640442	6.3064017113198	5.17702078349616	5.17147357480457	6.41874534378982	6.05771838766889	6.09627201791761	5.88395507395447	5.86067514599566	4.9822573232649	5.28076434952999	5.93581286990544	6.41401657283754	6.20207219811505	6.38598025357876	4.8451425543711	6.06932991501019	5.40786087896092	5.3867460155226
DDR2_32999	1.0305279242152	0.542782753850089	1.02359523026904	0.294274788891953	0.343739881873561	0	0	0	0	0.27188976654706	0	0.738384722503071	0.264359302788946	0.323141213627383	0	0.575960711488721	0.76506470209626	0.59051497609579	0.36551355615929	0	0	0.367729187667851	0	0	0.411541692415686	0.256963440712113	0	0	0	0	0	0	0.382327988228898	0	0.455497521588004
CLSTN1_8335	2.69478015389495	2.53510418259754	2.91498533064213	2.46607057537651	3.18130322692243	3.37781436826519	2.79595385799943	2.24815726164357	2.7684929943197	2.97155551228985	2.83736882884616	2.66595102894107	2.59157485174241	2.76004742391965	2.56871468085765	2.50114943485541	2.99900097281239	2.33521830874972	2.62996804168945	2.53834650883459	2.8387841762462	2.56935604865668	2.49356195455558	2.61917751410766	2.57327671794267	2.60145501673549	3.3301315293956	3.17823711667909	2.61790863827303	3.02748052398676	2.95555012272361	2.85022663148431	2.6225880402714	3.10671255692394	2.11812728071647
SERPINE2_32301	5.24862563421372	4.91809531599057	5.01496638102163	4.47697976910675	4.81625397885847	4.66828564674061	5.04237450159966	4.73299618543613	4.54144284553744	4.5354652379966	5.40689277925629	4.48451334216927	4.73009758588452	4.81319451280433	4.67054121093632	4.79397408049356	5.30266786385753	4.78417246756231	4.6061788249425	4.94887731744178	4.46846812264619	4.97652985224825	4.43196957647916	4.65822700214818	4.81089175537756	4.69794047950494	4.95665386453487	4.82307645159331	4.66722960768605	4.57059856846494	4.70589241590457	4.66848621206975	4.67688339669142	4.78918727393803	4.5407301219165
PSMD9_9602	4.79967635512793	4.60263302812293	4.48208868525131	4.46224616509694	4.52741123754253	4.810315985092	4.58715411199107	4.79163494353439	4.71115438818374	4.65903601484998	4.58406112176744	5.00343455092258	4.25544235971178	4.46521234163521	4.61354096345552	4.75518129773565	4.92489519035761	5.00475867561221	4.58899716135718	4.36320116374563	4.70883948423518	4.76175456378611	4.65464134360179	4.4796732344403	4.90926265191656	4.81247606095356	4.28730462549627	4.80512252277607	4.9329552481835	4.60955307256202	4.83836180796477	4.43987495604584	4.79197152140001	4.99456650487011	4.75424042119968
VCAM1_32349	3.44709386582338	3.52430616925834	3.58717791187339	2.73480934077155	3.65177598028073	2.80998727804908	4.0318942611663	3.78625118490249	3.93476614888367	3.60868743937431	3.67353069468677	4.0033238864869	3.81472104422798	3.29083773731921	3.44169761019139	3.85732608775926	3.72686485797406	3.37253520589812	3.18166304637756	3.58406313892834	3.41042417005333	3.2356179322811	2.73572274845873	3.83060225186693	3.57210291675482	3.25976670244383	2.7577829431572	4.09626241624086	4.30420977162533	3.64264480559894	3.73943356293837	3.87425598505855	3.7807956119983	3.36544245617001	3.36196344948511
