ID	S4P4_F03	S4P4_E03	S4P4_G03	S4P4_D03	S4P4_C04	S4P4_A04	S4P4_H03	S4P4_B04	S4P4_E04	S4P4_G04	S4P4_F04	S4P4_D04	S4P4_B05	S4P4_A05	S4P4_H04	S4P4_C05	S4P4_E05	S4P4_G05	S4P4_D05	S4P4_F05	S4P4_C06	S4P4_A06	S4P4_H05	S4P4_B06	S4P4_D06	S4P4_G06	S4P4_E06	S4P4_F06	S4P4_B07	S4P4_H06	S4P4_A07	S4P4_C07	S4P4_E07	S4P4_F07	S4P4_D07	S4P4_G07
	0	0	0	0	1.25	1.25	1.25	1.25	2.5	2.5	2.5	2.5	5	5	5	5	10	10	10	10	20	20	20	20	40	40	40	40	80	80	80	80	160	160	160	160
SERPINA3M_9809	2.79079055501504	3.5379283195549	3.41485216446257	3.25785194402255	3.48551872810928	3.92292035712705	3.27948262245614	3.69887403517061	3.67108025704695	3.5611381146001	3.95311573793446	3.74317795149038	3.85410700372944	2.80470158445923	3.66365197792192	3.49719679665375	3.6616673188985	3.43623995767088	3.27157582850345	3.10732030400282	3.88040361627011	3.23256888883601	3.58465986205233	3.70504002842412	3.59358164564544	3.33920805638907	2.90710596741729	3.32887004335796	3.54511679810479	3.46188971674822	3.65413862703347	4.52415477773464	3.47578132203014	3.41912693245567	3.04886956360683	2.78726323684657
SRFBP1_9940	5.21737110412437	5.38167012737391	5.41594236280281	5.40034281254297	5.22404526032628	5.48212674368254	5.248604054638	5.43386900838986	5.40145372739491	5.55666210836485	4.93912505844818	5.08668121634488	5.60336484152013	5.50872454798782	5.41659438208036	5.36775875175885	5.17734959127908	5.48546803788078	5.41977482315287	5.20177809543742	5.33861964946624	5.65304746902033	5.15150881549599	5.51212148893985	5.38384386408505	5.07313903519457	5.23924368125747	5.40840861584666	4.86391535724724	5.35284000701124	5.06573322303673	5.22610153292107	5.21695182394155	5.03832164227946	5.45005659791377	5.40334720042229
PIN1_9485	9.31813678925419	9.35325519796981	9.24436953553865	9.35660474129105	9.29607322949054	9.31786558247008	9.07328390458121	9.27231723167976	9.23895216610665	9.26483336416796	9.38103481374944	9.26205654956283	9.43700809732275	9.30225814595825	9.14315194430734	9.36320818103749	9.40863771067441	9.31454380390305	9.35842840534901	9.25771390720916	9.40522926895908	9.37483649769204	9.13843450129909	9.2941194709746	9.36918217583069	9.26752481054654	9.40930753400931	9.42238518560353	9.26278358310166	9.32500320609186	9.32628497611484	9.32996409982563	9.36115637188067	9.28306464523882	9.47790634129835	9.29365895757905
SLC22A2_9845	11.5300032150385	11.1519704028146	10.9546761328383	11.4529299676227	11.4737625961935	11.1725959665982	11.0262161593765	10.9478956736166	11.4275777613056	11.3321121994349	11.396394874086	11.3551665718557	11.2113779117255	11.1966159636144	11.6863339475558	10.9177708052964	11.8162714781144	11.631217918794	11.4675243675485	11.2342114180485	11.5691986486579	11.0846136576947	11.2863906260677	11.360047360058	11.6929612540076	11.626038212556	11.4964156277573	11.4174970747652	11.5117995750416	11.7692835715742	11.467353942126	11.6974622267679	11.2265256437117	11.2892010198241	11.4562843343522	11.2063480909505
PF4_32963	6.02702560928764	5.98053949868232	6.96293877004101	6.10699763139544	6.4274402572537	6.23037893314571	5.89379931351061	6.42329727183564	6.06666862344335	6.77402656177332	6.7583679315766	6.40634280554523	6.28074207047132	6.7872804621183	6.32743038094562	6.01616738117934	6.53796010462828	6.344013909153	6.78901209193979	5.88938109293638	6.54555060250382	6.17566885649138	6.03817183250683	6.10620706189692	5.92124202562577	5.41184964460098	6.54593433885698	5.67289558757849	5.89970959538331	5.58384783774932	5.97925068171554	6.18679666097523	5.86555467135999	6.50114137264394	5.71146248623282	5.82958267659795
MFAP2_33232	4.48564566482731	4.5981571875549	4.42409482948302	4.81204255860982	4.28368209510936	4.587585648573	4.08002990971391	4.12196546604319	3.84687347652774	4.54980953875298	4.80082928893594	4.56041651902303	4.32816559012873	4.57446260295865	4.21015889291633	4.46083694227903	4.42302105953755	4.4513591976721	4.41075223517892	4.56455908600028	4.39920039902559	4.06367175469304	4.40340763117495	3.93783922608181	4.02788046132513	4.6783045245196	4.51987392289351	3.88983277353864	4.13958555445836	3.94504248808483	4.33961464329808	4.22564166855746	4.37988928242522	4.61763488481277	4.48268707263418	4.19281863402876
TUBB2A_10104	7.65045471916056	7.48578937366744	7.46500290494282	7.65957819435606	7.4351690534156	7.58372805999289	7.23918142232957	7.48930288853227	7.39304525047535	7.31265742285568	7.4673112188344	7.61317645099712	7.52222908343439	7.50422012396785	7.16120529277545	7.5154384330187	7.50419814257565	7.17267966153944	7.48037965631762	7.41842169009438	7.53970956317136	7.24767935572401	7.15539856419711	7.70324460522807	7.51461114257382	7.43476825310153	7.20634543423562	7.55841698620533	7.3608966673571	7.36864515422954	7.42057434605971	7.36794288618226	7.49032714685836	7.05846842422148	7.53688581582988	7.50357897123734
CHKB_8309	6.84358018855214	6.73453957823138	6.6645294460038	6.88665354533973	6.8543686193515	6.79124340140945	6.63406117036883	6.79792442455582	6.79737965145588	6.77402656177332	6.78917753409997	6.62719009329819	6.78260926155175	7.16559762464918	6.66419193562379	6.92923808580992	7.02089987979571	6.83007859450666	6.91046587532305	6.90264401751938	6.81105659258002	6.82007706722096	6.71497503810773	6.88378444430187	6.83383619990822	6.55633588628961	6.98127859448483	6.72873750792834	6.54795386575682	6.61554457684214	6.721258254667	6.77850236388828	6.79553919783555	6.61085610729866	6.90113719869254	6.70758907389613
PIP4K2B_9486	5.01890162331546	5.21987405575127	5.22446474727129	5.00338254744184	5.33138719367596	5.32513107841527	5.07308267174644	5.18604500435257	5.15640188571627	5.22045857801817	5.15320547004488	5.24062638717972	5.33552568730296	4.97714173648151	5.39321387607075	5.32898820996645	5.30321119841598	5.16992852850346	5.31654218953288	5.31653681486058	5.43985587179037	5.13929404214433	5.14001741304741	5.07906910343213	5.27394837185883	5.41184964460098	5.22364026665618	5.12643096036276	5.06306400094782	5.30793714103027	5.38439124652173	5.10407043817088	5.12197033768325	4.97618549115122	5.4187368225357	5.25193745078323
