ID	S3P3_D01	S3P3_E01	S3P3_G01	S3P3_F01	S3P3_D02	S3P3_F02	S3P3_H01	S3P3_E02	S3P3_B03	S3P3_H02	S3P3_A03	S3P3_G02	S3P3_F03	S3P3_C03	S3P3_E03	S3P3_D03	S3P3_B04	S3P3_G03	S3P3_A04	S3P3_H03	S3P3_D04	S3P3_F04	S3P3_E04	S3P3_C04	S3P3_B05	S3P3_H04	S3P3_A05	S3P3_G04	S3P3_D05	S3P3_E05	S3P3_C05
	0	0	0	0	8	8	8	8	16	16	16	16	31.25	31.25	31.25	31.25	62.5	62.5	62.5	62.5	125	125	125	125	250	250	250	250	500	500	500
TOP2A_10059	2.93743420248906	3.71016885100042	3.17116317706417	3.25828253677268	3.66540409465975	3.37935840211571	3.27462711046295	2.5617033443763	3.87537588214707	2.95483387330604	3.49861624100787	3.59187223215339	3.56558960924423	3.62774163981839	2.8840892913851	3.73991980462822	3.07946295248853	2.6851874795563	1.65607409369367	2.96425243924756	2.13576933495009	2.34886665745004	2.74589251061851	1.7844143280338	4.47879422338599	2.36705774729187	4.6165436440225	2.42916103357118	5.08866566446077	3.48947088737481	5.91383480634424
DNMT3A_8489	6.50294191417431	6.96008843142699	6.85936186623112	6.94536147662261	6.9783587366148	6.9501840247521	7.04200496517028	6.91798249554275	7.0034217075679	7.05772065307022	6.88677146709056	6.78591000835864	6.9524806890226	6.78878681698147	6.83450877092531	7.00024891913312	6.56905035339421	6.9221039872399	6.65230430685778	6.84748973023102	6.81326534237568	6.84809359107371	6.93829074986157	6.90739867478028	6.5797604501356	6.80355526538899	6.8440082368715	6.4390709361167	6.74347383379485	6.72618069503731	6.85723818798771
CHMP6_8311	4.61669203539668	5.29888366971189	5.75625459332216	5.52754192383924	5.13408188110912	5.76624218397349	5.34583447636815	5.56576476751852	4.99536585600447	5.36335019693412	5.41899373041473	4.94937173830345	5.792132713039	5.49494951755791	3.92607847670579	5.16862871553304	5.37848460595844	5.79636638091449	4.98808567244624	5.61121581622577	5.33012122805629	5.58424114781355	5.07354780539439	4.79205283406917	4.35913345628503	5.11549607167607	5.63274131287653	4.83456391585775	5.19022998028195	5.27715240110227	5.51521650073859
YME1L1_32545	9.12479311408036	9.12437337619714	9.2681771535108	9.16476237589072	8.90277488363778	9.07220436669106	9.19349656151511	8.96155822220441	9.19065365072591	8.97306797365585	9.15806052821994	9.2153513331546	9.03539787748911	8.98215185045108	9.44732564212821	9.14261575598747	9.02986638654168	9.27118177080488	9.17705125622237	8.97224290820567	9.13702644795415	9.09437127277289	9.25589540944863	9.32157045843671	9.31505829949369	9.16125502397315	8.93088705784532	9.48897654474611	9.05872789816179	9.06499246627681	9.15732807755444
ECHDC3_8518	7.78366424754021	7.75459055158115	7.94975446801729	7.73033194218961	7.28636591753187	7.75378810287282	7.85145206403081	7.87138149840861	7.71555319521824	7.63649415818156	7.6858874686694	7.05389606949729	7.67230617970892	6.47886460571668	7.37074213685351	7.2672037121031	7.96402164798527	7.63753539922202	7.36749878695555	7.80914984891446	7.79708304620089	7.76672224540153	7.25507846676221	7.45084768219417	7.05873921999173	7.39017982308622	7.10355151535705	7.0346571164692	6.37997652992426	7.22830059395904	7.02785196324789
PIK3C2B_9480	0.916907349235403	1.63331714842028	1.00069660453829	1.44025401641332	2.26024701327543	2.13297099078606	2.03530355131776	1.47679047653097	1.82071889541958	1.47364005463521	2.78964706078092	1.95113572054037	2.06633620349283	1.64070487284227	1.7627309950445	1.63891909303239	1.90528967482374	2.20823499203673	2.5650831719473	2.09629582624764	2.13576933495009	2.00604940042985	1.74929823906548	1.86110035901714	1.66410272311337	1.57551507177922	2.18646044773994	1.43594293178629	2.52929228964561	1.9823553758859	2.71481241862899
IGF1_8876	0.916907349235403	0	1.00069660453829	0	0.70645466790023	1.70374987184145	0.695831665273172	0.531890081812149	0.882987775675683	0.774744403198595	1.10081787549966	0.863210835348149	0.887674373759233	0.470015027941434	0	0.982467508738312	1.12220158027232	0.60150578968013	0.942686848443832	1.00578152947056	0.810962031743311	1.0548007864686	0.988518045912253	0.956281425449109	0.67046912384333	1.57551507177922	0.530054937278098	0.791578138284505	1.10130866374828	0.47873048650969	1.43953381572479
YWHAB_10191	7.97658108831271	8.02002058549765	8.08353677695648	8.07707615067092	8.08430754718823	8.28088791366558	7.97387782812239	8.06394312621187	7.91240419310968	8.0289260812616	7.90727863540967	7.92504300149545	8.24635141041785	8.1333606460984	7.79331672908334	7.91808986380195	7.94577530103621	8.19864864361727	7.9513389021435	8.15743154862169	8.03765775991829	8.10041041339145	8.03772695188043	7.8564266416852	7.85746764074751	7.83010261503851	8.10761573245664	8.34348927000286	7.948892289087	8.03612949046522	8.02824000249466
NOLC1_9330	3.96837180588261	4.31616692532612	4.32325135605601	4.35203666896886	4.22420212622905	4.25245528549171	4.72315088638631	3.97380690483705	4.13308144643303	4.2841483600287	4.32764241540264	4.08509363231623	4.5433424008481	4.53260522241645	3.81597636857141	4.45815891196172	4.29517145655546	4.29445741525258	4.41185337637984	4.2588624239607	4.35228598754908	4.30358387625976	3.74418662671574	3.82418046194183	3.59012546269402	4.24958271252518	4.26328621037907	3.94257853499924	3.95508659825609	4.22560347572658	3.97900683210415
