ID	S3P1_G01	S3P1_F01	S3P1_E01	S3P1_D01	S3P1_D02	S3P1_E02	S3P1_H01	S3P1_F02	S3P1_H02	S3P1_G02	S3P1_A03	S3P1_B03	S3P1_D03	S3P1_F03	S3P1_C03	S3P1_E03	S3P1_A04	S3P1_B04	S3P1_H03	S3P1_G03	S3P1_E04	S3P1_D04	S3P1_F04	S3P1_C04	S3P1_H04	S3P1_A05	S3P1_G04	S3P1_B05	S3P1_C05	S3P1_D05	S3P1_E05
	0	0	0	0	8	8	8	8	16	16	16	16	31.25	31.25	31.25	31.25	62.5	62.5	62.5	62.5	125	125	125	125	250	250	250	250	500	500	500
AHSG_8003	11.6375106153234	11.8541463670774	12.6723882332247	13.1603768487909	11.9239512780489	11.6979479603455	13.2066361054348	11.8663939679476	11.6474131722143	11.4897296800633	11.9354410466147	13.1791823119026	12.1259178270171	11.7013238188632	11.7698550013594	11.8045284309052	11.5897770818445	11.7397020143629	11.4051808973366	11.6162968369989	11.9210312017452	11.9059514874613	11.8855188793708	11.7253710471509	11.1845939027261	11.9491486288274	11.5190588365338	11.2311524361253	11.9349828112766	11.707048214399	11.6742453754454
DUSP14_8502	2.87734820101352	2.36415007381797	2.12054966849165	0.912695910251567	2.78606549720912	2.62612319677983	1.15542148050954	2.26934530451681	2.37754402028123	2.47752288613204	2.19401627014414	0.801807628377629	2.32390319523007	1.65189860588868	1.74578616748336	2.56873244895496	2.25412230333647	2.28582408980562	1.93620648329355	1.78948132062137	1.58630911779961	1.88840967541053	1.84032510609781	2.17241828138163	2.13277609989509	2.23991453128243	2.10823222205668	2.47907764366418	1.88976734690759	2.1453891395545	2.01060778651738
NRROS_32404	5.84686318563281	5.46641385797304	4.83924998513986	4.39263994720548	5.36422600199236	5.55805171518572	4.24817380277305	5.24267211690308	5.38614296075154	6.21160527779555	5.33390778759799	4.2638200298441	5.39208232335199	5.36980972517637	5.61058503317868	5.22079032882795	5.26215253273489	5.61670113412605	5.29723870428937	5.61927668978542	5.56269165327678	4.97478454704721	5.82539333621735	5.3218668074791	5.76910761152163	5.67754112178078	5.98570458195669	5.7419452391203	5.36546689563026	5.21429663634623	5.76684367272694
MVP_9266	2.75934616970243	2.98443517645688	2.37455125014101	3.86121973382789	2.59066512765757	2.86757111444013	4.39568438369428	3.55934831482536	2.66471430764305	2.47752288613204	2.57315000025444	3.80812451720045	2.7110424165483	2.74701162861389	2.86329126607146	2.94385045534633	2.68027069265368	2.84845392784244	2.59113909418878	3.14764840887215	2.76725739953791	3.21520609416565	3.12808242801743	3.00280463717943	2.49958003740552	2.61876480704501	2.98171056109106	2.88083956986963	4.04552973199838	3.23098436071749	2.94639804285301
NGRN_9310	4.84299328409702	5.05097252353744	5.12534254717565	5.33703371732775	4.71903236952734	4.55422789711229	5.53658990184932	5.03087369421766	4.80197793430064	4.93304432349673	4.6713108776254	5.15229321975944	5.00585541809453	4.50980794913442	4.54602199507907	4.88460918442888	4.891814296072	4.98293716228499	4.50293621119458	4.97570505191515	4.73529792694426	4.47624224070815	4.91887663346936	4.86107545624196	4.66300530039762	4.91074474442782	5.02061119022368	5.15437110970203	5.26075636099493	5.17381449643579	4.94777861903365
STXBP1_9968	1.10713789757264	1.62023273656793	2.25313320952665	2.08272085738197	1.33855077764255	1.08726326577048	2.34813221225447	0.925292284224239	1.22357967417015	0.936500942724898	1.24810868501189	1.84859551602976	0.944601856287455	1.65189860588868	1.36131007209722	0.76951537579431	1.10267504833042	0.977541096248815	1.67751386810279	0	1.0010100806284	1.57611761608228	1.44392738111554	1.02268815629983	1.73448371353304	1.04538121846637	1.40915371482778	0.996138608378724	1.81777507381985	0.892219208377521	0.721751261383887
TBPL1_9987	3.71357218903672	3.63323989720058	4.56089972338077	4.00031748553701	3.43684177264857	2.82240644092635	3.81693430947515	4.00534652410433	3.26059445455139	3.72083405775501	2.92627116737767	3.97084070081079	2.8408427474114	3.67622007932109	3.07956973651196	3.34497924542604	3.32427334918156	3.7653632766966	3.42456965535828	2.88517513057975	3.48726608817114	3.74743432605121	3.41662383004451	3.65019610862097	2.95813949828984	3.40261371152798	3.12550705576038	3.31497013141917	3.93076643279629	3.35686393377657	3.33464811114347
SEL1L_32748	9.08910123197107	9.03357652961371	8.46702794370042	7.89372798974933	8.90952899240572	8.87375987550228	7.9261504594328	9.0016058811848	8.96028032791325	9.12217766772837	9.08006377127746	7.96685704678909	9.00268037163736	8.84836229988633	8.83184871261822	8.96455217217228	9.0525482217343	9.09946652761951	9.01862167935849	9.06242384814655	9.05458370490296	8.84726366551346	9.14466738699386	9.01417918522923	9.32723976408423	8.87654064805769	9.13241444610321	9.3218510311254	8.56911753360937	9.00735633213105	9.04299226600319
CASP9_8204	1.95808043968793	1.7739769086994	2.48653918952325	3.1125089929447	2.02074859896594	2.05282518953596	3.19901152356931	2.12813122070737	1.63145672142369	2.12131256239609	2.19401627014414	3.19788490589069	1.65879851658898	1.27995427362373	2.17972231780979	2.17743477117196	2.20367342885083	2.34205604114785	1.93620648329355	1.98122687927538	1.92748771171011	2.36274450007099	2.15095263278376	1.7974623601688	1.63969687537726	2.29307891495185	1.80062863468382	2.25691575373225	2.63949278765366	2.20016581904808	1.75716694876642
