ID	S1P1_F01	S1P1_E01	S1P1_D01	S1P1_G01	S1P1_E02	S1P1_H01	S1P1_D02	S1P1_F02	S1P1_A03	S1P1_H02	S1P1_G02	S1P1_B03	S1P1_E03	S1P1_C03	S1P1_D03	S1P1_H03	S1P1_F03	S1P1_A04	S1P1_G03	S1P1_B04	S1P1_C04	S1P1_E04	S1P1_D04	S1P1_H04	S1P1_F04	S1P1_A05	S1P1_G04	S1P1_D05	S1P1_C05	S1P1_E05	S1P1_B05	S1P1_G05	S1P1_F05	S1P1_H05	S1P1_C06	S1P1_D06	S1P1_B06	S1P1_E06
	0	0	0	0.38	0.38	0.38	0.38	0.75	0.75	0.75	0.75	1.5	1.5	1.5	1.5	3	3	3	3	15	15	15	15	50	50	50	50	100	100	100	100	200	200	200	500	500	500	500
CROT_8384	9.65697912186332	9.4514617690423	9.6622424602107	9.37963326722398	9.72903946247521	9.47556326868011	9.22258239700693	9.41833730009802	8.833988362522	9.48210553396184	9.08716665515598	9.73884514180745	9.35707176581946	9.52346660171831	9.17358479959782	8.42947515544404	9.44709765979528	8.80254415576315	8.79411747697557	9.0174979539659	8.70803698409535	9.513954508897	8.8209516285533	8.33482597705029	8.49810225422273	8.07260181818022	9.02432253523345	8.49195882666065	8.48050596315196	8.11397658622481	8.59292916076828	8.99990365808318	8.76706062583324	8.01035607189515	7.80621008219036	8.4516941522009	8.14588415951262	8.4128849360916
CAST_8205	5.32026824058416	4.5700061928945	5.14508988817689	5.8015311136056	5.25775335867267	6.06662487048612	5.31593125700407	5.13994791162798	6.2399850334218	6.43418245407015	5.73384549097167	5.21018676337535	5.4892308675616	5.38776053258428	5.19190948812478	5.70241943252965	5.34077530487048	5.62325378535424	5.92490351414862	5.28403777474999	5.78003614101549	5.62426651553963	5.45910241477773	5.74319305124255	5.25750718070306	5.33781886284027	5.66066734004639	5.35819440504461	5.12935828343173	5.48310154279434	5.08531555974459	5.47138589780275	5.85641365882378	5.53716863901023	6.18136555799035	5.69834118080477	5.93098757309858	5.83165608050543
BAX_8132	5.13082713372212	4.94415864092665	4.80333283764841	5.16797131551629	5.34785721264821	6.58940922004876	5.31593125700407	4.81037159281436	6.70633658654789	6.61389537841327	5.23314800406878	4.79080345756657	5.51044648266371	5.06871964587431	4.96308806321448	5.5521725393602	5.25838842805841	5.69092707522141	5.49969297513808	5.08485516946167	5.62265697812808	5.39244080940783	5.50825203293577	5.28402999091008	5.18815682460668	5.65064311567252	5.58124332172343	5.26875926417975	5.26153198351739	5.67672782962236	5.28405051108877	5.80718089312542	6.67069239126154	5.65474149866446	6.52245616410774	6.24458192774313	6.22893375475391	6.71483844230911
MKI67_9232	2.81784990761405	1.6174899469672	1.6472866063028	2.96006534835906	2.50015486520917	2.18398796633056	2.60286252382878	1.20744782105495	1.9639875940083	1.88719618521474	1.88789055972873	2.58559066522072	3.36681168416144	1.99650025647761	2.13289912611564	2.40373528593224	1.96056551685648	2.87037565972862	2.47543805509731	2.45055168467753	1.77981228883185	3.19517087961154	2.69779163491719	2.84095040431983	2.33328052322389	1.53811390537742	1.78184546859184	1.94294608877573	0.879353878161036	2.30380383421947	1.54107469712309	2.66498359344024	3.07494520963312	2.19133563945609	2.51766220724584	3.03031199720476	2.33026551792652	3.81751676723443
SPR_9930	3.97724098483563	3.60518599485607	4.10934806635679	4.67344694873092	4.61831360167984	5.78001503277765	4.49975153579481	4.36732305219023	5.72939830872168	5.73900055247796	4.35802814893286	4.14366906302046	4.58239246502308	4.63937499477091	4.14141099640606	4.51650342745316	4.68615920286723	4.73150094604836	4.3002395126964	4.32059777760983	5.25231262641562	4.6472126147068	4.64884354605543	4.38921363505247	4.27814577068664	4.50853430069375	4.90655052422497	4.38641782274873	4.31396436041893	4.60988690360152	4.36307632340702	4.99078323955553	4.88110229227059	4.38554661818764	4.39447992787289	4.3949839174825	4.54011470948852	5.1393230442723
SLC6A1_32594	0	0.499457056773383	0	0.605646917364642	0	0	0	0	0.423674759394335	0	0	0	0	0	0	0	0	0	0	0	0.26641825676089	0	0	0	0	0.347122300933943	0	0.250549318725975	0.274873281962643	0	0	0	0	0	0	0	0	0
FCNB_8627	0.812611958127709	0	0	0	0	0.336311249552781	0	0	1.01722311747337	0.535912953500125	0	0	0.73589344022457	0.413871861162367	0.358581901716229	0	0.402012071830935	0	0.542145230929214	0	1.27484332242361	1.30124464088195	0	0.216901448531274	0	0.347122300933943	0	0.250549318725975	0.274873281962643	2.62784610349804	0	0.394236568783651	0	0.644553074094244	2.05346680901608	2.62002198354414	2.50210996253827	1.20782785201731
CHN3_8312	0	0	0	0	1.06755150368279	0	0.287647425929446	0	0	0.292698925245844	0.926236546501629	0	0.414367496444044	0.413871861162367	0	0.894016764796841	0	0.559189937898138	0.935287935212918	0.877683044207942	0	0.274055271537304	0	0.405414538299896	0.201145897964144	0.347122300933943	0	0.250549318725975	0	0	0.56318547974104	0	0.498339852774755	0.248233205905304	0.292867775401556	0.243477347165341	0	0.806127662787623
BHLHE40_8141	5.37388420262283	6.18944051788764	4.89665606895266	5.85452037460527	6.50124234647715	7.12664393373143	6.04156193569706	5.81830111046687	7.57063178977978	7.70466513410494	6.18437713269572	5.14369039088141	6.91620354171472	6.68187770847257	5.5970458869045	5.48463731862131	6.47132409930124	6.78820069108288	6.36093011712362	5.61506892247225	5.7090957155921	6.68190140731093	6.31029627846445	6.28653906011909	5.44755155094536	5.83380828659763	6.80507881971919	4.47520944279543	5.54057462076983	6.90885583402291	4.58022657049966	5.28628609841949	5.45644677922719	5.01589558574183	5.1562853401821	6.26886215420747	6.30441906222859	7.58398947571975
GDPD5_8703	0	0	0	0	0	0	0	0	0.227334328610593	0	0.378627151993302	0	0	0	0	0	0	0.395751368560256	0	0	0	0	0	0	0.201145897964144	0	0	0.250549318725975	0	0.271713708905888	0.30890136772532	0	0.270581043217215	0	0	0	0	0
ABCC3_7941	2.13873193288074	1.79995292368411	2.60039907875296	2.50968275500072	3.5465567709583	4.07747588889793	2.24823692860143	2.30096203707574	3.03000685085045	3.53252826808507	3.59739433829856	2.22298469808881	3.50005529736499	3.0547864590604	2.95827835477091	3.05240111535193	4.00929563401669	3.36611505165587	3.05279460577397	5.16561393616886	6.05989608575698	4.57307260724842	5.57436437347653	6.72966279320627	6.54396055896433	7.10100327030456	6.52423950413468	6.82131557915659	7.94461752191913	7.78848958806577	7.3003908829705	7.7312396562238	7.44531778178464	7.92376792239959	8.70912001920406	8.36425211643897	8.95213580869536	9.07712477598036
