ID	S2P3_E10	S2P3_C10	S2P3_B10	S2P3_D10	S2P3_G10	S2P3_A11	S2P3_F10	S2P3_H10	S2P3_B11	S2P3_D11	S2P3_E11	S2P3_C11	S2P3_G11	S2P3_H11	S2P3_F11	S2P3_A12	S2P3_C12	S2P3_B12	S2P3_E12	S2P3_D12	S2P3_G12	S2P3_H12	S2P3_F12	S2P4_D01	S2P4_F01	S2P4_E01	S2P4_H01	S2P4_G01	S2P4_G02	S2P4_F02	S2P4_E02	S2P4_D02	S2P4_B03	S2P4_C03	S2P4_H02	S2P4_A03
	0	0	0	0	8	8	8	8	16	16	16	16	31.25	31.25	31.25	31.25	62.5	62.5	62.5	62.5	125	125	125	125	250	250	250	250	500	500	500	500	1000	1000	1000	1000
PTPN6_9618	7.21868242140388	7.14095283468591	7.0864007782278	7.08959319758755	7.01882877801517	6.98337741902182	7.00661206325924	6.77353768039822	7.14673061566478	7.18221420748622	6.98210240402187	7.11582621539658	6.63147471247963	7.08242074348619	6.87211966243201	7.00874473619205	6.7719008924647	6.93871293042281	7.11865886455463	7.05627622628929	6.78950129264848	7.01651567248805	6.91534530119674	6.80487714154933	6.74163059858124	6.86821692131508	6.7509586727155	6.8709731873589	6.85201653381138	6.85217208335436	6.80468197678015	7.13279840222704	6.67852617681856	6.72255084629253	6.68822651473126	6.76657574200249
CD80_32896	0	0.36093014944538	0	0	0	0	0	0	0.45756128368814	0	0	0.467280104139454	1.00476746119161	0	0.493152578686711	0.823544170778631	0.483459814821758	0.287860143656863	0.806114719211097	0.445615398900818	0	0.562387954083207	0	0	0	0	0	0	0	0.518236290991486	0.547584256954005	0	0.274495171198044	0.314797805520973	0	0.264555553590834
F3_32469	9.3261451407598	9.49615763060085	9.34141278016358	9.59652627728398	9.34540748613693	9.08533589526401	9.34340788888368	8.932756297377	9.35672791825072	8.71410544686849	8.82626995386008	8.53628832377822	9.96878719485039	8.77479238226936	9.96729438817372	8.47201738669344	9.61991658012189	8.78788242912206	8.88051765693457	8.53260439120658	9.12733299859155	8.72332401164758	8.7359859472406	9.19530939284797	8.46347534815775	8.76439563262892	9.02107680668298	9.06801566033884	8.8169131091271	8.59925064442118	9.06494401088576	8.41976462034838	8.64393816724106	8.32385138901519	8.20242366030049	8.67299439064872
MAP2K5_9180	6.98198957252707	7.02608518180662	7.12468061875906	7.08959319758755	7.09267187137005	6.97902041067474	6.98020919186954	6.96684290576793	6.98612261566706	6.85287562574934	6.97212853960464	6.97378568823298	6.63147471247963	7.06918181230315	6.86204683059318	7.04283261823049	6.62834718190201	6.9847171895305	6.87671239723324	6.79462455175264	7.00614742272397	6.88012599485504	6.82283989163952	6.86359715131445	6.88384526252452	6.94684530037271	6.911639873961	6.80286155726197	7.2286185124773	6.98115573900119	6.97317236590171	6.84506662222254	6.80558824946001	6.92428560890927	7.01606202065273	6.83684206447797
FKBP14_8647	6.30661408743882	5.9830288048349	5.67933626060539	6.18113142836438	5.84885310248674	6.10680700110947	5.75401458954837	5.7458279591173	5.62989324764072	5.70958395263614	5.76991970522587	6.1419049897254	5.80376412329079	5.84633613143805	5.78659090016026	5.75789348577856	5.72115457064256	5.69461492632626	5.79805642094733	5.70620263295285	5.75469717714542	5.79038383715504	5.6603503772089	5.44179113679635	5.68876653525543	5.7016029140077	5.78707535890698	5.65115233955084	6.05242501209988	5.56211272917953	6.03626299843328	5.84644180633272	5.79411424535323	5.75255319644653	5.87804288515435	5.63535835661261
LOC680097_9132	8.63118498971507	9.06216505737795	9.26349619557575	8.9124740450264	9.02938774776634	8.93261432740372	8.78374747518796	9.05403792194315	9.09643054703993	8.95802096682284	9.07252905672444	9.04253715547767	8.68192130710036	8.66614297191524	8.56827348177938	8.79062710615577	8.62029023529045	8.8143083985642	8.97009008715027	9.03026015117814	9.05237449972195	8.93694985570905	9.04754472914903	8.80161717049221	8.88526299776985	8.58426567047341	8.67318279828844	8.70258352314926	8.85688069325865	8.92204227551317	8.31980292204973	8.59442338311475	8.8493031060507	9.14768892057711	8.67403211360454	8.9656060189424
DRAP1_8496	6.59942850416218	6.779642403821	6.76954224506151	6.75769197073076	6.60085048627285	6.80287524907766	6.46944058078427	6.60940492227121	6.6585339779525	6.54750755037058	6.57086381565699	6.80145193532901	6.46884301767922	6.5005810605076	6.34484435578818	5.94977101789927	6.62834718190201	6.3622026877291	6.06860999360242	6.20439272762101	6.59387650542884	6.28959944570348	6.40794122553333	6.37983678284296	6.61477709307456	6.43836419333629	6.1455079180855	6.40366804284778	6.72647036581128	6.85217208335436	6.5226573020724	6.10155474694827	6.21625630582067	6.66130976399675	6.28266423347109	6.28697072732826
SPP1_9929	11.5861373579276	11.1236390184229	11.5936730964429	10.8534990377416	11.2357376416122	10.7978400272482	12.069790839336	12.283250022664	10.999284294631	12.306764189903	12.1239575112127	13.3187134577271	10.6057028469412	11.2600863584147	10.5415569069932	11.1008739225535	11.3265971919946	11.3284845340952	12.7478119399531	12.4993155454859	11.4154417867886	10.8660207903084	12.0323877419083	11.1645622438913	11.598834942674	11.39472039708	11.8519435428056	11.297863013486	11.4779507770808	11.0566603572526	11.8763795115786	12.6134379110709	12.8992106706498	13.2058288269497	11.0993836978931	12.7985945297353
AQP2_32968	5.81388329460485	5.72842160740392	6.03467950405229	5.60868082541482	6.15492088821929	5.51231127630072	5.63333454454418	6.4004493923222	5.95034309937124	5.73917542054994	5.97361027570517	8.09253477400827	4.33097284261088	5.75006610281087	5.36961323566787	6.07035394310715	5.26381171125885	5.74894231690848	6.1770536002245	5.35079571894001	6.22447246322338	5.68738027746168	5.9070409282921	5.25387998431101	6.03207326085176	5.28370939280087	5.66117964527369	5.61188335941865	5.66276746880549	5.49456717019555	5.33052526646956	5.91190796243948	5.31363009056853	5.75255319644653	5.65832108191164	5.46832829178944
ITPR2_8931	6.71874849379612	6.66308171539948	6.48073691953964	6.66687780171581	6.38270496475171	7.25967690055306	6.27834571102027	6.33186963897571	6.33751087659577	6.10766429800741	5.86999548890013	6.7865332547551	5.80376412329079	6.14442760455145	6.15163485595028	6.22681357870006	6.375162055132	6.75033852829374	6.31002394554893	6.070963958278	6.60546914865641	6.70990736054238	6.10249212406771	6.32118595826781	6.41840168582707	6.01067325433227	6.39331095467513	6.48198389376048	6.95577612574976	6.09642450888253	6.89138549509838	6.37353066275081	5.93420529572802	6.29087461121375	6.23040794336208	6.47823529286095
PHLDA3_33006	0	0.36093014944538	0.383512967094616	0.338069966071349	0	1.71781027942049	0.414815203739901	0	0.45756128368814	0.784894849982411	0	0.467280104139454	0	0	0.493152578686711	0	0	0.287860143656863	0.806114719211097	0	1.02791555669797	0	0.312466416002193	0.734239049553157	0	0	0	0	2.01449512850092	0.898716516781208	1.72603814089689	0.531249867601852	0	0.982107762385551	0	0.681492234899171
GSTP1_8762	9.18190581179203	8.4467791155736	9.28196263589	8.21311456533981	9.0044320091237	8.49357819237125	8.76287831253457	8.83349053936947	8.45871610301645	8.81828906298132	9.13978666087168	9.11896278356513	8.4188822502606	8.72641808535428	8.04801622559603	8.44677820727373	8.02545138322753	8.18461440584785	8.92636888719436	8.87378578412099	9.63265900856245	8.28785518773943	8.9821291867473	8.72677033541193	8.91248670969008	9.30934810179956	8.76785413434939	8.56285451306036	8.57191270882753	8.39769244225405	9.28695156194726	8.92686559330311	8.57108167433782	9.03417961631834	8.81930810036733	8.67938281746012
USP6NL_10141	6.10804216641804	6.16549300240858	6.27487917657227	6.26773329758038	6.05734847091019	6.06630668625089	6.24070835642649	6.25458322681228	6.20511140928214	6.13760202508291	6.27885282836513	6.35239883214904	5.57917506951087	5.90712287673555	6.20839207611237	6.05373268129141	5.72115457064256	6.06668379029043	5.93966616579389	5.93249960292691	5.9247381866939	6.11703199869875	5.94151074208255	6.00077484079335	6.0771878329449	5.8065366309937	6.12180491511992	6.09741181927823	6.19893935839853	6.21867579144784	5.85252953245667	6.20964111029783	6.26030883707695	6.08345645153608	6.26328925680183	6.23394796736957
NFATC3_9299	7.570058918792	7.46722237661921	7.58215003443169	7.52973368283926	7.40487592284088	7.71227950423721	7.27524075727511	7.77063522672097	7.49002211935887	7.41698480859327	7.59284762672453	7.59542757791727	7.8486815756282	7.50247559450554	7.79624636570134	7.04283261823049	7.37338977483924	7.38995616761318	7.48093650239518	7.34666470154683	7.60768129170243	7.50331124582661	7.39735316354422	7.39977362461625	7.3802502690297	7.34547460672672	7.13528204119209	7.50637573918027	7.6916260409704	7.34173521803675	7.45910463601449	7.34518863581715	7.34499761509605	7.41952580439128	7.04660538562482	7.26454426653652
EMILIN1_33056	5.93025597752258	5.96344600221569	6.15669687926306	6.16529412436132	5.62614635937437	5.63922764323758	5.63333454454418	5.85458708873579	5.46901838630558	5.91368583036469	5.72311141716501	6.16516046818457	5.17918064496865	5.58624433290941	5.39777694798394	5.3311735697893	5.58420834512076	5.57940855741839	5.75204570795028	5.44369461996085	6.02021714431241	5.54733567366361	5.52294008558339	4.9782831139786	5.70801732585869	5.62715175744641	5.28792248918661	5.48722460888391	5.44511361420487	4.96597958335642	4.99682368085462	5.31218298471734	4.42880800371437	4.98748013094367	4.51155548735138	4.9722861740334
CCL24_33270	4.70500468391026	4.30456502923639	5.00272402093927	4.24461152080521	4.34738150784317	4.50773077745432	3.7717652119014	4.30508243487473	3.65188703676966	4.33332486999643	4.69058924261422	4.67129553822452	4.46851950664679	4.16340645767871	4.11275759174066	4.80432154464046	4.32972925742834	4.23932783344077	4.45666789009677	4.82390558557608	4.592124582177	4.51908434564004	4.3466954288292	4.2414615378256	4.65827673426248	4.61811057687765	4.32438541208193	4.2127517668312	5.24760215521546	5.18747758595633	4.99682368085462	4.83800386456711	4.79831276136787	4.87209633096268	5.23630706769925	4.42821771934317
TSR1_10097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLOD4_8714	7.95529456754766	7.85682355203853	8.85944487068145	8.89817240940484	7.85474163832138	8.8833403288096	7.82777995402449	8.79670501165841	7.80132071558277	8.95487158697366	7.91783412166169	7.97023758421931	1.59131562109787	8.84508958321061	8.65396279728795	0	0.483459814821758	7.58674362016055	1.16831712624814	8.49836374529173	7.72746055928299	7.63023207108471	7.51455891343303	8.48904793267443	8.55933558447409	8.61107200035415	1.95752601723374	7.60966042436677	1.33353582518323	7.5119533027388	7.70553759047919	8.59276080588974	2.1898887295041	7.48578969701247	8.53284205553639	7.58497272245259
S100A13_9771	4.44096833287267	3.87225493050136	4.5566790681403	4.41501217087645	4.8013304414255	4.66788769412528	4.2968363972372	4.19906322465241	4.37716434925935	4.59305107186669	4.56350093450441	4.85412253236087	4.25694728462244	3.90979893108396	4.64636523784679	3.46031370120311	3.78020089520887	3.98144047906054	4.3722836384628	3.81025977935759	3.66557527219271	3.93558643644273	4.18347477577295	4.02334014650727	4.35056185888845	3.88186637751999	3.83452790461214	3.64038892309426	4.30371365570001	3.93193911948987	3.70072166484289	4.33219011704871	3.93081413158032	3.74799992059072	3.95787638217118	3.44122187410501
ARL11_32961	0.447328490783844	0	1.14929706030082	0.841726169633103	1.28319702170714	1.53993121887858	0.999555374664756	0.356275485223033	0.804414734614847	0.445179359134187	0.521545944753211	0.467280104139454	0.588142558019501	0.49840914427211	0	0.823544170778631	0.844935949617645	0.287860143656863	0.806114719211097	0.625590688070529	0.603632759372185	1.28103608204807	0	0.734239049553157	0.759488039919973	0	0.656991216171473	0	0	0.518236290991486	1.25393395224509	0	0.505018468143824	0.792032344185657	0.75903764330665	0.264555553590834
MCL1_9205	10.3453194232995	9.86759483322193	9.74927345980781	10.0522239024097	9.88055251059994	9.87068327566471	10.0389444125473	10.0439020288873	9.87997719772695	9.87505715514867	9.82537257217875	9.84931742583301	10.0836518812829	10.0519202949787	9.95194299348005	9.52075637898738	9.62647094619271	9.60829807414942	9.77518496382769	9.50465689164121	9.3782712473402	9.71835428898471	9.49805357316413	9.42711696512437	9.63238801153388	9.5348136277553	9.66732690621456	9.72979896575296	9.93888310292904	9.53487954741106	9.72100974620619	9.90877495871579	10.2502716617131	10.3303406735198	10.600453552606	9.71541539220698
