ID	S5P1_C06	S5P1_B06	S5P1_D06	S5P1_E06	S5P1_A07	S5P1_F06	S5P1_G06	S5P1_H06	S5P1_E07	S5P1_D07	S5P1_C07	S5P1_B07	S5P1_H07	S5P1_G07	S5P1_F07	S5P1_A08	S5P1_B08	S5P1_C08	S5P1_D08	S5P1_E08	S5P1_F08	S5P1_A09	S5P1_H08	S5P1_G08	S5P1_E09	S5P1_C09	S5P1_D09	S5P1_B09	S5P1_G09	S5P1_H09	S5P1_F09	S5P1_A10	S5P1_D10	S5P1_E10	S5P1_C10	S5P1_B10
	0	0	0	0	0.125	0.125	0.125	0.125	0.25	0.25	0.25	0.25	0.5	0.5	0.5	0.5	1	1	1	1	2	2	2	2	4	4	4	4	8	8	8	8	16	16	16	16
ISG20_33257	2.80505635941013	2.24545794790683	2.38286640045355	2.24490773140545	1.48359831097449	2.44045104584476	2.16538102782279	2.45728186769456	2.6162686255741	2.23663485366455	2.6197033399121	2.92869001361532	2.63470683565958	1.73512507055275	1.78661560265762	2.54686815800712	2.56483519690573	3.19034122954921	3.01599864943777	2.8966566433336	2.69480710844102	1.92812690593757	2.35182196827301	2.9091779533323	3.11597280592133	3.36611491604978	2.45205088898621	2.68849283689451	2.9871673156304	3.47331151900806	3.09858675865208	3.09960855175178	4.40052778150317	3.70235282782758	4.24817238249019	3.54563142919287
BCL2L1_8137	4.06133843722694	4.47780164500323	4.59612769685431	4.55092574650756	3.94219801914642	4.37331659140042	4.39531176695685	4.28752538837275	4.19068663191903	4.80317502998557	4.44905015652199	4.82020197848812	4.90832615725355	4.69791092337839	4.57200607514114	4.42575050860107	4.46607790839779	4.9764097808479	4.58448329188809	4.34631572021059	3.93992389357516	2.87958379674543	4.76509976167089	4.84917737234523	4.49024947261319	4.64217704186294	4.54594805845678	4.74476289140045	4.49946112678431	4.50704389916503	4.56665553687709	4.41005922943921	5.09228872958069	4.56363985136156	5.31701837704973	5.22457623663906
AGMAT_33108	7.00933712391822	6.35610980796647	7.12457511031139	7.05052769938516	6.16912149602656	6.77198481911144	7.05083682388375	6.90503580257828	7.15332751306641	7.37095539270376	7.24343512038816	6.96367735601827	6.99761490395027	7.07420505764823	6.81034141415124	7.04604311110823	7.00021692347309	7.14361142682291	7.19023345213722	7.33744377293448	6.90380651982429	5.51420702186188	7.00934293827458	7.06184070470605	7.06623502111855	7.14018035696814	6.86945559643478	6.83230166739095	6.78402622124057	6.49265758287205	6.87136163692612	6.74705638786281	7.34134885480637	7.11379503495787	7.07401559178647	6.54184296517654
PAPD7_9422	5.97621891590573	5.56394260982183	5.58339241625488	5.38959238635812	5.71419968026259	5.35237106885374	5.3400739630135	5.6394764551707	5.35355950251304	5.23517276027666	5.63319686346927	6.05772612643901	5.50504025704703	5.36666745745703	5.80428672484487	5.76235089129584	5.61895489694685	5.45477282481927	5.60610049715163	5.54830811776323	5.91805855632618	5.68652689552586	5.85983712391799	5.77797661319868	5.68984852359678	6.11163084650402	5.83903173236952	6.10275787908562	5.71569904584107	6.16479387288717	5.34192483003567	5.549683315461	6.14548864301914	5.9757920182415	6.74172304265645	6.31188936945662
LOC100909840_9050	1.40713422691967	1.9284298403266	2.09004101097697	1.67808991737488	1.48359831097449	2.14460914885956	1.85375085889326	1.92879917963426	1.92564486362998	1.62692623136943	1.72935983448747	1.96725801007753	1.79957855661392	1.99802792052142	1.68034299727877	2.24058287065387	1.28338149199052	1.50961160960889	1.34073427814424	1.58534176202884	1.32783354823194	2.3009586315763	1.35822157759708	1.61916334773444	1.06740706418576	1.9159012935485	1.76891034282665	1.64671495721826	2.82734291924204	2.82821336129279	1.55850743198239	2.16316488507965	2.82331562856333	3.14688862934949	2.74745390843898	3.85897742618773
SELI_33173	1.88153137187902	1.2649588272694	1.10416338961081	1.77401486404437	1.63034132630241	1.26840169110513	2.34108163789557	1.32035192414982	1.73662876905588	1.39199973374803	1.48603616628828	1.04143219542682	1.69290325155355	1.58320967435366	0.794947140755831	1.42042624769728	1.39996840754736	1.19732042686096	2.21425061895476	1.07830193710816	1.52997978651608	0.805838960587618	1.35822157759708	2.08948128621861	1.85980751870323	1.37008289713988	1.76891034282665	1.27548328572646	1.25449197831033	1.63112393520758	1.66067997192811	1.70092526112232	1.97605013233431	1.62288758743477	1.58513482030898	1.56614864666396
GAD1_32823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.260756483875019	0	0	0	0	0	0	0	0	0	0
NPL_33133	3.62739386402569	3.27099058086127	2.98156970764534	2.88364346581481	3.23011836081379	2.77337597857489	2.94133366833166	3.08514434683922	2.99957895632342	2.86108746398233	2.73570855128737	3.07174371032211	2.89744983341547	3.11315088943579	3.1035215814911	3.31355221181327	2.66143348670224	3.24758354323597	3.4291623320187	2.76129727544031	2.9627608396457	3.49661941653835	2.50869959357929	2.85118034930899	2.09996519342086	2.91409059551398	3.06968347491903	2.63449947064885	3.13103869825151	3.2601543235197	2.77325129586579	2.56351882636241	3.49435256386844	3.06957001449192	2.68471644227407	3.21417669009925
CSK_8392	5.45114655740075	4.66233051846849	5.30437779775625	5.40465626530482	4.86514863989702	5.35237106885374	5.58673353053449	5.04457555670898	5.55309434519209	5.66280085607544	5.54848308228675	5.19836096256016	5.38167918826812	5.2828396768738	5.44727504167848	5.49074272776533	5.32661367378766	5.73550986217976	5.59470560655141	5.63476342308533	5.43586596675904	4.31405063730139	5.58814938214384	5.57795098599038	5.42136957095794	5.6702428674887	5.38416727842773	5.61678011349837	6.04732171297194	5.48728375999466	5.87036531931578	5.61137626474724	6.26825075600747	5.9544442318702	5.99703052349189	5.60000110568705
RRM2B_33011	6.49196199380714	7.04145977787381	6.6084886054107	6.52828465848836	6.90886987674607	6.60005509273488	6.80317152314952	6.4842364399845	6.73061603579037	6.56961894367674	6.60339827323256	6.60440591071521	6.33353186109739	6.60225906468839	6.44288736258418	6.47461058149446	6.53576759488397	6.42898127288952	6.55345449273775	6.61690768385258	6.63999727368432	7.1670359114934	6.32132064675084	6.64187096563602	6.50880159938394	6.38561264422226	6.53677793842515	6.43437366915204	6.99308337441349	6.97393744979922	6.51002854121701	6.59349079836142	6.70492479799165	6.77937208974309	6.80945008874711	7.27260162039981
PTPN12_9617	5.24662464689824	5.23714909065611	5.45692747717324	5.43432021163441	4.72518256780113	5.61188479766724	5.60406939711846	5.26422694994343	5.44909118510819	5.70833414520675	5.80902164290969	5.59567012402896	5.39023966077584	5.75230621137517	5.52609531776138	5.66506561714226	5.56378549358004	5.68460028176716	5.50624828578363	5.64761612672085	5.15165866765783	3.9624713628109	5.49742811168585	5.62197163507405	5.37641363099806	5.59536994431907	5.24714734006501	5.66470936310572	5.34464291204182	5.02917980738365	5.48108681055443	5.4177702061331	5.84767332023603	5.61674000059179	5.68875356501786	5.37608386580292
TM7SF3_32966	3.57835318092006	3.79313625238691	2.87254903315188	3.35616745127336	4.41682661654615	3.1124600603229	3.32266507668154	3.47334193466919	3.71471666649567	3.18936758684695	3.46403585981212	3.74788915911132	3.9440032552853	3.87201855232257	3.92697356070018	3.67089931787655	3.20081665071404	3.43173913114781	3.29478412717639	3.5170946835231	3.62373901462066	4.87922345780724	3.07510907587134	3.61445403845986	3.22141967562127	4.04021985876835	3.58590452504007	3.85774122166732	4.31087117357183	4.73074198171477	3.82640569052001	3.93782867898918	3.98916687929502	4.15949764968552	4.84394624006279	5.21614379755024
SDHA_9796	8.44269736318853	8.06145724186949	8.37641742065051	8.33675581578131	7.90104837701413	8.28342094730712	8.51740625553265	8.23548694011611	8.42969393556307	8.57056354219922	8.657114852423	8.36338244353819	8.51660796718031	8.60717105319849	8.3557524991356	8.42143140648142	8.44399707904341	8.666419398072	8.55517686103107	8.548747046911	8.36239429868196	7.22048565562375	8.51309459970943	8.75280686470494	8.6510977393854	8.79430780319075	8.35210174470705	8.72201134690389	8.62415962575035	8.36185310955617	8.64556424228023	8.6826566844552	8.88754637199834	8.59337361433011	8.86400172057412	8.48527293829827
CMBL_32468	5.84760525504019	5.11590237499177	5.95717028748862	5.52672047680626	5.31915393652673	5.73693649208672	5.74357477383922	5.68742101200293	5.80859877593688	6.22487324231157	6.23578680788873	5.95071384179471	5.93764569984081	5.98230463300625	5.73297409298077	6.01597342064388	5.97900864386757	6.15377864176746	6.17543061192284	6.09507813028005	5.66784653222848	4.52799498494391	5.75408535453517	6.07259862760244	5.9675441577723	6.02211226955671	5.34807005131999	5.90029584424645	6.0772408174324	5.73465189043015	6.02682561544864	5.75496847771496	6.3221504918961	5.98107997016167	5.9309915723598	5.4641747687047
AURKA_8116	2.17335415155354	1.83695007369667	1.80368466866947	1.77401486404437	1.88544947991746	2.07739567570105	1.29421610186472	1.92879917963426	1.83423012085422	1.25843554784245	0.825326099672343	2.45881432824913	1.31539876810581	2.73473036696315	2.56073745636278	1.99302347874314	2.02610821797331	2.28670401656656	1.88064769284527	1.22271750856112	1.78833629337557	3.14660667160259	1.6553853314278	2.59261803896246	1.85980751870323	2.83618873749006	2.66264338756755	2.52004417020295	4.16246309146952	3.91750225623651	2.22490883635695	3.32255926890357	4.18473306441707	4.46140990327631	3.602273201592	4.98752080460179
GSTM3_8760	2.29975263679784	2.91614852558116	2.79500480583406	1.86395745236444	2.29051753023569	2.5926239524971	3.04652340270424	2.24585324661043	2.67013262184013	2.99309620391242	2.28086059482662	1.75749581900495	1.89890628555006	2.87219800321332	2.56073745636278	2.54686815800712	2.51399707634997	2.90027137888222	2.38272407291388	1.68844833119096	2.69480710844102	4.01348748525889	2.35182196827301	0.916848396489546	1.9443806027424	2.36743878939624	2.7389659141184	2.88627610036107	4.37008078107756	4.1676006488948	3.5350712530033	4.08426013569991	5.95879353610837	4.17803508264994	5.23181566002455	5.32993563916632
NTRK1_33253	0	0	0	0	0	0	0	0	0	0.30107285416011	0	0	0	0.414380438931249	0.316151074097814	0	0	0	0	0	0.249483925277603	0	0.257567301227709	0.374060683463101	0.728920159598126	0.260756483875019	0	0	0	0	0.518364936161945	0	0	0.548142565725387	0.362627521534274	0.521861875958336
PELI1_32584	5.3956093348044	5.14480040842656	5.20295126066177	5.47770293918852	4.55186468443146	5.35237106885374	5.78975912335434	5.50324153243783	5.1411287095951	5.43412687141721	5.58760700802234	5.73834527389709	5.3556887147844	5.58238730331954	5.48722339667102	5.52616721097718	5.30434726042024	5.70518018983132	5.48171406732801	5.39668438548823	5.52136697444219	4.76477465201233	5.4848891881496	5.77017311466023	5.56184539436962	5.6188243611602	5.78605271712026	5.64436291562401	5.78984877437334	5.1503201578229	5.67667353650445	5.7712772613221	5.36596203343821	5.708860816919	5.85467718036013	5.89762880700911
PYCR1_9631	4.7886901162394	3.93224096664074	4.43931411118	4.33201667695024	3.08495252017949	3.95345241120161	4.35492153779996	4.39410174795171	4.5905000086506	3.87691540113632	4.39714054744165	4.92443203554737	4.77085878913247	4.58244214264154	4.25779064633829	4.51073382787206	4.66559178353203	4.82479531886271	4.83746068138673	4.40804588154223	5.02354632090265	4.07881854566118	4.74420834931597	4.70926943418639	4.88201939215274	5.49754244327535	4.9981749480791	5.23664467465726	6.07130642854614	5.33203636033666	5.61437834244471	5.28018829935234	6.24451982410402	6.29737348513928	6.12659050488192	5.71817347920454
TRIM13_10080	3.17855196138643	3.04437397751251	3.14674790356092	2.70046188704731	2.74174077191971	2.63997896414042	2.76760144856303	2.68428115147295	3.1587712660079	2.76585448674116	3.03645611350795	2.97796758955005	2.57588598942936	3.05657950817261	3.01883593695455	2.45181919208626	3.10100806506413	3.16084520213452	2.75446154661748	2.38512379257658	2.73627014624392	3.65495244936566	2.85892754191395	3.16862244289969	2.96219983476032	3.548161096904	3.00932858851983	3.60045912124926	3.69132739071946	3.49787103417228	3.1696241975711	3.79624774811393	3.49435256386844	4.00194298190522	3.49666139710069	4.57772305172375
VLDLR_32971	1.29018018405892	1.3989362864969	1.44605116472806	1.94862025966294	1.76352683906902	1.26840169110513	1.85375085889326	0.952925339374269	1.63194225694287	1.11123263866699	1.48603616628828	1.51196000853395	0.994560948519101	0.998685579917199	0.9855138405634	1.99302347874314	1.50783410240212	1.30909875374845	1.54399193303377	0.530689772768298	0.647402361757413	1.52125442535347	1.56296866636215	1.31032696523595	0.524329907117168	1.4766206679434	1.14011263244178	1.84991847143663	2.11303196286277	1.7986368096267	1.55850743198239	1.15566469132552	1.97605013233431	1.9157930110966	2.23724284551162	2.01815317528375
CCT7_8237	5.14924111744899	4.41592432276403	5.17261251381358	5.03036147625712	4.64112475120138	4.76373708705683	4.76255435017961	5.10858386233619	5.09264230160692	5.07555405691659	5.1593505837619	5.05646356714256	5.11869686712112	5.01240171595492	5.03784773472841	5.15585769618809	5.18754873951756	5.37353021515116	5.07739862457615	5.46362615681741	5.08100004868945	3.65495244936566	5.28242023070585	5.40733122635274	5.38400424564256	5.7253042055745	5.11017557308725	5.85969029942323	5.70040055377527	5.7190687506623	5.98312279395723	5.84503821392244	6.3069549468725	5.9544442318702	6.17874191828266	5.88172178395669
ACTA2_33040	3.52758664896294	2.0956346814703	2.3288641142534	3.41686348836867	2.10215351177175	2.93398256686798	2.57004656599343	2.35543723460741	2.95687631268617	1.62692623136943	2.5580042783838	3.80362037962767	2.07913596882817	2.73473036696315	1.30452716668053	2.87459934109173	1.95165364583345	3.21924627067429	2.43477649656753	3.1343598064166	2.41737490910891	2.45653612669963	3.71354121450754	1.61916334773444	2.54124701243136	2.25218209947296	1.97230923007719	2.10942663220948	3.26185474276248	1.33656060608685	2.00946078786797	1.70092526112232	3.89067994341129	4.0630598648828	4.45027956780886	3.83714749253821
GABRB1_8677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VTN_10161	12.2681072254823	12.6638722802214	12.3294234007975	12.1513091689338	12.6164580472634	12.4719451148963	12.352131983187	12.1429267450882	12.3243651144193	12.3124204642003	12.2806576215333	12.3686104410544	12.3270736965933	12.4019798445398	12.3266503829081	12.1933710944556	12.3327054692634	12.1085058136587	12.1687935364093	12.1701806137323	11.965499177599	12.6349815938752	12.2220356995686	12.2454403467689	12.1966528143735	12.1436913208493	12.0222134211304	12.4306626793754	11.9391320275411	12.1001343948434	12.0772442616089	12.1484191908304	11.5546269632365	11.7814439490201	11.474181518359	12.0853265146583
DNMT1_8488	3.33435952419328	2.77540486070488	3.35020505391362	3.55829160958106	2.533698519411	3.46778755274261	3.36395559486808	3.05297091959466	3.6356987304157	3.07483580317298	3.6821625118073	3.68991823570546	3.48192652316609	3.41265423038509	3.1035215814911	3.51506432517624	3.43746055908986	3.38147749156222	3.6211041007671	3.33838224298694	3.70951504675237	2.84244333023671	3.26307837811925	3.74758182724596	3.35100255130556	4.07455183213466	3.47869368684282	3.76026257681481	4.37008078107756	3.61476326329704	3.86971615636873	3.83813683007787	4.24975126176785	4.10241187071697	4.41205992814106	4.5644980458069
EIF2AK2_8539	5.38851441280855	5.66049106681701	5.26177933130217	4.82173548818769	5.6809065042646	5.49441122759684	5.65486110003481	5.24299412843144	5.21546914565571	5.22625670723484	5.27890807825426	5.11270306271505	5.1289629862436	5.27045653427338	5.00520164174919	5.17829882448329	5.06928502443734	5.63182829191786	5.62862377945781	5.17492401117668	4.81683407111264	6.06260236152622	5.05533004453221	4.99020744278251	4.99538094656002	5.49120224806976	5.61433570192153	5.32452160327902	5.63753079676662	5.73465189043015	4.90526316751127	5.02304752745638	5.40929566742901	5.4205253537082	5.62335085737953	5.94432385835699
ENO3_33181	3.2740403345661	3.00288567038373	3.17762963524568	3.91458898571584	2.80491638509642	3.4412999120722	3.55434745650412	3.75911725013652	3.68885526601279	3.68201979318734	3.5297941330864	3.68991823570546	3.44952713133991	3.27066075102592	3.55829242813707	3.62806580598164	3.43746055908986	3.91070738751397	3.50416440881404	3.72541860166982	3.92206789277068	3.54365793946865	3.40294022657277	2.85118034930899	3.49815340587795	3.68777809042485	3.9168389505666	3.80982503571359	4.09386791545518	3.56913648532557	3.99235331004852	3.66274780059275	3.71762088854492	4.08287003790465	3.70067830901335	4.04186937237628
BAX_8132	6.70398855650651	6.19505188151626	6.64761731973237	6.76847497444352	6.07614811263317	6.56980679265369	6.55391294151044	6.5022200427487	6.7242645579194	6.51209178594925	6.75200474501436	6.69560669344973	6.79977040593224	6.76557843656976	6.50258017506248	6.62377975071719	6.74587465536592	7.00108794718159	6.72526855218846	6.95087713147674	6.92413295795007	6.24798920307615	6.9738895342994	7.029519353899	7.20768698605606	7.35966155367533	7.24642501315125	7.31453599528831	7.80454725600889	7.76186264894047	7.72039274690222	7.51675559543434	8.38018886702334	8.1769909376633	8.32797069096441	7.97617429942803
PRELP_32587	2.57441515372583	1.9284298403266	2.79500480583406	1.86395745236444	1.63034132630241	2.54366165350461	1.60094139330755	1.99802951736924	2.5021040675295	2.95042145368677	2.11937406951205	1.96725801007753	2.89744983341547	2.6607505620849	1.78661560265762	2.67864107153842	2.16439557113299	2.82704695244743	2.5805329760843	3.09736391591125	2.36546843054258	1.08558995134339	2.17578054949674	2.52002682298541	2.09996519342086	2.71083169573746	1.97230923007719	2.25966336577154	2.28697792858941	2.08462766333702	1.7560926875333	2.09569441991476	2.73524232310002	2.30121198324402	2.61912623068146	2.01815317528375
GAA_8675	7.44170573143302	5.56394260982183	6.09296629242169	5.96303742718334	5.50183776521238	6.07944188868029	6.8547752312011	6.21294048577441	6.195922572934	6.26024502342301	6.17028697531583	6.22013180515521	6.22286636476272	6.17399508560193	6.214442997903	6.34174405281835	6.4266161244467	6.43207113107029	6.96980160281304	6.74801063924177	7.23376518547514	5.79742374475469	7.49375873016098	6.39531526774526	6.4229789323381	6.56837586427982	6.66945936133085	6.66058537880755	7.06949769495989	6.62397005908764	7.55942801554185	7.0009519485077	7.33387152015872	6.96161195609007	7.3286112275858	6.89607451471597
JUN_8938	2.35902790601188	3.46679569835633	3.70843986388053	2.79495808725712	3.23011836081379	2.63997896414042	2.76760144856303	2.84322805110957	2.77217873104043	3.2954719255646	3.46403585981212	3.43148882563325	2.69122312123214	2.93631273709382	2.97455295949706	2.72001997867208	2.34976017577059	3.4562282016816	2.94598379301038	1.95978061461211	2.36546843054258	2.9157920740655	2.60454370166725	2.08948128621861	2.54124701243136	2.95151884288217	3.09893973764256	2.88627610036107	2.64758128190848	2.90367697265255	2.67900431148135	2.91621617801656	3.54703900945767	3.35671270215111	3.85109711997389	3.67432393090574
