ID	S5P3_G10	S5P3_H10	S5P3_A11	S5P3_F10	S5P3_E11	S5P3_B11	S5P3_D11	S5P3_C11	S5P3_G11	S5P3_H11	S5P3_A12	S5P3_F11	S5P3_D12	S5P3_B12	S5P3_E12	S5P3_C12	S5P3_G12	S5P3_F12	S5P3_H12	S5P4_F01	S5P4_E01	S5P4_H01	S5P4_G01	S5P4_G02	S5P4_D02	S5P4_E02	S5P4_F02	S5P4_H02	S5P4_B03	S5P4_C03	S5P4_F03	S5P4_D03	S5P4_E03	S5P4_G03
	0	0	0	0	39.1	39.1	39.1	39.1	78.125	78.125	78.125	78.125	156.25	156.25	156.25	156.25	312.5	312.5	312.5	625	625	625	625	1250	1250	1250	1250	2500	2500	2500	5000	5000	5000	5000
PCK2_9440	3.7512283531091	4.06535731105452	4.40738433811511	4.07716191234771	3.90337309875666	4.28372686475226	4.38502806536374	4.15328809654447	3.78351557735021	4.11533608506081	4.33225200243409	4.06483999577459	4.24397803137347	4.72161859824149	4.11595083596254	4.59403442768922	4.114071158035	4.0987061619157	4.66714498137207	4.07347977817406	4.4048918417419	4.19211275605358	4.4826346573155	4.14147907534208	4.53272302358808	3.58393892742999	4.22621730745195	4.12964802521432	4.55758134921851	4.44579653827345	4.52925342901202	4.23750768935772	4.49084678822241	4.13723023836481
PIP4K2B_9486	4.48643186734815	4.62884858801746	4.60273549039637	4.69092334756046	4.6261815039341	4.67257227865373	4.65940393714486	4.59043595200964	4.69965617616082	4.88145300131798	4.94481401438058	4.41708232757193	5.02030333074752	5.03826648149684	5.06221655412771	5.14410917794087	4.99880914748328	5.16341559094409	4.83886430787373	5.25375312344832	5.15384014305398	4.75052358350387	5.37383283589027	4.96346139481202	4.74618373583553	4.841380998219	5.08626816855892	4.95979710591134	5.09866607194878	5.27424516365492	5.29708079147568	5.11512301231506	5.24795630314639	5.08066671169135
PLK4_9505	3.3146685767616	3.16988992225084	3.35488677503118	3.31469808080492	3.03444533862871	3.23807150493395	4.38502806536374	3.46938741287414	3.45869082628511	3.46600561989866	3.19014294940208	3.98275497247311	3.01937126413965	3.21549463533332	3.51680458175713	3.35903710749799	3.6570796064622	3.66568633898715	2.80625438179055	2.69637257578788	3.50846131850447	3.93122436828382	2.95311950480847	3.1907246962167	2.9187545060492	2.89593981798344	3.43860495537431	2.84582332302998	3.37527952323674	3.16469493988587	3.10840703776738	3.05889507798749	3.52897467103732	3.10300945400358
TDO2_9997	1.18811216167954	0.600379106807571	0.91008071957349	0.365927674981279	0.884614373437323	1.14080860048098	1.13333321742866	0.505728857009125	0.637138940410974	0	0.784421269363476	0.548741316928293	0.438726206550889	1.61927395659928	1.22605487885281	0.572790468338874	0.871567632303139	1.39872330623901	0	1.49939120488533	0	0	0	0.827292174740882	1.40080158813154	0.463640104017475	0	1.02256436741793	1.47821762252007	0.256198636269566	0.665833394771883	0.460552589877294	0.483217417431435	0
FEZ2_8631	3.6073017915386	3.43378516275965	3.47381707704827	3.35596356760923	3.47965128457157	3.70602849753457	3.09757404787968	3.57481028119819	3.45869082628511	3.57140480976987	3.54292888909021	3.35842132206781	3.60825604553376	3.63193324965493	3.1322038648405	3.39290202056341	3.71898611621538	3.66568633898715	3.69925448614669	3.42562674922595	2.75847584202368	3.33220071322587	3.61357441380642	3.61212867842568	3.26491667655723	3.33576975921652	3.97851763414203	3.44660784499221	2.98566752486741	3.86818626869045	3.75613394336494	3.40459718184753	3.67093091845901	3.13235513386888
GRIN2B_32742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.279881405992358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC691496_33185	0	0.331197813353046	0	0.365927674981279	0	0	0	0.505728857009125	0	0	0	0.548741316928293	0.235976415861152	0.602220229449229	0	0	0	0	0	0	0.656890781549972	0	0	0	0	0	0	0.270595142445617	0.290725649832863	0.256198636269566	0	0	0.261745994721521	0.436290387755553
GPX4_32827	9.70219422634761	9.72034276719435	9.80306215071539	9.94640339211605	9.73744693601878	9.9511985781221	9.93105048788841	9.71325151937422	9.71800432225631	9.63399436591582	9.58464109710108	9.88789719201693	9.57720463611125	9.45143735240201	10.1587669542842	9.55193449500966	9.53449904245065	9.47293109829848	9.87589188105739	9.42251198263105	10.0495576436836	9.44750972874648	9.59786443188573	9.88702387329836	10.1546978618933	10.015356529776	10.1325450319723	9.26581108684483	9.97070519611093	9.91418325162133	9.68963577335521	9.37383342788848	10.0012485398365	9.7014778817949
MSRA_9254	12.7676753033542	12.4083159671745	12.3516767377291	12.4223509726101	12.4855550123881	12.4008902029387	12.7137446373164	12.4049392679674	12.3970084192767	12.3774617096602	12.1862653260947	12.6678140023126	12.3104961655313	12.0712656842845	12.2199719194776	12.2359545166434	12.2819316807874	12.3828375176575	12.1082670997539	12.2911373726845	12.4397247336596	12.4294106060478	12.3496512354338	12.4252316758996	12.40503904351	12.4070485466317	12.4079227589496	12.1249223727235	12.373103994692	12.3568683477872	12.3614920769781	12.2774454635737	12.4268818481312	12.4624230336271
MTHFD2_9261	2.45283356825207	2.68239499375909	2.83876109780151	2.15850516401538	2.70060880441307	2.89276224347587	2.426725235512	2.94812381456952	2.11485041788337	2.25363822410424	2.83600703734744	2.36884660397427	2.1297337950087	2.50142862557118	3.04124776208887	2.2189308283213	2.76713555217938	2.44424861250741	3.01169914235969	1.78086093330935	1.95732213985771	2.72588613129852	2.30279484332429	2.16497404191641	2.83830829474375	2.26007646005685	2.68106462776186	2.7159470581377	2.81309279341196	2.50178631282545	2.8197375531368	2.46279192275881	2.80071651608262	2.43669675859156
RPS5_9747	11.525698593605	11.2727596263367	11.3504962720718	11.4248122661745	11.3918151441602	11.3846712611505	11.9438504325656	11.3711961525733	11.3375504069856	11.2673622767109	11.1712908950072	11.9127903313732	11.1746145151184	11.0676017858064	11.5125763393471	11.1472879391148	11.1878898099072	11.1423125276401	11.3348244658582	11.2285475181214	11.5764603100439	11.1562447971016	11.3040064793161	11.4591149892491	11.4383011348822	11.514090750631	11.6098493705762	11.1096381268862	11.4531411118221	11.4937805010981	11.4437870196365	11.2558825522829	11.5537336790514	11.4404414952817
SPR_9930	7.02029435966999	7.53936974465881	7.42252924077892	7.33042711173737	7.42581806280583	7.60742181906868	7.17230722715545	7.330551454463	7.49460054052875	7.45977303911133	7.12433267618988	6.95544264921217	7.05371984067473	6.88044668788922	7.3083161184377	7.21844417177103	6.96136678037621	7.13530450691722	7.47445660260338	7.01017972091891	7.05593253048081	6.94542864546796	7.0252965292652	6.95561451087329	7.11260016888174	7.12247763613446	7.44887943912814	6.72242248782747	7.18876441793696	7.19908375671155	7.12521536649037	6.87057705068834	7.24780379123752	7.1030894593925
NREP_9364	9.67819181506152	10.1308632173039	9.97737588869621	9.93495997674466	9.94800512484871	10.2147705154149	9.78319105773932	9.96428430662674	10.2615416669197	10.2271988814409	10.2025321207381	9.70959339897686	10.2972057783312	9.86849365948604	10.057968687215	10.3770910863076	10.3210418884211	10.1407113858063	10.3178245361018	10.2047849581767	10.0705995299819	10.4835120872302	10.4033739096578	10.2228560552183	9.64665854764011	9.87566606662907	9.79967039008823	9.79560450896525	9.95033958531125	9.64958743448181	10.1897116481457	9.96826221100397	9.98208007756831	9.79016999690909
BPHL_8157	9.70440684016788	9.90719047624602	9.98803111259991	9.79756128273032	9.89833586342295	9.80985501109357	9.7792769164339	9.87744213446671	9.85318856400968	9.97684891524795	9.71622383126589	9.51251695783496	10.0982780832118	9.9164586983148	9.90514904525494	9.76694067841488	9.67094497109405	9.92171516971898	9.89191047315548	9.87962217927715	10.0464140606508	9.89644013296533	9.83205039078892	9.86083111218901	9.84304142457939	9.79240382286599	9.86050549174754	9.93256456585888	9.8152912417835	10.2786474746998	9.812342927494	9.84772818801949	9.85675625347611	9.74754289626833
ABHD6_7951	5.09770101239626	5.37556151427007	5.53220029526198	5.24621359899553	5.10549817646925	5.3774664761364	5.36408944662694	5.22982331295833	5.25554618647407	4.92187406240956	5.22809766252203	5.17686037068617	5.11211495240821	4.96836643365411	5.1734762660456	5.2215341619783	5.21831800639452	4.89524599553266	5.19982457592061	5.29909480772198	5.57625484352499	4.92477671363737	4.6534487358949	5.05031033426612	5.39273172172277	5.08637903514401	5.12747197150523	4.66357412874671	5.50550430678789	5.23011044988559	5.18525456822442	5.31915254901633	5.46491494707151	5.00335979277017
SLC37A4_9871	10.3668219302329	10.3227246588518	10.1947921160736	10.3121161530563	10.1724829050985	10.2302913925551	10.6971180441277	10.4151941361115	10.2391820213211	10.378728725036	10.2852456326795	10.5279019299609	10.263188719428	10.1632341848836	10.292031494854	10.2208843654094	9.97478618768933	10.1493507019817	10.2194408318907	10.3599384393095	10.1678260531494	10.3844214297248	10.2718316746558	10.4830377902486	10.236426279655	10.1542696185849	10.0384668586549	10.0629389044278	10.3787055159644	10.0939811591008	10.3831077117339	10.288059175666	10.1973189090817	10.165491508515
RAD51_32943	2.61215797961382	1.73227663031934	2.30922796097622	2.06205615950446	1.18231510233262	2.2063735694935	2.06456079135218	2.49011962707154	0.637138940410974	1.17394600504977	2.02510156581545	2.71231115102638	1.87403088829028	2.12675197341429	1.77005760906089	2.05938476710996	2.20011184499033	1.39872330623901	2.45838112114504	1.49939120488533	1.95732213985771	2.00856558679862	1.08680840816475	2.03471143801447	1.95264831596185	2.14115541278621	1.98283977409535	1.51437386219288	1.87933908035686	1.96898070290728	1.65555472603099	1.78427242905267	2.37225703366389	1.64095559182659
RARRES1_33060	7.54217185955497	7.56515497519178	6.70459810868459	7.00036525201743	7.36786537495729	8.02506491660623	6.93960598627475	7.32300560309243	6.94431037125407	7.23760252664257	7.75069070962376	7.45134423968233	7.45828586553	7.36373270984738	7.27626769637282	7.62691349132698	7.85575726598888	8.17052948494172	8.00594849150473	6.63909649151056	8.54064166782763	7.93702317705811	8.06888914629531	7.05557530162625	8.2108508000982	8.09746408145369	8.48096343655239	7.90505776187538	7.28484025947188	7.93936846923533	7.19617071417344	6.94512021424446	7.62455958854359	8.3821465901028
ABCC4_32768	5.99205802547445	5.56834658840013	5.71232922993372	5.82581194057082	5.77447640464262	5.78730341087823	5.90416427634752	6.1435060869592	6.10306755675229	5.737280956269	5.74779799509032	5.63212089302009	5.66553462338248	5.5892432945007	5.98663202940861	5.71205810133284	5.62632947677578	5.61956555411181	5.66914452276596	6.12568844469935	5.80179741102944	5.63845288748603	5.65699957551346	5.83644210623512	6.0218975973799	5.59625263743597	5.18715183900983	4.95020131355124	6.11046548989941	5.93185400700936	5.8503368408953	5.92587928099204	5.85036714791099	5.59449347021015
PSMD9_9602	5.01454835445154	5.04435585110727	5.31043566470834	5.24621359899553	5.62168414513516	5.27642597033755	5.23286256714329	5.71809799177594	5.29688637943763	4.99946952166198	5.24880288489308	5.02108016442778	5.23292658189305	5.09403595160096	5.63660202683407	5.5262030982741	5.26056191043077	5.01483551632635	5.61345201525435	5.15855688293407	5.54095090742903	5.00459771819181	5.50460237563894	5.45866191028187	5.37857897921491	5.45381076683396	5.02216826344647	4.67527040665222	5.87831209473499	5.5916079334917	5.21593256151954	5.2707860163058	5.57737655518546	5.0731197889928
UST4R_32736	6.14975277004844	5.50417170821244	5.50452845951398	5.84042432247768	5.63402937013741	6.1228302462979	6.02368128881	5.49451964869234	5.25554618647407	6.10515655603941	5.00284892596925	6.14739106478897	5.17733184192679	4.83069652928134	5.31609739777176	5.19298450114518	5.55174041681051	5.18211851803847	5.73441696079411	4.82825112616314	5.55871086233249	4.88314658671794	4.99598180943806	5.01619554544885	5.62627074029717	5.44128059404014	6.05423195187102	5.22943592633005	4.68825586272554	5.43192686371067	5.27539824401379	4.72162656654542	4.84051884244175	5.30985652977786
ALDOC_8034	1.3775013080912	1.34956045970096	0.91008071957349	0	1.18231510233262	0.487159002110135	0.483243884508248	1.9777867107303	1.07757367858187	1.17394600504977	1.17900278990928	1.25606061542508	1.80233779799823	1.84408625152045	1.38245542353954	2.2189308283213	2.36408199812833	1.92817689006766	0.715704717588416	1.78086093330935	1.72540260240163	1.44778909352382	1.69958386129068	1.11205144048247	2.22992184462458	1.33117061103099	1.98283977409535	1.51437386219288	1.22622020340671	2.03887224378791	1.56313284923757	1.61747637818636	1.13328261929762	1.72040265476281
TRAPPC6A_10076	7.09302824218068	7.46546133705861	7.66366533804812	7.66191770355288	7.73464797723065	7.63683620862632	7.24600665298884	7.80693814173623	7.58915252000133	7.19700491982309	7.82955017861716	7.10358814876461	7.54183066769085	7.50620670541817	8.25525855196398	7.57069301207884	7.63669552448106	7.58338594399242	7.81616218344266	7.75491764661106	7.89840527338903	7.57468191745786	7.5813825033956	7.92242264378032	8.05938863311655	7.97241197298841	7.98839086131444	6.90982701579313	8.1671003485775	7.93936846923533	7.88374464389985	7.44443248925848	8.33923296579589	7.75758030685546
BEX1_32763	6.18820494471229	6.26916315184529	6.56421874723382	6.37993898855983	6.30888637780614	6.15571556978334	6.02368128881	6.60204513431685	6.6089878071305	6.28636054360233	6.30413379469263	5.91263885236881	6.25784044423276	6.26480788285805	6.54962435916605	6.10325178667166	6.57026543836741	6.36398492832353	6.62391594646328	6.3789541102632	6.75839196508343	6.14933706121314	6.59310100451344	6.48644560203191	6.49835135913471	6.56979764575645	6.93145670053174	5.91192248914905	6.4122274591162	6.36837722201865	6.79524205602663	6.50290984576941	6.58926761174111	6.37984776671188
LOC102553917_33088	10.0436822618514	9.8039354230986	9.78232699541512	10.3153887118506	9.82888537580345	9.84808294984605	10.5254854092032	9.75800896153671	9.97200619395339	9.76266540328586	9.75714510946277	10.6274930546488	9.72871672638647	9.86809383940139	9.96282134226481	9.82739758363484	10.1549564715855	9.61992819220565	9.98354253267649	9.72103742963559	9.9445575152423	9.90361509040825	9.81954226843034	9.71293266724865	9.8365847797735	9.89014445878023	9.9522284551473	9.64165944887522	9.84711295003995	9.90543987634626	9.98730898484793	9.81165757810828	10.0034870003435	9.98322268908133
TCEAL1_9991	3.64465176412054	3.59651427325668	4.57639615416669	4.0269444314194	3.94360331081457	4.37033269243314	3.93770195143011	4.40274559307749	3.99923605175651	3.57140480976987	3.62968530084025	3.80308745333312	4.02525069354303	4.00211542924606	4.07067430566639	3.9878329536372	4.04323936772758	3.55524381216563	3.65089483310121	3.78561716804397	3.99943232552596	4.19211275605358	3.9117350530639	4.20342969075246	4.3988914717577	4.52249386310143	3.88550441811564	4.02384047695308	4.20272496412291	4.09838520375358	4.090055273208	4.46335121329663	4.31456869102213	4.24862201511607
SNX7_33286	7.0167376678652	7.07055790375907	7.45180311961496	7.36368433490196	7.30362807599009	7.54673035470849	7.13195099109999	7.4181511197573	7.22694017716267	7.18874648525759	7.39279213249645	7.07910694773735	7.21598565496249	6.87408924113494	7.30587597313822	7.30769685982826	7.11892484372929	7.24388513134149	7.3031568952394	7.17734372986529	7.2918969539878	6.99512769457622	7.17307370751319	7.21068949859694	7.44692634815061	7.35735188984077	7.56215689409872	6.8620135521852	7.3255694978367	7.38332226342132	7.25643965754726	7.07955472628437	7.50957031494381	7.44318454873087
MAP1LC3A_33215	9.13021776778951	9.17754088795707	9.14204355777707	9.1468782991539	9.25640818886964	9.19734922079194	8.86087555084912	9.26103068577855	9.1410098640281	9.16456406221068	9.27803185299108	8.87598097295257	9.32916976403875	9.34225640695272	9.39398023907055	9.39785354743895	9.44402755855963	9.26660998232881	9.27151441900908	9.30656962702322	9.38666710494836	9.33814229871276	9.32322738458195	9.27814441243915	9.48183981588154	9.3108291024647	9.46494625738352	9.16519912349578	9.3693562642112	9.58935720523291	9.44088290428508	9.34742420073378	9.51111263559973	9.42292047696518
SAPCD2_9777	1.18811216167954	1.19552857592642	1.21333231961431	1.10758081377061	1.18231510233262	1.14080860048098	1.13333321742866	1.42188948167401	0.637138940410974	1.17394600504977	1.7432150897158	1.51158727067101	1.37814082223525	1.19857425073443	0.342387326243838	1.87997525633755	1.25262750818079	1.63427020625046	1.43976174838357	2.01627868913767	1.10659084585468	1.84472520569776	0.64341120757697	1.89150928654106	1.60909451044322	0.813962755756261	0.577360921590329	0.270595142445617	2.26163364342373	0.829695715341862	1.11966754707618	1.32439308291675	1.37374868300969	1.16086983879785
HTR2C_32686	0	0	0	0	0	0.487159002110135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PXDN_9628	5.79020160730123	5.1105081325145	5.31043566470834	5.27876586173955	5.42258344443783	5.3774664761364	5.76331481559862	5.338602892353	5.31712057455425	5.1769544201167	5.04291810802779	5.86760751416149	5.02818144740179	5.67950666987116	5.27676662613795	5.49535919485775	5.83642015435452	5.38946484612014	5.24124351497632	5.34305478725003	5.30879864530072	5.23717393356762	5.3932557005734	5.08363702528836	4.74618373583553	5.02051998300411	5.33518956942483	4.95020131355124	5.21596487764557	5.23756063541463	4.9036762337761	5.05110587167557	5.07143338124588	4.69460163112507
BNIP3_8154	5.87907128960336	6.48403672245431	6.07416015485503	6.14705888046114	6.39844783666497	6.04597740487469	5.82536986554649	6.16898377881629	6.16018837558097	6.46794504185474	5.97189542847604	5.82112518538962	6.12088201504612	5.93906052101283	6.01678558661072	6.07223638931163	5.61008420131724	6.07972621723795	6.23029711750161	5.8642685301991	6.12153428060575	5.92154204813626	5.90717681397877	6.23530169157526	6.07552283052947	6.24878793626953	6.10668714758289	5.95093676512889	6.21388713634084	6.10476307046316	6.02074235067907	5.78539114027779	6.10506460894119	5.96038237001275
BUB1_8163	0.713055209258547	0.600379106807571	0.91008071957349	0.365927674981279	1.18231510233262	0.487159002110135	1.13333321742866	0	0.637138940410974	0.504630503111958	0.62461650847982	0	1.16602430262691	0.82950574911531	0	0	0.352250015599924	0	0.279881405992358	0	0	1.19907403104438	0	1.11205144048247	0.495818583262043	0	0	0.498363933058826	0.739646107611051	0.256198636269566	0.257607881170368	0	0.261745994721521	0.234575238681164
SLC13A2_32360	6.23180765950762	6.41590716714371	6.25110135230887	6.40963900423072	6.56244013689497	6.62364313752409	6.4085992408677	6.34322183748352	6.47132098055117	6.52153617639381	6.42731698248395	6.37359908794171	6.16084566954142	6.16418202150022	6.38368151143606	6.17799284158919	6.01976959361832	6.27095113482038	6.45111896562567	6.34692655076685	6.63825413222656	6.25102811931773	6.34640015649243	6.22039636076507	6.46525120465293	6.43725790907955	6.32608571203541	6.09722837307325	6.67747936216879	6.6171193086812	6.41376784604322	6.18644387265936	6.57428705788428	6.37064225170262
LOC100910973_9069	8.66184887661589	8.98745386139911	9.21855210764638	8.39066303066332	8.82442380627099	8.99756351316662	8.53384966890156	8.74704204611948	8.6976988239517	8.89316503829663	8.17340879123757	8.72794543453569	8.70637443184822	8.50120245898282	9.05642116780326	9.22767466891882	9.13046913252568	8.79313324068313	8.56803247634446	8.47363822673736	8.82924048578894	8.66448226243586	8.88769967363949	8.82653536559702	8.95900526341741	8.93532048989558	9.16322794981078	8.67839204422689	8.92322114388163	8.74191219623245	9.45179832930753	9.01077472084438	9.3520136018671	9.00238820218047
KDM5A_8954	8.15237159428066	8.01569045986987	7.98729703055916	7.88974608555128	8.10429378576803	8.04275363703311	8.02028060905567	8.17078080818835	8.230142255381	8.14590261183559	7.67748816996109	8.12488720263592	7.84920472084166	7.85829643635136	7.8133001654135	7.4928038641935	8.04438878605011	7.73674672137509	7.85002438759616	7.65818091885065	7.67643940206585	7.72658204649103	7.80813532141759	7.58112954757903	7.80274498621438	7.7491623537074	7.82579723185662	7.7240462401992	7.45969580845349	7.84741186150956	7.83022044878195	7.70192258668263	7.63470387158758	7.51874575367137
EXT1_8582	7.47377630448512	7.3942159974634	7.65739648767733	7.55079814533654	7.5741372135296	7.47036086116144	7.48904178608897	7.74898878132409	7.68179358305022	7.57514782554042	7.65826966833102	7.72819849948804	7.70061047891103	7.69477076966343	7.76259637308197	7.53322334008434	7.79237956857781	7.63859717007421	7.54561728418653	7.72200069215154	7.48073158265227	7.64486653130233	7.70310550120662	7.5782096007224	7.69551141672856	7.56218415496009	7.71527453341236	7.38435904223967	7.67672525584935	7.71490841808888	7.61547391818349	7.5824572152097	7.67879045566176	7.64118701551789
PRSS23_9581	6.57912353528328	6.74229750814762	7.24995638726925	7.05463666540009	6.99933100026703	6.51378179089462	6.59233717127541	6.63897906391899	6.46226454258447	7.16368369249401	7.09604500329928	7.1180799156407	6.84210218859505	7.49174576719625	5.44587912951794	6.80898580084377	7.0117040194295	6.53013867835064	7.40690159529978	6.34692655076685	7.12312230702085	6.84057927405419	6.87452348334668	6.73215874815766	6.1852939123559	7.03345368077084	6.79745749169439	6.07532560873784	6.57984824481676	6.9678066384228	6.4529282333466	6.82584371385656	6.8992075498947	6.99541352856578
SRC_9938	3.81814242096487	3.71465221563592	4.43696399690796	3.89317590306523	4.65069133467351	4.05880091898773	3.93770195143011	4.53925472372851	4.6040806634504	4.63629496677164	4.3830845296751	3.54158978165352	4.27078788144078	4.19807821291549	4.75391082047438	4.40782895833872	3.83535806817892	3.8169531124012	4.3861792667767	4.26845971373275	4.6231598672145	4.35324138406412	4.40821274275828	4.73083628073746	4.01564593335284	4.49850373093137	4.46995384009967	3.92932415440885	4.48751968074239	4.36646834341716	4.1389012651365	4.60384973103584	4.22532613952018	4.16589481636392
SMARCA4_9894	7.62392893844266	7.56908134559022	7.77787292144763	7.70646988770517	7.67913750096663	7.68831649616242	7.4034775270374	7.81771700346314	7.81936767663564	7.60338224284237	7.78299020811399	7.48527731227841	7.78323507895896	7.85990593943739	7.8422151278319	7.81975789572284	7.82968739754301	7.71924535004124	7.83251526080542	7.88699612422605	7.85234667889591	7.66342971400903	7.71086654929279	7.88273967281793	7.8776146900783	7.90100318266935	7.95444566187887	7.67245692602676	7.84166040529955	7.88703412201693	7.84624213369161	7.85739780162922	7.79189250738646	7.85980788133339
LY86_9165	6.18820494471229	5.83285124237718	5.74816703113791	5.0714294384791	5.58400169266952	5.58486586510645	5.65356236052324	5.45364036281874	5.16913275104917	6.02392666301718	4.78388855157493	6.18458540002259	5.08970397770204	4.57254062667818	5.20524718461497	5.55640135800553	5.89122581589645	5.01483551632635	5.19982457592061	5.25375312344832	5.15384014305398	4.98505266603239	5.3341845897153	5.11621121010016	5.6500314083629	5.53860099080783	5.33518956942483	5.33643772582486	5.16300925122242	4.8079493234413	5.57069873397407	5.19134552021463	5.60712059595973	5.32899376047337
SCN7A_32495	2.36604733070571	2.4969823281661	1.21333231961431	2.3339790437281	2.87716173702854	1.76981046526619	1.92036298521848	2.1239058156967	1.41452824540054	1.41956034125013	2.41532803343521	2.49264516232519	2.06993022686741	2.3630049945486	2.16417071898117	1.67504346571618	2.43956983357629	1.83670302427985	2.21400550586189	1.49939120488533	2.87646602526873	1.65986569174519	2.12832931554667	2.76715461302458	2.5659498973478	2.26007646005685	2.97995978667268	1.6149705737306	1.35771402222854	2.45141822840486	2.04541401497109	1.70328356155879	1.6727497770825	2.339390108052
CAR3_8196	4.73177398671813	2.429475843699	5.90455858008936	3.51014679953798	1.63954597282868	2.3267729534042	2.71597366180597	3.09712679651581	4.69965617616082	3.09384391649665	2.79904798177722	3.07123795339293	2.7412540860831	5.21969390485709	3.1322038648405	2.14136217772816	3.41673829650643	2.50493376922795	2.07430887415755	5.7707988926398	3.83427257526123	2.00856558679862	2.45842009688687	6.62870824316698	2.22992184462458	2.89593981798344	5.88434973425097	1.40623341322825	3.77879286731461	2.50178631282545	2.35202152819304	4.64779815154633	1.48045088856365	6.5029132954555
CYP3A23/3A1_33326	0	0	0	0.365927674981279	0	0.487159002110135	0	0	0	0	0	0	0	0.332307484975327	0.342387326243838	0	0.352250015599924	0.303122164203936	0	0	0	0	0	0	0	0	0	0	0.290725649832863	0	0	0	0	0
