ID	S5P1_H10	S5P1_F10	S5P1_G10	S5P1_A11	S5P1_E11	S5P1_B11	S5P1_C11	S5P1_D11	S5P1_G11	S5P1_H11	S5P1_F11	S5P1_A12	S5P1_D12	S5P1_B12	S5P1_E12	S5P1_C12	S5P1_G12	S5P1_H12	S5P1_F12	S5P2_D01	S5P2_H01	S5P2_E01	S5P2_F01	S5P2_G01	S5P2_D02	S5P2_G02	S5P2_E02	S5P2_F02	S5P2_A03	S5P2_C03	S5P2_H02	S5P2_B03	S5P2_F03	S5P2_G03	S5P2_D03	S5P2_E03
	0	0	0	0	39.1	39.1	39.1	39.1	78.125	78.125	78.125	78.125	156.25	156.25	156.25	156.25	312.5	312.5	312.5	312.5	625	625	625	625	1250	1250	1250	1250	2500	2500	2500	2500	5000	5000	5000	5000
MTNR1A_32955	0	0	0	0.325487721956718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2CD5_32440	0.744774260049066	1.07191961310296	0.41318121305604	0.814971968840538	0.879256460743997	0.917296362523581	1.58527072622003	0.830152711190047	0.920907542344832	1.15379093309265	0.85123626500688	0.306199004113942	0.703763517763261	0.58508383283427	0.946496781724435	1.11587818998401	0.750571743445043	1.39603579415193	0.310548321559109	1.26411546228809	0	0	1.32571243468357	1.9591145325147	0.797162133114356	0.9780425714193	1.77538464712211	0.919121779158028	1.50091659578723	0.492796736108965	0	1.14672811419104	1.29231044205998	0	1.12940231787763	1.17588255730238
DNAJB1_8478	4.79718134759933	4.89034676335755	5.05167791496984	4.77194635540777	5.0762877910367	4.90104134635924	5.16233708415918	4.86779349147739	5.06422677700349	4.64911127909479	5.19558568167954	5.13126827006561	5.12731956414128	4.76853493559036	4.96039989072677	4.93775073037467	5.17579053083636	4.89859599117588	5.14345838370188	4.71327697886379	4.95318148598813	4.96621460032066	4.46544750213784	4.07769414667816	3.75921485505822	4.76470481329776	4.70269583319896	5.39177929526966	5.06944437960945	5.0866469920414	4.77753843306024	5.22586703338618	4.9061207142451	4.80938959432337	5.02996037385345	5.05841620318688
HYOU1_8857	7.10794212283742	7.35140901231245	7.41045661381667	6.92445485094045	7.39451276599255	7.74020694121982	7.36328003082986	7.27086113781775	7.47953866297062	7.50366723654669	7.25705520213555	6.95638502786637	7.32636153935399	7.29038048729563	6.96858727233922	7.09173364684719	7.23975204036909	7.41305724939314	6.79755964044294	7.46127384237688	7.45252193219106	7.39820565454894	7.45747690941156	7.43337546449393	6.80286459277976	7.19444810932376	7.24842013785708	7.61560081578203	7.2668500988451	7.21330428368124	8.11322416967303	7.39006600270367	7.66821061439083	7.38940978615752	7.165125152607	7.38205518904442
MS4A6BL_32383	2.20282440607766	1.24961878692541	1.41039229768898	2.33611420763207	1.63160145381053	2.3215175594517	1.67838976159735	1.55811275359806	1.31547534437048	2.56069322788055	2.32775371335017	1.27421681881221	1.81352161060173	1.32214648534451	1.91898221951873	1.92654808976654	1.01698773064741	1.99696220299778	0.971380472027179	1.92736482896487	1.94675586502886	1.8162352287313	0	1.2893129408886	2.229095112752	2.28663398827144	1.77538464712211	1.4760849204061	1.30110750180248	0.859444999664642	2.38635878459711	1.5962290148328	1.77202621639975	1.30736017586454	2.52374349703846	2.69086674773542
ADO_7995	2.77740311044736	3.3741970367456	2.73064445184237	2.65874795962996	3.23178113393417	2.89571994772056	3.07079661188874	3.06863618818448	2.85860598629066	2.50988536434112	3.04201662377764	2.18481570677382	2.98481341500692	3.08778399224926	2.94899470002284	3.15985984069345	3.19998849126447	3.01275139659685	2.27586030852677	3.43464070080395	2.74634149778786	2.86869180181276	2.00472887572721	2.41477118765383	3.30043943096916	2.7695064578675	2.54759428357602	2.66579820327692	3.23557904655277	2.98584498649807	2.87627954350382	2.90212439219225	2.95660168283362	3.30002067891201	3.39251625218613	2.48992098775898
CST7_32653	0	1.07191961310296	0.733994388673035	0.325487721956718	0	0.289413323944529	0.48555893187609	0.256368670077126	0.37603321048745	0	1.05106686989252	0.773437202224639	0	0.322000895379722	0	0.30270366497221	0.423556368269054	0.626602467846411	0.565946036109215	0	1.27949115023096	0	1.32571243468357	0	0.797162133114356	0.9780425714193	0	1.4760849204061	0	0	0	0.490266110771845	0	0.576887379913802	0.841399360138212	0
FBP1_8617	7.6988288743758	7.69813426261959	7.98505609650369	7.49739259800253	7.77090570836434	7.73720601941258	7.72155931155472	7.82637220169156	7.7327678125722	7.53735418132821	8.12515500972794	7.0825499819407	7.86682901495691	7.62607096616244	7.54970493488892	7.5617102777414	7.84098362889031	7.28305686258082	6.91131940707375	7.64425624980993	7.01656325054328	7.17723794498958	7.3416531486458	7.09536466658306	6.15136296998937	7.07501013062444	7.40788570898509	6.90084497233505	7.36621844859114	7.22119961847567	7.45466857040089	7.40736591719442	6.92224042686913	7.50715202438773	7.2871610870725	7.35641521429376
CDCA3_8260	0.92672012888515	0.351127561116939	0.996285036031394	0.814971968840538	1.30392527976481	2.50207772875319	0.48555893187609	1.73708993236874	2.19321148768431	1.78657778409888	1.05106686989252	1.5318512452774	1.72482914207487	1.45966324381728	1.39098554536017	2.09367950383684	1.24179072365978	2.55957086817423	1.95685495048821	0	3.02461525231556	1.17683662507945	0	2.41477118765383	0.797162133114356	0.9780425714193	2.08101809395715	1.87691629177279	1.30110750180248	1.94492991120619	1.04060510725466	1.93844677941253	0.568583370685779	0	0.48118901235005	1.42173802279975
