ID	S3P3_D10	S3P3_E10	S3P3_C10	S3P3_B10	S3P3_A11	S3P3_F10	S3P3_G10	S3P3_H10	S3P3_D11	S3P3_B11	S3P3_E11	S3P3_C11	S3P3_G11	S3P3_A12	S3P3_F11	S3P3_H11	S3P3_D12	S3P3_E12	S3P3_C12	S3P3_B12	S3P3_F12	S3P3_H12	S3P3_G12	S3P4_D01	S3P4_G01	S3P4_H01	S3P4_E01	S3P4_F01	S3P4_G02	S3P4_F02	S3P4_D02	S3P4_E02	S3P4_A03	S3P4_C03	S3P4_B03	S3P4_H02
	0	0	0	0	0.004	0.004	0.004	0.004	0.015	0.015	0.015	0.015	0.0625	0.0625	0.0625	0.0625	0.25	0.25	0.25	0.25	1	1	1	1	4	4	4	4	16	16	16	16	64	64	64	64
PPP2R5E_9550	8.24026890463335	8.09817367678804	8.26794087630108	8.25285765991659	8.09079414265118	8.09673147373677	8.05526592975647	8.20461474697362	8.1077818191159	8.06107696131757	7.99335564222625	8.09961778294207	8.18532331448614	8.07684113703848	8.10562277266414	8.04816013622098	8.15389832340429	8.12815805250192	8.1476104643935	8.11499770478433	8.27636809242959	8.19511256705605	8.16777654692061	8.12873222694731	8.0345537814878	7.83471741714613	8.22728104608473	7.80141182225973	8.31292220584432	8.1679656604655	8.09913379535972	8.19413363875306	8.20303422438334	8.15020221272748	8.03506887315074	7.89893630041751
RPL19_9731	12.0467397604346	12.227381962048	12.1401692575447	12.1334403124734	11.8465561816839	12.1874797262824	12.2059034146273	12.0388775231327	11.7974416049439	11.8524591585104	11.8363163407561	11.8552159040768	11.8192521980737	12.2744051267909	11.7615091396294	11.9582721322204	12.2667739054464	12.198980388913	12.3697513510853	12.256778087609	12.3092069471717	12.2642378598831	12.1460859779661	12.115344130089	11.988534925984	11.9847794105983	12.148854630639	11.9544088010341	12.1586389885506	12.1364488312178	12.260032115971	12.2078827249254	12.381482318953	12.4344918193295	12.244213161661	12.2429888374354
ETFB_8574	10.8257112382799	10.9418682727352	10.9685090331757	10.7920051781016	10.8313732794972	10.9010685828555	10.9243820472996	10.9423153006775	10.8781343423964	10.7731900019406	10.856318082002	10.8447657522782	10.8494538844418	10.846785033157	10.9073733455642	11.0256473593085	10.8561375092466	10.7507009095693	10.8669162972003	10.9094413708072	10.9866484481908	10.9967942850355	10.9867906345789	10.8620669845822	10.7105299358789	10.5506810391359	10.830933703615	10.6353179209192	10.9047915987797	10.9387513118399	10.9988090995394	10.850315099382	10.8832316438119	11.0867938425681	10.9268356455077	10.8161051428379
FSHB_33074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GNAS_32916	0.485687477873686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.437240391713099	0.329328765004693	0	0	0	0	0	0.654296135521429	0	0.56803886982145	0.503604431712492	0	0.218611710101274	0.513946496363233	0	0.746013568067291
TLR7_33092	2.32265779821909	1.20171418732402	1.3418138581055	0.64005171144943	1.14458595954755	1.41312211704197	1.33763116728217	1.11089671135432	1.57819867786412	0.46534192162876	0.595228334880837	0.933186309590021	1.9724346402921	2.06759834276215	2.15148996403634	1.41340972731295	0.857176225867907	1.59307154960999	1.47002774767485	1.42952312470627	0.437240391713099	1.93384277212129	1.45434033728173	1.11890443291826	1.16028378994795	2.78202337036031	1.16141817462219	1.72044993957205	0.590334638795676	1.29132115298647	1.62702603264726	0.806029903111012	1.71834470707821	1.19146983617725	0.956503817050884	1.60001108517173
EIF2S1_8541	9.53034139184957	9.66698727525677	9.6399107902168	9.65747415641375	9.5540373212299	9.68051739837024	9.63591584071492	9.55952826564481	9.71675368438363	9.69638188552081	9.64709121754576	9.61901568881111	9.79953475047699	9.55182446291205	9.61652918895761	9.68009989232988	9.69332581632902	9.65056728254441	9.68525942420345	9.65230043162089	9.61614867692816	9.60691198379128	9.72981140918445	9.78017715621284	9.58137214641815	9.46229756757478	9.62242772584488	9.39686932963848	9.83302269225732	9.53177259236706	9.70750538816739	9.6584656603945	9.62620298461657	9.6380284356634	9.61566819015656	9.51099297296955
IDI1_8863	5.27141739237002	5.27440010173731	5.438215139437	5.085115108814	5.39808041311625	5.60185928695998	5.61799895232263	5.23011277591613	5.44293401119596	5.56799052265896	5.11715351440947	5.09576976633163	5.68082863498449	5.39102853743458	5.80956424265845	5.77222937007485	5.2058772251283	5.26396889872042	5.67895850000748	5.3337319023828	4.68822687597743	5.32110398454347	5.35850821835273	5.71589537569603	5.46680608359322	5.82889940777202	5.65737928025613	5.74937358082992	5.05996693873792	5.65006685069261	5.64029979788236	5.13142088019423	5.81509634137405	5.93878199369427	5.72063627292917	6.01462981938684
DAG1_8435	5.55548152341406	5.18699527831584	5.56522790104699	5.79292142520714	5.35604807468869	5.48885546340933	5.47669791368715	5.70130322728422	5.56899428740122	5.56799052265896	5.25859247669042	5.45107802727258	5.42994706935329	5.85603722002986	5.64914897163552	5.62193840470181	5.22947314873451	5.40035347460713	5.54861521232568	5.29967464703924	5.68003416382967	5.20554943250939	5.37876434290633	5.2667203980325	4.81610329546071	5.32868409571149	5.02403969323188	5.05030505251093	5.44195013562405	5.35924273155247	5.47398591284088	5.17690091388317	5.15065753693502	5.5348960517139	5.38619362338955	5.57662788095417
PRKCQ_9569	5.59185439606412	5.9106325822294	5.51769084028884	5.71837845140151	5.7297036477948	6.43991293897082	5.6837772704448	5.58411583045251	5.87265814710908	6.59875854575675	6.10694816552528	5.89874079680691	7.13130744925021	5.60587692855536	6.18603112344689	6.0599296252922	6.19820757988053	6.17967518225436	6.73542037457758	5.98381416087199	5.93503580535114	5.37558613817486	5.7951899429587	5.61602279162842	5.74114577800852	6.4301743227502	6.24459603749067	5.93673288275226	6.35570962842939	6.10922431174631	5.17357142101447	5.65517920067796	5.62730161149378	6.2499269997712	5.72063627292917	5.67551275550961
CASP7_8203	7.10314362944909	6.71438627674082	6.82059961949305	6.81247012582343	7.06379769828537	7.18677974653299	6.73318943415125	7.19243841079184	7.01006744018084	7.04375698920251	6.95514435702173	6.639225121936	7.24691900644136	6.96317489042324	7.06389312666658	6.73099949568441	7.15176878200913	7.37060194897796	7.56631279492367	7.21825512041848	7.21551311846336	7.03634686482481	7.12261920210084	6.85596907951512	6.90903908279077	7.45438576226655	7.32125343849441	7.37238061087895	7.18085242058852	7.10885868724044	6.84606816936154	6.86111912143586	6.71279460519764	7.32178205629486	6.91911048185132	6.75475442630845
LGALS3BP_8990	7.69717975917508	7.54626411098943	7.80036496128606	7.57207504773438	7.79031893901352	7.92965361506851	7.20953522834293	7.37487720153805	7.42786121001781	7.82961806736922	7.6228811668083	7.87770324689776	7.94284395120801	7.97782238607513	7.81556258583262	7.75507452977648	7.64105455810741	7.44670485442745	8.0772503543705	7.79510352730524	8.04842609618441	7.96425887690589	7.77938613423355	7.45615853593843	7.569530003959	8.23728656450625	8.22728104608473	8.28020412823514	7.78085494564592	8.00138667321567	7.78618570555794	7.71030766488518	7.83142160691959	7.77787334127289	7.89272683680093	7.80595698630603
BNIP3L_8155	9.70723431335266	9.81488462212539	9.8034536493775	9.93641553183179	9.50278804016263	9.72995309475598	9.78197847922382	9.71244859655556	9.41486320728571	9.55461121711441	9.46098961813932	9.50626125941513	9.53417112023395	9.99574432407822	9.42852966905373	9.61425311967262	10.1407914669168	9.9528556635541	10.1210362436689	10.0227721867922	10.0558947355904	9.91387513433152	9.94334487260859	9.95130795340597	10.3547972642152	10.5269288505318	9.98396187386797	10.4219834462566	9.91766123602909	9.93522633872377	9.87923987576248	9.94308477400321	10.1084164548545	10.0141233902012	10.0741262068591	9.9076787305147
JUN_8938	5.27141739237002	5.18699527831584	4.69276793350402	4.86781955119057	5.03936232090734	4.73401484719211	4.90784436539616	4.87848321530113	4.82814195097077	5.25939166286613	5.11715351440947	4.79856453538216	5.3286065262042	5.256958981935	5.22481168522948	4.9516751089238	5.00177805900667	4.97626040961994	5.12335399322883	4.90587931529479	5.02268103795513	4.72172470414945	4.85024922532895	5.00239765089057	5.0220505584046	5.46292038893631	5.02403969323188	5.32270903677276	5.01555769325282	5.01627129851602	4.99609912746839	4.98568861840463	4.99652055952982	4.90143141181871	4.94124738832971	5.23136388421201
