ID	S4P3_G01	S4P3_F01	S4P3_E01	S4P3_D01	S4P3_E02	S4P3_F02	S4P3_H01	S4P3_D02	S4P3_H02	S4P3_A03	S4P3_G02	S4P3_B03	S4P3_C03	S4P3_D03	S4P3_E03	S4P3_F03	S4P3_G03	S4P3_B04	S4P3_A04	S4P3_F04	S4P3_E04	S4P3_C04	S4P3_D04	S4P3_A05	S4P3_G04	S4P3_B05	S4P3_H04	S4P3_D05	S4P3_E05	S4P3_C05	S4P3_F05	S4P3_G05	S4P3_H05
	0	0	0	0	4.625	4.625	4.625	4.625	9.25	9.25	9.25	9.25	18.5	18.5	18.5	18.5	37	37	37	75	75	75	75	150	150	150	150	300	300	300	300	600	600
BAI3_32984	0	0	0	0	0	0.650215678294922	0	0.434220612376519	0	0.589088893372537	0	0.498209929346437	0.503062494594335	0.249887328152157	0	0.267358712609819	0.310951682974139	0	0.273217632402907	0.942099550177807	0.517044388759206	0.277454936240284	0	0.24398142293263	0.370920786122743	0.292400458033368	0	0	0	0	0	0	0
PEX11A_9460	3.51567487331473	3.67455706549429	3.30881364202807	3.42159244946646	3.45182485439531	3.33777456122322	3.25825188925474	3.65408750505409	2.74938947392037	2.85193011026053	3.72382191227163	3.98627959318598	3.01662456737688	3.55820785433851	3.37784572913014	2.98595149519806	3.23548219108175	3.77206334403417	3.46048130948751	3.06532731551075	2.9002018287272	2.96083672819055	2.85733860426996	2.89704147251166	3.20304167036252	3.47384312346218	3.01301860454451	3.2384720540982	3.16023484172455	3.02434513078856	3.11030389821907	2.97707571904147	3.71138410877442
LOC684193_9138	2.71513803305306	3.40994235335194	4.35681653038513	2.96359785594498	4.15853374954603	3.6308779022754	3.09764482219298	0	0	0.224162320705574	0.637016277490468	3.60127075388125	3.43357929572673	3.33306354439802	0.460279185624045	0.267358712609819	2.90577356960417	4.18335820475885	3.73351789531619	3.5638337963346	0	4.8037932796422	4.08440228613961	4.16603935269423	3.00652607448408	4.70949710267996	0.288082296218335	2.68008489123411	3.67686867159875	3.15174787325946	4.14967853997581	1.31864825015376	3.41673101898193
ADHFE1_7993	7.52901284736616	7.97051236969855	7.48085759714624	7.82268936996209	7.45644555812345	7.74117468841563	7.8026451873281	7.37246237420645	7.78106743782941	7.59096681666854	7.85751826901594	7.57383902573166	7.52807324311955	7.5892596007694	7.66531330584889	7.49809756982805	7.38130277594769	7.56383240869479	7.50927316758544	7.43510298432178	7.64790817601486	7.6644556481298	7.33700518364411	7.66232273228333	7.62304768377464	7.60489386786852	7.80168406255531	7.63167174316685	7.72631579648581	7.37728047914427	7.63150600588399	7.64201520486937	7.86791597388604
GLUL_32832	11.8868234675498	11.5980306517802	11.4366373445118	11.3265713588106	11.3508817830217	11.4255548266059	11.4089371506246	11.4914908296433	11.3394364507942	11.0928227200588	11.4393650733333	11.5016193126603	11.1807559766385	11.3056904730752	11.4630800698367	11.3098733440123	11.1235748725971	11.2499885618282	11.1129961577237	11.1197856604295	11.266573344599	11.3036923337554	11.4948394711342	11.1831451519837	11.3430062763676	11.1212369173753	11.2167567470524	11.3621297148895	11.4908897148249	11.4047329592781	11.5591726248673	11.3604164867208	11.5094509909827
MYOF_33305	3.42512114272678	3.25688475985689	3.13681820739966	3.05075087164885	3.26983377938021	2.47384466803382	3.46992102546175	3.61327019790834	2.74938947392037	3.4706577354857	3.13282927493481	3.52578424454183	3.68826266557506	3.4120805208995	3.12168928097673	3.4018087312856	3.34198269262047	3.77206334403417	3.46048130948751	3.67206992307959	3.35993460712561	3.53639367702508	3.67801094638849	3.21591715934755	3.15636490003554	3.69017605028656	3.0899301987135	3.36504440140408	3.16023484172455	3.12093634687335	3.30264080605376	3.03082160489097	3.28861999962845
ETFDH_8575	7.35598453164724	7.25162678453856	7.36867303231203	7.59877863237785	7.43498252147666	7.68639552614834	7.59643683028693	7.50666900860461	7.81508052352083	7.40887577300829	7.69697293343525	7.34043407327611	7.52153627941372	7.53291904810495	7.50889980083705	7.4718633908889	7.73242293705075	7.30460882112991	7.60508405775708	7.40992244660353	7.6338883135245	7.55320907403342	7.48687571155754	7.52762820399662	7.73449042360922	7.34666376753373	7.60935019648081	7.40550272708717	7.57434116925405	7.53605885160214	7.41747005574855	7.57349682112778	7.55172350137054
AGMO_33265	0	0	0	0	0	1.09680535783124	0	0	0	0	0	0	0	0.249887328152157	0.248418270808506	0.492832008036111	0	0	0	0	0	1.04283624103343	0	0	0.370920786122743	0	0.288082296218335	0	0.311036345503753	0.248283740295814	0.317664258891728	0	0
PPP3CB_32635	5.85940436670034	5.80991938575448	6.07177289065768	6.09847278202841	5.87015720101481	5.91212027878588	5.68373423102131	5.94023907536519	5.66137387131967	5.8450183004992	5.86235940609777	5.89149400691663	5.78760072920917	5.95174598838557	5.77948175314566	5.9030636130599	5.65959080144537	5.8707120752558	5.80848892992273	5.86671794288799	5.96394634940797	6.01382940914767	5.98004089031276	5.87006838433127	5.75662849295677	5.81430345374306	5.83078996961107	5.67181899397326	5.92858444456809	5.68169075991937	5.75373532058703	5.77598880588796	5.87707417843767
MET_9220	8.56805550401819	8.42135667766066	8.53860928399482	8.56945469313901	8.48577004956259	8.39149642363523	8.47706807113469	8.61291612193577	8.66701581073697	8.67349785121681	8.48579145473471	8.56219802118396	8.70523269206996	8.62059069884984	8.38517960660289	8.50546229110371	8.49612295546817	8.38769456059484	8.48865650979286	8.65519862012486	8.57343744702408	8.89160903020611	8.72452813240738	8.60788301021606	8.63542695239951	8.79169340201918	8.38018956119261	8.57989867991015	8.83127767282265	8.66358180775132	8.78756602446769	8.58886822712024	8.52436331892171
OAS1A_9388	0	5.1607432289424	5.34112998527724	1.96885473558582	2.28995485267944	4.53647004987623	2.17890397605525	4.0090577390186	4.76746888814492	3.83590449355658	4.75969658444913	1.95873855045028	5.21293599692154	4.6557309555099	4.22210727615149	2.22182777131694	2.34736454766814	5.04334955115413	4.28957716723723	5.69774761058672	5.57790399485849	5.50879338247752	4.1422549453055	4.92109169001081	2.17572741265255	5.68165975510663	4.57074613798321	2.94618451512609	2.85908743379028	4.31955423260097	3.11030389821907	2.28842931786883	3.95594442667353
