ID	S5P4_B04	S5P4_C04	S5P4_H03	S5P4_A04	S5P4_D04	S5P4_E04	S5P4_F04	S5P4_G04	S5P4_H04	S5P4_B05	S5P4_C05	S5P4_A05	S5P4_D05	S5P4_G05	S5P4_E05	S5P4_F05	S5P4_A06	S5P4_C06	S5P4_B06	S5P4_H05	S5P4_G06	S5P4_F06	S5P4_D06	S5P4_E06	S5P4_B07	S5P4_H06	S5P4_C07	S5P4_A07	S5P4_F07	S5P4_E07	S5P4_G07	S5P4_D07	S5P4_B08	S5P4_C08	S5P4_H07	S5P4_A08
	0	0	0	0	39.1	39.1	39.1	39.1	78.125	78.125	78.125	78.125	156.25	156.25	156.25	156.25	312.5	312.5	312.5	312.5	625	625	625	625	937.5	937.5	937.5	937.5	1250	1250	1250	1250	1750	1750	1750	1750
MEP1B_32655	6.07777407690332	5.04248265464695	6.11217950234719	6.1576016166535	5.35563367673723	5.62677016678899	5.27738968778174	5.84581066363848	5.2630185391666	6.06796218225035	5.91881410731969	6.07191327645825	6.02480158837396	6.11350581104495	6.13198391837326	6.5798306443648	6.38285676792912	6.05491674431059	5.14818825685165	5.69725173583388	6.302500159596	5.83702598569787	5.63129970291383	6.28177359219616	6.1985532054008	5.75895196469127	6.2371712867702	5.98957963209524	5.76468293843246	6.17774810499788	5.89389469416828	6.07914705034749	5.99226220781505	6.15939620665608	5.65313082304417	6.19362600570986
MRPS16_9249	6.91471730666568	6.78590476341465	6.80039275120694	6.76356594341406	6.6058370640029	6.77913111032724	6.78162298892158	6.70711075451165	6.70245891910963	6.89811491758851	6.39521986734115	6.91202377229271	6.93739735768269	6.854939393461	6.73914800643082	6.65992777101248	6.9400850354515	6.89138010049205	6.91168587555128	6.3641068327546	6.85206591636267	6.7263396173213	7.00693517856231	6.93571257807717	6.76080056414387	6.91716300269735	6.70083021099525	6.85057334755299	6.65015575564271	6.84832718465423	6.73275007848916	6.79063160112143	6.72541681445348	6.75405186310365	6.66219293070013	6.82588061363498
ITGAX_32980	1.9558130437389	1.76183340721908	1.35239422445075	2.18553505997362	1.69681305058857	1.79815238410846	1.95900930271432	1.77933088746075	2.5959749577568	1.83450370843739	1.91544649301935	2.5163063350835	1.6863123919557	1.7022717850472	1.84588568234319	2.69178051675536	1.97443004523095	1.60330509822846	1.86207584732454	2.67075861009137	1.96200992336059	1.79955355402115	2.12377761525837	2.61010292559206	2.50596879564312	2.87830751215796	1.40823454002863	1.92928192354056	1.98727821680301	1.84641468435377	1.88187246899556	2.73543612356756	2.16381463493278	2.98039450196737	2.14304007597003	1.93652335461268
NDRG2_32998	2.01410833406257	1.45371179444904	2.15442130260132	2.24674822026775	2.28459400003677	1.71683717916454	1.86682357096588	1.3202115816744	1.55057727421032	2.0731719817965	2.33680638355019	2.4253087599437	2.11353229520726	1.7022717850472	1.76951676635065	2.08277387039566	2.31500434450289	2.72368111966714	1.77929667341248	1.83853507030791	2.0563478879292	2.05581871617957	2.62449203336146	2.50118899995102	2.55674775728035	2.0622720148338	2.25726704068341	2.12776103460325	2.35197378881745	2.36560475145366	2.30012570337204	2.82679390304597	2.22477160112964	2.04002441009357	1.69083043892103	2.27079067489732
GADD45B_8679	3.66418052208303	3.56918628149788	3.31830829785842	3.99859948199514	4.02549619496614	3.80328028067574	4.9802139513055	3.54427756733693	3.65260807297301	3.0481861511562	3.87265867079999	3.25822060824616	3.56922595736255	3.73283935784879	3.74606156055785	4.01522378097131	3.57068791494776	3.9325054276497	3.76217560999994	3.3244699004568	3.49413292089813	3.94819297142187	3.56681643092857	3.42854317495697	3.4010986047475	3.53457424548854	3.54023062191069	4.54114327045603	3.37166816559047	3.75072002846743	3.8088479654188	3.43235365677143	3.38901661747469	3.40052397712671	3.04954732810713	4.0848187047566
LOC100911481_33186	6.9280448133018	6.88475814450597	6.96290326579746	7.20064004038305	7.2768276553588	6.93557209764847	6.80043467012794	6.82609303559291	6.84337155196599	6.98105477743544	7.42472617041745	6.95128494939611	6.82333555034272	6.83176844508356	7.04274076371991	7.16789714443837	7.04668784941607	6.92201661914531	6.82406104043786	6.75386355172527	6.87489909575764	7.20345926092455	6.90799361660238	7.01708363519118	7.03376575037756	7.08856960404459	7.1041604449337	7.00996811718327	6.71109422199597	7.17554242593956	6.96517916928255	7.01844639485977	7.07907041651333	6.97155499848117	6.78777121327673	7.01402044803427
XPC_32852	1.69576691416419	1.66625594359905	2.31315452980227	2.30546949420257	2.09114421272172	2.26661153027678	2.34802305868333	2.4070681067936	2.4468730622728	1.83450370843739	2.06998186876421	2.5163063350835	2.25434051652349	2.16467530479465	1.4157826469316	2.08277387039566	1.89548224841708	2.41456041845493	2.01461770427623	1.92264407210084	1.36718109496954	1.97535080920923	2.74056901678316	2.44348497671439	1.86607343439768	2.3286884090737	1.53128155471327	2.24636990995012	2.14437880444765	2.68968235109821	2.03516271674355	2.01702338406418	2.28325707750306	1.87494584055191	2.09368065264567	1.80534865477836
PRMT5_9573	6.10149470887386	6.00585902690935	6.37773507282231	6.35468665939296	5.93362179277342	6.19447740268719	6.20790676334626	6.12646195151367	5.98825386988085	6.11323747811965	5.4122592682154	6.33199532799086	6.36479514793615	6.46762542619668	6.17332519410666	6.07344088958709	6.26217824222909	6.24138035126167	6.43539537976572	5.993086177014	6.12340180761864	6.16641089694373	6.40429144258548	6.17501826252967	6.31374928806506	6.22699120385751	6.4392578765425	6.16547236965103	6.17762393903094	6.32516415962154	6.30913171752264	6.24979753418549	6.22639589240854	6.259082064405	6.25119261762998	6.36645827290324
CYP2C6V1_33169	1.37830966000344	0.902698276570771	0	0.838876429865817	0.860140179633898	0.465913490433378	0.566888041250161	0.642826526942501	0.672329467058004	1.83450370843739	1.04702970665331	1.0350224064383	0.916348316445747	1.15673659008295	0.637855766399362	0.684180708530411	0.504399509473045	0.327455402612137	0.856677117402973	0.717312717157588	0.610278086627187	1.23471027445532	0.827819633529912	0.736328806184243	1.27765222321963	0.277106773246137	1.40823454002863	1.20833374494683	0.752066656501123	0.332971847277051	0.868937367660317	0.903584474762644	1.23493955880798	0.530716426269917	0	0.221991391017925
KDR_8956	8.33327544111644	8.62140517020312	8.09736177570506	8.12310892630743	8.2375169509967	8.45034662096034	8.47661551393142	8.42157511160015	8.41178390732428	8.34057778395134	7.93892904370165	8.22463926889136	8.23003367549394	8.10532748745016	8.30581424479515	8.02067154303942	8.09741794052343	8.19223943852284	8.5998540737404	8.17880920308753	8.0925713610606	7.99677329401145	8.44163149157176	8.11446835024927	8.14796713139579	8.15896480813162	8.13088078763321	8.04276985521137	8.24949424547095	8.2216247621228	8.36938171075181	8.16613944323971	8.02421489136287	8.18332342736074	8.07069342828492	7.97734115935111
FGB_32596	0.713567743866839	0.520829217103118	1.53532898152209	0.989735398933805	1.15239243495678	0.96567648075548	1.42472699119329	1.69845894460891	0.672329467058004	1.19108472115411	1.18873360250661	0.432654973990005	1.47231319635132	1.40019202708636	0.637855766399362	1.27252584524375	1.3015085152479	0.594162950526111	1.27441650697426	0.717312717157588	1.03780872061684	0.927689582248364	0.600904519675849	1.07716457466948	2.15683571147777	1.04181188329786	1.27370602324951	1.42502605346529	1.09783967741918	1.02745246962271	1.02353677602808	0.903584474762644	0.826641102377446	0.917846325382892	1.02852077182995	0.735842428236003
TRMT6_10088	4.77578776301702	4.73617194994881	4.9232040074662	4.42660501990991	4.00732752132688	4.33986261418279	4.32281731881625	4.44435256820209	4.21042788186929	4.8046789905673	3.93433114825247	4.61063602277495	4.67939374146065	4.97880024247032	4.47987078315919	4.33735377825873	4.84962058666075	4.7128722462624	5.06326587953444	4.28278665574038	4.70106593321492	4.47263980306405	4.82697346954125	5.2838505768197	4.81066835868063	4.95746204483576	4.77957216500107	4.76628353669741	4.60068166751159	5.02997663012566	4.29220288136236	4.7956773261092	4.86003097449455	5.00563572653783	4.12848674198172	4.77865241907847
PLG_9501	1.46445898571331	1.45371179444904	0.897608383514375	1.12630214556608	1.78477366541103	1.22291006076373	2.0456566472957	1.20782968914614	0.918742005946734	2.84846641632627	1.91544649301935	2.27705241366456	2.03761500217676	0.691322135454819	1.4157826469316	1.85973903845347	1.03304022872506	1.9270546912633	1.77929667341248	2.21722907418695	1.50738213392301	1.48772014120685	2.12377761525837	1.07716457466948	2.01876727601858	0.709543872549487	1.40823454002863	1.52227536095606	0.935287464306311	1.20039574795755	1.02353677602808	0.903584474762644	1.34885713189792	1.22276700238213	0.375315636463645	1.5006830173871
EP300_32876	7.91160437057258	7.89454450353152	7.78264230700174	7.87551395723838	7.84084154382882	7.90807879136145	7.8401357120462	7.86558702403072	7.84175028191062	7.86319092532338	7.78143925285448	7.8816262509069	7.94714594700314	7.98562870010384	8.09804923853827	8.10681554617087	8.08078763147719	7.87122997304739	7.86611760704328	7.5645061044635	7.85895670031674	7.80784225840811	7.91747292679845	8.13169812508588	7.8964607363326	7.79630991039664	8.02361301602891	7.90642759108714	7.88627057787172	8.20013597590226	8.02150119520449	7.96088126294347	7.87175577065473	8.07568641467371	7.66775715106971	7.97352705563997
