ID	S5P2_C04	S5P2_B04	S5P2_H03	S5P2_A04	S5P2_E04	S5P2_F04	S5P2_D04	S5P2_G04	S5P2_B05	S5P2_H04	S5P2_A05	S5P2_C05	S5P2_G05	S5P2_E05	S5P2_F05	S5P2_D05	S5P2_B06	S5P2_C06	S5P2_H05	S5P2_A06	S5P2_D06	S5P2_G06	S5P2_E06	S5P2_F06	S5P2_H06	S5P2_C07	S5P2_A07	S5P2_B07	S5P2_E07	S5P2_F07	S5P2_D07	S5P2_G07	S5P2_B08	S5P2_C08	S5P2_A08	S5P2_H07
	0	0	0	0	39.1	39.1	39.1	39.1	78.125	78.125	78.125	78.125	156.25	156.25	156.25	156.25	312.5	312.5	312.5	312.5	625	625	625	625	937.5	937.5	937.5	937.5	1250	1250	1250	1250	1750	1750	1750	1750
MAPK12_9186	2.61461674661677	2.57778824059449	2.3213333114106	1.66595870159147	0.769405070128764	2.30791371087317	2.30016240047212	2.46109095668767	3.1477096746484	2.2968983150445	2.60515871821658	2.70548238982233	2.47115044833264	2.6002271725144	3.08991548507481	1.9809855233494	2.40830218658409	2.75593346062911	2.50208508533124	2.93341717880361	2.57931210947684	2.34871933749416	1.92441638608022	1.89071534089988	2.34416863375063	2.54875684320621	2.44819369559717	2.82565441523708	2.62147153357228	2.81782636217039	2.925736097282	2.02910207716694	2.18840402384401	2.61013532905714	1.56130068612297	2.23771059179726
CLEC7A_32927	0.479437912011934	0	0	0.4459463983004	0.435397488144401	0.52514066769725	0	0	0.548435181850709	0.520939199670416	0	0.586951112346528	0	0	0	0	0	0.655800189385507	0	0.635303737823012	0	0.750423404666448	0	0	0	0.683842243531063	0	0.686106509340964	0	0	0	0	0.775347234733848	0.712112548902157	0	0
DNAJB6_8481	3.27387511089398	3.35479635073994	3.16926411577344	3.52406558829763	3.88157173507323	2.64820924492913	3.58380423567708	3.6404655725942	3.07038530853295	3.34094251809059	3.06966076963154	3.00521427064876	4.10093512356353	2.6972858957024	3.41433202758028	3.6287055728227	3.34419593939183	3.70987296175818	2.772159054169	3.99441207306366	3.29971268533284	3.39944602727968	2.45241943043511	3.47971097165889	3.29792019648221	3.41988903335616	3.39936369732708	3.78530424898519	3.63840194619159	3.26967280586231	3.48515068058058	3.5589136332347	4.11826378466897	3.91077354564004	3.87365431265338	2.23771059179726
LY86_9165	4.57674108072866	5.02664549803745	3.90619665770779	5.0067395776056	4.01330006786916	4.84105000845633	4.57081298397475	3.93906869027982	4.41615981591857	5.1079580469064	5.01934502649359	4.78710113332434	3.96758748412744	3.58154554827311	5.09922511422556	3.52697493951486	3.79965484981389	4.55115253749055	5.12190685600172	3.59279124260863	4.78353953037877	5.48111596489283	3.90488512761072	4.5024275834531	5.36096670600427	4.47407460269844	4.46029034375769	3.78530424898519	5.38050618763755	5.34921188111818	5.18557165382478	5.3596475396283	3.92903718829306	5.64793301324513	4.57070432805531	4.90633962447855
GAS2L3_32431	0.479437912011934	0	0	0.786106887314091	0.435397488144401	0.909310580945548	2.18034484258194	0	0.548435181850709	0.902867083765724	0.944461096003751	1.00298189046799	1.00717281142934	0	1.05206433545177	1.17840776648145	0	1.10499351301446	1.9692508594094	1.07486809526498	1.07443641941811	0	0.640775025120522	0	0	1.14588913302114	0.710843295482793	0.686106509340964	0.653189913378643	0	0.677958204094693	1.72732389774405	0	0.712112548902157	0.722815125497789	0
SPAG4_32804	0	0.438310887425759	0	0	0	0	0	0	0	0	0	0	0.589748335247325	0.50790633317727	0.619879980955234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTA1_9257	6.69337676898618	6.80432833952423	7.10778632829752	6.86920979530651	7.23235515476478	7.05226552954913	7.07097411351409	6.93382319405828	7.03809139688445	7.40715690020628	7.13065002154491	6.91279868061532	7.14863510594684	6.99543392877797	7.11836039553945	7.23349290675363	7.01921495940918	7.08390003586133	7.17442491874638	7.40723158651928	7.056962368306	6.87022539211536	7.30492891908334	6.68028415048417	7.6398612421639	7.06398066124672	7.01110282621415	7.23647480342885	7.02063951417727	6.81392415782544	7.14944603246814	7.02705794342793	6.99622092601683	7.02851215384071	7.09733116673448	7.41966352295666
PTPRF_9621	6.72059445978429	6.57643908597448	6.92407510698858	6.93901135577153	6.74196970239405	6.81409877358008	6.82347903476591	6.66346202652914	6.85999607438644	6.82827953469705	7.27971708759709	6.62794908975813	6.76237052130186	6.7174065841662	6.43200440599898	7.21316575277837	6.96427334283306	6.71649175322758	6.84185048453849	6.8658239308407	6.72120146563899	6.95200228304336	6.81088185111132	6.9006655663992	6.89787732003319	6.94831220593928	6.63949104228291	6.98924862034392	6.68552256690532	7.01050317263302	6.61735098492535	6.83599223421986	6.85259711291126	7.01433787877396	6.88352155768146	6.92379045737923
VAMP2_10146	4.19730053920172	4.43235698965095	4.99927972305987	4.38690805847428	4.8317810954508	4.24808160019407	4.96456112927175	5.02433328182646	4.21528598876244	4.47959041626203	4.64594468267224	3.91245181514456	4.94458053375965	4.82929299773879	4.98160600258289	5.28162614744095	4.56191170524388	4.58613915069151	5.26003645290763	4.84112962064899	4.97325443648487	4.37756162010936	4.36252799556733	5.00648609853523	4.98105702124533	4.11878602392608	5.03729560882283	4.94662983385107	4.64679322464044	4.96601338465331	4.57259918751991	4.68100274194837	4.73431241123853	4.65830548527941	4.79006155553307	5.22579568927466
