ID	S3P3_A06	S3P3_G05	S3P3_H05	S3P3_F05	S3P3_E06	S3P3_C06	S3P3_D06	S3P3_B06	S3P3_A07	S3P3_F06	S3P3_G06	S3P3_H06	S3P3_D07	S3P3_C07	S3P3_E07	S3P3_B07	S3P3_F07	S3P3_H07	S3P3_G07	S3P3_A08	S3P3_E08	S3P3_B08	S3P3_C08	S3P3_D08	S3P3_G08	S3P3_H08	S3P3_F08	S3P3_A09	S3P3_C09	S3P3_E09	S3P3_D09	S3P3_B09	S3P3_H09	S3P3_A10	S3P3_G09	S3P3_F09
	0	0	0	0	0.156	0.156	0.156	0.156	0.3125	0.3125	0.3125	0.3125	0.625	0.625	0.625	0.625	1.25	1.25	1.25	1.25	2.5	2.5	2.5	2.5	5	5	5	5	10	10	10	10	20	20	20	20
CYP2A1_32717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.298007935226598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.325539352091676	0	0	0	0
C7_8179	11.5700412752915	11.4709957923255	11.1609648604682	11.3282687356917	11.0923765519648	10.9699278625917	11.5097311766692	10.9991287958179	10.6819257063047	10.9864958117698	11.4764279357782	10.9666476586566	10.7150719312052	11.3644430218241	11.6057859860675	10.8927467252289	10.9497332931406	11.3164805449946	11.1722701493499	10.7085917236147	11.6065486344497	11.3708118830663	10.9097922795545	11.0771893816126	11.2430333495325	10.8543290351536	11.4536180276104	11.5025311536046	11.1972311281791	10.9343545037266	11.5057158623871	11.2409048990934	10.3725213980928	11.0442726204892	10.6217195350924	10.8935286340898
TCF19_9993	2.57831543892026	3.22011863992669	2.76797570090224	2.67006454907423	2.99009994102306	3.17779911810888	2.72016361216926	2.98539559334538	3.6037198877571	3.41352390706803	2.63839117937096	2.73578571643796	2.89210196319473	2.76430023579131	3.22288914834969	2.97881228404519	3.0768887883308	2.51557687609118	2.78862059907616	3.19622955174257	2.69862912795384	2.54909109554064	4.00061932935417	2.7740929277744	2.34730820289596	2.37360525983784	1.80358424999812	2.25725446736037	2.35978529847325	2.66448525518327	2.25231921667517	2.92247450652124	2.85484965035734	2.19152979248887	2.59335916330316	1.94578288845552
MIS18A_32385	0.320335590880684	0.812489635604659	0.486244946912526	0.515173629028465	0.617536501751654	0	0.764417858117474	0.778883527373229	0	0.342791183122489	0	0.674386117312016	0.514232533246174	0.337279490164109	0.795415964288292	0.298007935226598	0	0	0.728253175662268	0	0.297281800173372	0.276180965157217	0	0.852462676246843	0.801909485233325	0	0.272109234092547	0.426221613501908	0.313958717754168	0	0	0	0	0	0.339138738891461	0.332639487007449
GSTM3_8760	0	0.324326568946267	0	0	0	0	0	0	0.31329729929951	0	0	0.37624456073439	0	0	0	0	0.404236295561176	0	0	0	0	0	0	0	0	0	0	0	0.571655643025928	0	0	0.325539352091676	0	0	0	0
WDR7_10170	0	0.324326568946267	0.679145592160228	0	0	0.573213253730874	1.11401649722512	1.28190893072419	0	0.619568563639926	0.386737564100427	0.674386117312016	1.05003871322472	0.61045815365192	0.795415964288292	0.54487235353808	1.38788133447468	1.31613280157066	0.409598406534968	0.250837554381672	0.937576357493892	0.507890977132823	0.732979231602831	0.264710689827331	0	0.464891184219545	1.16699310859849	0.228793956365561	1.1476782250001	0.978862645299337	1.03258704660469	0.59097625056527	0	0	0.843986706622466	1.49324088603871
PGR_32824	2.7480923794729	3.36834293137942	2.53842135323337	2.67006454907423	2.66505867358584	3.25354902015764	3.19397958337596	2.58751327066272	2.76999667657539	2.9458315834458	2.48838709387094	2.28494760501461	3.25771719543252	2.92301597676684	2.62036212593586	3.06043830192308	3.18343957542695	3.41749540100578	2.98087277998539	3.13517464679476	3.46837311810026	2.38396675224291	3.42093071508871	2.89620273213746	2.63316372531414	2.01496437137001	1.96569500595335	2.25725446736037	3.00904412711635	2.60816647511912	2.04860863895763	3.18590629467011	3.5679974849127	2.81516095977982	2.93074295320843	2.12799581542097
CRK_8382	8.40355433219081	8.29731676024302	8.20644440925279	8.2801116466427	8.14917306815773	8.05602854328508	8.43136607850511	8.17726215942429	8.24070823217716	8.27351121937946	8.36477554739801	8.29122041547211	8.02637969264376	8.28559788658768	8.21287200899097	8.42539120063836	8.22010613412325	8.23591288462148	8.32543944920275	8.21364195785107	8.23028801541783	8.31720617691596	8.44901799316735	8.19089788344294	8.20647331453162	8.0676489996339	7.90138045241288	8.0848064052424	8.09940170402207	8.12372453983126	8.19248110517433	8.21757817634835	8.26342975686672	8.40217384585359	8.31141419177992	8.22252401035754
KDM3A_8952	5.42683308217417	5.30627014135123	5.50741881891382	5.4983820897241	5.22223311207588	5.39156250547006	5.57225188011708	5.72832827492473	5.51950093045474	5.27862798886266	5.36715394517294	5.0392081049149	6.34887016424618	5.2228561116208	5.31253543804882	5.31383759064185	5.03086755795854	5.32148616242823	5.4916717889882	5.34655347850976	4.94239757103158	5.02891149693918	6.0321287430448	5.13902606291349	5.21160582245237	5.16146496906887	5.39572296606141	5.1233109863255	5.12071934846313	5.35075718583163	5.31830389898452	5.49329870034147	4.8150265525583	5.16412651487597	5.10392348609982	5.2111999204615
HEXA_8797	11.0388065958825	10.8065649262797	11.1430508283341	11.0971140449173	10.9135269771724	10.530539018524	10.7725960931973	10.8649210805047	10.9773215155213	11.0310013008396	10.8467474235304	10.9412942025856	10.6571401745664	10.8585397995032	10.9553510702976	10.7056215966614	10.7294658989962	11.0366041995799	11.0316032874616	10.8934955841937	11.1067528813884	11.0410102169991	10.6383771901112	11.0119948267925	11.0392414840388	10.8472003911405	10.8712060815546	10.963438763661	10.5533564497247	10.6467800126546	10.8979423509479	10.6227399558251	10.171597742637	10.1655228714446	10.1554571889333	10.2719040110733
