ID	S3P1_G05	S3P1_H05	S3P1_F05	S3P1_A06	S3P1_E06	S3P1_C06	S3P1_B06	S3P1_G06	S3P1_H06	S3P1_F06	S3P1_B07	S3P1_E07	S3P1_C07	S3P1_H07	S3P1_G07	S3P1_F07	S3P1_E08	S3P1_C08	S3P1_D08	S3P1_F08	S3P1_G08	S3P1_A09	S3P1_H08	S3P1_E09	S3P1_D09	S3P1_B09	S3P1_C09	S3P1_H09	S3P1_F09	S3P1_G09	S3P1_A10
	0	0	0	0	0.156	0.156	0.156	0.3125	0.3125	0.3125	0.625	0.625	0.625	1.25	1.25	1.25	2.5	2.5	2.5	5	5	5	5	10	10	10	10	20	20	20	20
SGCB_9821	0.678160913259496	0.685716613662611	0	0.963169734423212	0.535429394182184	0	0	0.97197837051783	0.471889726647492	0.297276021639686	0.359287704704912	1.4411106627753	0.616729575635642	1.0044324589307	0.463465987109794	0.382041008749072	0	0.822525459915661	0.673414043068129	1.06407669251866	1.33502060533752	1.25904114524558	1.34578549282158	0.302991945064166	1.45048394584333	2.00745709986696	1.24591948891028	0.910892213798671	1.6200464426975	1.56524509522541	1.57584069672817
FOSB_8658	0.678160913259496	0	0.522952146390275	0.250861822687575	0	0	0	0	0.255153208481137	0.297276021639686	0	0	0	0	0.463465987109794	0	0	0	0.673414043068129	0.284711061744162	0	0	0	0	0	0	0	0.233939075284409	0	0	0
HMMR_8814	1.48557940920293	1.01018396924344	1.45815626795631	1.43789859305428	0.535429394182184	0.354425841883103	1.41930946916347	1.37992458701309	0.826883943936987	1.50109590732001	0	1.5855304590821	1.04739209776115	0.58791898594128	1.09528398418917	0.933234642394245	0.721743642252993	1.63847817128209	1.57667143155964	1.93966345646314	1.78092541638386	2.31644880355412	1.23203121145727	0.55326274423751	2.38852439405063	0.588281526847293	0.753474739290484	0.769066161625138	0.546813385671206	0	0.28702456681235
RBL1_9664	3.36478673386766	3.18798043189438	2.23682516502053	2.74362950778285	2.86616193701962	2.71579093724151	2.98868896418702	3.45098626871421	2.84615213823571	3.40742434660901	2.85228508294191	2.97474825536768	3.17007376891834	3.49991984727269	2.89539135030733	2.99516544727312	2.52622146506256	2.4379919435682	3.05942312110241	2.58924195772886	2.39610861505641	2.99400595657396	3.15398977519723	2.95927090563393	3.27276759182011	2.32988096693676	2.6975039695596	2.65105113016091	2.54571679717791	2.56027334812039	2.24551448773581
PPARGC1A_33189	3.44647179979852	2.90509567594681	3.31560920181029	3.77868037172569	2.39754231876484	3.60158564518128	2.98868896418702	2.82572074165605	1.89082591961857	2.28982709854444	2.46589045998226	2.74795894337934	2.5361914083828	2.39948697599701	2.36942597640553	3.1510127207534	2.41354718942128	2.02644466217951	2.31197307873602	1.85519050451042	3.25211719965885	2.37297954528585	2.02976060898963	2.67244943866782	2.21988082312853	2.09506577415124	1.81343322962849	1.36981501522243	1.9127006045601	2.19912551707484	3.26073782007093
SERPINB9_32899	1.32207050528657	1.69205640506363	1.67104991608977	1.53564353388141	2.05158589916385	1.07991170805648	1.65673640083372	1.1903228993159	1.34919530259357	1.90529880129714	1.7059067717343	2.05127235297097	1.87459083790117	1.32724541377816	2.01106747992561	1.33108659925271	1.44949837224404	0.822525459915661	1.83901275936034	1.66978089316859	1.90343303954486	0.675506078195412	1.23203121145727	1.39829671821242	0.823929439392117	0.811620840581843	1.24591948891028	1.71744748535856	0.758118173125767	2.19912551707484	0.91110491154816
FYB_32909	4.57311703967367	4.92651517771361	4.76625330939275	4.57229105986586	4.93822222766765	4.77901194558169	5.11814032588513	4.86813552270266	4.51483301058912	4.57786420331057	4.66221381140083	4.31239511729906	4.91025482391625	4.78989013773922	4.17378865788783	4.56917597828652	4.10679641895003	4.1624501051419	4.2956055864969	4.27246866704301	4.78117927496287	4.11455772624602	4.19723330333398	4.31684974037249	3.05608040501986	3.62383570230659	3.73825656330036	4.27115110056743	3.72384992997906	4.08752801877671	4.2008167554617
HP_8823	8.30127544030725	7.65681989191204	8.60833330584956	8.38666198324882	8.18967298540477	8.11503773609934	7.77907322309351	7.23839004052127	7.64158911972367	7.49685631417301	8.19953945415233	8.01127675081645	8.43507305553024	7.2206801121042	7.83485193381684	7.90634433160535	6.6202360087476	8.18921621503486	8.09716025578203	7.08098186695652	6.82504736317426	6.32235665306346	5.73923528493954	6.6915442620163	6.33481616514571	7.13139667831959	6.89993863642127	3.63722802411437	6.07388829754955	5.85347309553887	6.29430264025309
ACO2_7967	2.80755836118198	2.39492710544221	3.03715841840927	3.10378446390572	2.77438755869347	2.88849263761021	2.47125875803375	3.36384059916316	2.72474015712488	3.2075171685292	3.68675604858411	3.21577303075773	3.47696602744629	3.09527566268627	3.67178745529874	3.49930537647306	3.78315164744084	3.40684117243997	3.57354995500093	4.51201362042696	4.09942844142521	3.16383561339629	3.69466429144887	4.07823572014414	4.16549883059088	4.89224167140507	4.46157320529108	4.33546416104641	4.37967518172557	4.94090492392371	4.55166189511755
