ID	S2P3_D01	S2P3_F01	S2P3_E01	S2P3_H01	S2P3_D02	S2P3_E02	S2P3_G01	S2P3_H02	S2P3_F02	S2P3_G02	S2P3_A03	S2P3_D03	S2P3_B03	S2P3_E03	S2P3_C03	S2P3_H03	S2P3_F03	S2P3_G03	S2P3_A04	S2P3_D04	S2P3_C04	S2P3_B04	S2P3_E04	S2P3_F04	S2P3_G04	S2P3_H04	S2P3_A05	S2P3_B05	S2P3_C05	S2P3_D05	S2P3_E05
	0	0	0	2.4	2.4	2.4	2.4	4.7	4.7	4.7	4.7	9.4	9.4	9.4	9.4	18.75	18.75	18.75	18.75	37.5	37.5	37.5	37.5	75	75	75	75	150	150	150	300
EMR1_8558	4.93892371831107	4.12254633809117	4.54504603744019	4.86134817336862	4.24451781892544	5.04432184642148	5.65944600109013	5.50297835579585	4.52914316677679	4.18177839255062	5.20094570859969	4.93609731889966	4.61187350167282	6.65687298104217	4.94996440283677	4.47024851033723	5.22304831183424	4.63259530059396	4.33758390906024	4.11798018007906	4.57790726961533	4.66943548379624	3.57362565415199	3.74533625770295	3.10234451563828	4.21043795486925	3.81084285998071	1.83919562646678	3.45310858236416	2.90176280068585	1.83170418641954
SLC1A3_32817	1.83109308119146	3.76867083451439	1.42001357282913	2.14954196175589	2.71941260089479	1.54972399843696	2.812606686105	4.2911884209617	2.36954023660759	2.26627014688841	2.3530379929975	2.91310874434597	2.53869759682226	2.94012480916518	3.63578543413647	1.89110528568314	2.14707041868702	2.83660821102355	1.6764333900251	3.08315444258315	2.66264810639227	2.76575377740559	2.78083509925932	2.21340430955299	1.9554085226636	6.37150303253425	1.41738607732127	2.07814216289829	2.93255191070647	2.46763762109964	2.27481611398558
PROCR_32752	3.98520713181593	4.01395479340409	3.95645592204793	3.70365905355955	4.24451781892544	4.28577712847376	4.64973688272815	4.33468751375057	3.84165570813429	3.74254821354406	4.48549041964988	4.05985268396617	4.3953605024914	4.79176758739004	4.88633888074095	3.73992287643932	4.18160928506296	4.47546618741729	3.72934101153347	4.43334691342361	3.6499076040593	4.08345501122231	4.08233166055684	4.30963901457769	3.91930449291036	5.35534542099265	3.72228922459286	4.99716850824606	6.00064606467928	5.69232177156317	5.77481427672453
SYNGR3_9978	0	0	0	0	0.484399355030741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.279255731116901	0	0	0	0	0
BTG2_8161	3.73104358686244	4.06927203430006	3.04651688555781	2.97704871188582	3.22944473590804	3.46252073124179	3.91260825924466	3.66520982978865	3.22273167587646	2.74763801908597	3.95909050296434	3.51750659777408	2.53869759682226	3.41808093119038	3.67934231236416	2.29115109683565	3.09497985618712	3.58579194065171	2.27609268737267	3.08315444258315	3.27268109604674	2.10931899685966	2.64230971226609	3.15660869313393	2.30009335408735	3.85347927983726	2.0028178352063	3.26208469871114	4.44548851000764	5.03208367908805	3.0815818577248
NUSAP1_9385	2.61261932167715	2.05568116613842	2.29583682825464	1.95011656652638	0.846398300211284	2.91721753636622	2.50754651279966	2.2003199953919	1.80762633207146	2.11584245704743	1.83516352375441	2.23317965248139	2.38109280223608	2.34794687816253	2.57364498228067	1.75298135541838	1.81344314102943	2.55176563499128	1.9739749958824	2.39021948516906	2.11518773842763	1.80163744721101	1.63102118562175	0.892138788945248	1.74628601689917	1.83302117306155	1.81003869936254	1.19475047554118	0.528377713143998	0.897719560247663	1.3179316356452
SH3BP5_9823	7.01014512446554	7.45358685637329	7.04131595368678	7.26623063111254	7.14820363957252	7.11511071049777	7.41264852243601	7.18716854690348	6.86353050104722	6.552864373893	6.96723463956563	7.60096219935356	7.19102008482887	7.27966749625539	7.392939102492	6.08857675429232	6.98832890296092	7.04223874821894	6.28304889645957	6.70922260218284	7.12776392284266	6.57390128341011	6.66777061668981	6.17930757227096	6.30808900302951	7.46918710295374	5.99238150646909	5.96946531552928	7.55532245469148	7.24836182604261	6.54470059932026
PLA1A_9490	3.73104358686244	3.62838119090038	3.60555777062275	3.42462593390341	4.24451781892544	3.89518637272246	4.25373098428003	3.69888990359287	3.7552393201545	3.74254821354406	4.10975757327733	3.96245800879509	4.14051724075816	4.42323940071509	4.33920511505452	3.13568745327399	4.00798553045242	4.03196561597707	3.49181667942042	3.90103285657418	4.24757098892708	3.99249115747472	4.15206760574417	4.61694287206745	4.40243575988916	4.58888939791282	3.60830961514271	5.03547546930708	5.48505119162192	5.11526749985089	5.32313542010688
VDAC1_32318	9.19293921139377	9.72545388119362	9.08594133593909	9.38069258204741	9.72874192308488	9.09614858578933	9.42747986589766	9.3876321372077	8.83721848861508	8.54681681069976	9.44599507685236	10.0018016902384	9.7500415338922	9.55049073776128	9.41575435453153	7.9475449104423	9.3311482354066	9.28845469803188	8.02433309820495	8.78923566151515	9.46519060315811	8.7146734372265	8.83525454605962	7.92615905943561	7.82369019398227	9.36321028210955	7.47405467421359	7.51377800396842	9.13572984852078	8.71735847318692	8.29223512895595
