ID	S2P1_F01	S2P1_E01	S2P1_D01	S2P1_E02	S2P1_H01	S2P1_G01	S2P1_D02	S2P1_F02	S2P1_H02	S2P1_A03	S2P1_G02	S2P1_C03	S2P1_D03	S2P1_B03	S2P1_E03	S2P1_H03	S2P1_A04	S2P1_G03	S2P1_F03	S2P1_E04	S2P1_B04	S2P1_C04	S2P1_D04	S2P1_G04	S2P1_A05	S2P1_H04	S2P1_F04	S2P1_B05	S2P1_D05	S2P1_C05	S2P1_E05
	0	0	0	2.4	2.4	2.4	2.4	4.7	4.7	4.7	4.7	9.4	9.4	9.4	9.4	18.75	18.75	18.75	18.75	37.5	37.5	37.5	37.5	75	75	75	75	150	150	150	300
HDC_8788	4.06015449103576	2.94475304916384	2.71337801671486	3.0904435462476	2.9723005795527	2.25679939154917	3.02146397165623	2.81955938775887	2.33221080767954	2.69267669617477	3.54106372777487	2.98832193308698	2.69676175832855	3.04552821209344	2.75017539973543	2.76791613240724	2.46077087798564	2.38825322031754	2.66849311240329	3.26995728977381	3.05200885030557	2.63589336747336	2.49972847907777	4.01438646035025	3.52194537773508	3.67041168057881	3.97276698721986	3.16635560328276	4.8824975417842	3.78767391443348	5.94826605192727
HHATL_32722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.710563571891122	0	0	0	0	0	0	0	0	0	0	0.341008005651903	0	0	0	0	0
PMP22_32290	3.60192615758417	4.10598733046739	3.13454578286635	3.9540277817998	3.02382215463121	3.78189872905281	3.59989635549167	3.56761190352139	3.81320502919156	3.78156345369541	4.23730394928473	3.76021673033819	3.58097762059412	4.24552958694385	2.88057435535712	3.88768902952664	3.3707122038807	3.53456936046907	3.59669485687957	3.68163037192022	3.65352414351166	3.51490463289575	3.94066964153082	4.90964523368451	4.01514710072213	5.02075425876242	3.86347181425246	4.5483809301698	5.71280619558739	5.2373683720231	5.57381358134593
HBEGF_32498	0	0	0	0	0	0.558181927816432	0	0	0	0	0	0.411710543434033	0	0	0	0	0.222626349874249	0	0	0	0.515045092854322	0	0	0	0	0.341008005651903	0.6532974253389	0.690349043802429	0.819685185876578	1.18968612338422	0
SLC2A2_9863	9.47994934144726	9.4567197701461	8.52303118852719	9.38757818838293	8.51431526747442	9.54210738815694	9.12389005792523	9.15949887390948	9.61241022165224	9.05683766892126	9.50621740753837	9.01641890599402	9.16725368416224	9.31471136873263	8.6091908145112	9.32491254069003	8.59533481995183	9.5252690523945	9.10069082285084	9.29583878087309	8.8315182132907	9.10882480930712	9.22892674992927	10.1313457191637	9.4815437976531	10.2311639710825	9.75672659158039	10.084775737308	10.0456504116057	9.72860434694765	10.3416075134649
PRR15L_9579	0	0	0	0	0	0	0.289831194825497	0	0	0	0	0	0	0	0	0	0	0	0.467476835552628	0	0	0.28370444941898	0	0	0	0.341008005651903	0.466589736999328	0	0	0	0
DDR2_32999	0	0	0.454776372790504	0.343106448314519	0	0.558181927816432	0	0.324785051998394	0.307309502309259	0	0.464681694913012	0	0	0.428192827029362	0	0.44699946947668	0	0	1.10303926203337	0	0	0	0	0	0	0	0	0	0	0	0.588913378606685
ATP1B4_32428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDKN1A_8271	5.1729856477549	4.90271815190011	5.20731983988666	5.29988033531421	4.8981167502325	5.36299807960097	5.10327036248485	5.98554644445797	5.28479784719292	5.76972298247432	5.12189166135875	5.91760315116555	5.03580033234366	5.2599910266885	5.29228831385434	4.99422575028694	4.93232040835221	5.45554799774641	5.57555662099244	5.60826235569576	4.59503188326992	5.78429030532084	5.91090837246908	6.19005494300205	6.00668551098991	6.36793420126758	6.1158076597325	5.36441972381723	6.0861748750421	5.96060410242762	6.63740994985018
CPS1_32421	9.68768655041417	9.22814082716519	10.2603034266515	9.5269350396349	10.049646318973	9.23113453883054	9.75276826901463	9.21264948484965	9.45881222029899	9.36891291515787	9.39579701970376	9.39534919266404	9.80424601025958	9.78034385122391	9.73673594716772	9.07193401658984	9.99457343466671	9.38723566680183	9.45864704084412	9.80935738077287	9.82857311556793	10.1873945929327	9.72257170287314	9.25551029753878	9.89105861217985	9.00567458618135	9.93669048136108	9.73395081992019	9.4169870804624	10.093618288154	10.1820481578911
CEACAM1_8277	5.22166239249911	5.43670277534336	6.67999056084994	5.38576642522702	6.54606414805188	4.96506398755222	5.35145179572648	5.11184717703397	5.21274372475159	4.96533730101989	5.35407650971874	5.35620425053879	5.69525071553056	5.84107158935054	6.32046595741013	4.6422012773969	6.24320107200366	5.3841914166917	5.97718006814378	5.80896407025735	6.02550063625768	5.9955863026791	5.40987033668391	5.17225976959436	5.75481846116811	5.11256676420938	5.83135644551613	5.62878049471523	5.74917047127421	5.86870885757053	5.02268250717464
ME2_9216	1.16220520435311	1.93388070270449	1.98716175276215	1.88160585409051	1.7148487670435	1.53089481268588	2.44624155825238	1.33048204920868	1.12894632682129	1.29711204001997	1.87187908911501	1.40670567992253	1.29997923748387	2.03911148818539	2.06426766069737	1.96555042369821	2.06013775323136	1.04180913374407	1.8792446319807	1.80852538962464	2.34365473599275	2.01522371609597	1.96712011115341	2.05603064348558	2.50633548504735	1.8743692370086	2.3785757460897	3.11618565937903	3.52594808267032	4.61385989698901	4.45422247364888
PAH_9415	11.6326375594116	11.6147025502301	11.7534224218166	11.5069538241933	11.7864746793986	11.5549967349103	11.7047740470834	11.3004918369147	11.9192208531594	11.7218315574052	11.6154576885332	10.9710709750171	11.5901493963602	11.6798901949848	11.5959041151147	11.5296138255134	11.6297019405899	11.7201724883089	11.5101254974336	11.3908046507692	11.4472519092059	11.3545682002189	11.2540718047121	11.0474650344654	11.5647894629024	10.9778580986757	11.4794003298579	11.1797640427259	10.8624218228313	10.6443798350682	10.9967669415419
NET1_9297	7.3466409675319	7.12487168557689	8.33715890215408	6.41454634021128	7.86224162079592	6.78302825393159	7.34261244072833	6.85015496653702	7.45327117682006	7.21134170972834	7.45158931835174	6.89764990727693	6.55794081182593	7.79089588948305	8.46593186966728	6.61967952074311	7.70091208225137	6.60513141045213	7.33059477022781	6.99700728498709	8.33344423791488	7.49240513881395	7.32607706221828	6.68230185821364	7.688235918473	5.89225600007896	8.50906235669508	9.37653415523114	8.66765189141705	9.23007463414587	7.70873111459021
PPAP2B_32335	10.4604662804355	10.3372191782107	9.23820873201979	10.1189292528236	9.33630896147084	10.2663586215952	10.2075760134932	10.5030630368882	10.043415758352	10.4209317273176	10.2939571397553	10.6847798220488	10.7317466873788	10.0190918378293	9.35452977618726	10.4068001042749	9.58597076800625	10.3189864735499	9.96993349294528	9.72304639606183	9.7969146410585	9.65686213982183	10.4211813314746	10.6390980088293	10.0011339904391	10.394682693965	10.1277805937171	9.65708166771506	10.1134737108968	9.25145821356564	10.5064177783593
ADCY4_7988	1.16220520435311	0	1.07841242288333	1.05237412971603	1.27895946813689	0.558181927816432	0.289831194825497	1.71030517547349	1.41239424587121	0	1.0976367738712	0.411710543434033	0	0.757956921137839	1.54068682346474	0.44699946947668	1.22332790798899	1.04180913374407	1.5427264064876	0.750686182950633	2.34365473599275	0.520681950132926	0.661725627720809	0	1.20844867864064	0.616623592181538	1.22431024590981	1.65437073038951	1.22576010819716	1.64848930404036	1.32903190338528
SERPIND1_9812	11.4179253366221	11.6383529319024	10.9892789520823	11.5638458677732	10.8931905780943	11.4517206229741	11.4239068073183	11.4663360044361	11.5093095389834	11.5597776935275	11.776958763541	11.2528522538116	11.512486455565	11.5183149002761	11.0065702285993	11.6216177854912	11.062444435158	11.6800018724601	11.3399547077272	11.2077918236437	11.192631009121	10.9941038798992	11.3404682030165	11.4305484873814	11.2557652602127	11.5546753643082	11.2943868068735	11.1261106037638	10.831714598758	10.4360531441586	9.95908005049869
RASSF1_32475	3.39111823274602	3.98270002257247	4.46744314030232	3.30158833093335	4.8981167502325	2.25679939154917	4.23264374392059	3.50482254738662	4.03833645294687	3.1128944520438	4.01796766184319	4.01721439792445	2.85091479243951	4.07853843188482	4.79340778443767	3.04684760728903	3.32340121181774	3.24343483341768	4.27568340648077	3.78049221950585	4.05830925478732	3.64590688099303	3.84653297157698	3.15315924748503	4.44539381621691	2.15909200527473	4.13832340650045	5.47802842636275	4.00980943591357	5.92048259714301	5.47098436982054
TBPL1_9987	3.50036920549859	3.34591455499761	3.8420266686632	3.67957463241058	3.87732549989487	3.51008535072161	3.6518962054864	3.40519689660926	3.21861486084434	3.22956447639367	3.79913256689053	4.13036305031652	3.53621918420682	3.78505252592428	4.13319561217384	3.38449950873092	3.79159538070898	3.24343483341768	3.84740765322956	3.57549226863426	4.14832513246582	4.0382148756728	3.52048848417199	3.43176452207878	4.14298777457444	3.33139044912146	3.72452522420276	4.0031533569244	4.20196495468233	4.93909587935026	4.61124763807524
PSME3_32872	6.43331807948161	6.83077037241752	6.31398791434846	6.58158025148142	6.59798007768124	6.76434158809003	6.62137478345014	6.34048158842566	6.78712468497826	6.11886105324284	6.90621742504511	6.16342009013306	6.64483209151486	6.8458729147485	6.89939854965937	6.79034244910904	6.41383447710589	6.93349580276739	6.91167971526212	7.0647760566348	6.94071905874876	6.79956449407565	6.33156921407711	6.87707161868012	7.24557520614963	6.9470623592339	6.97130876116619	7.31863046097541	7.22132398234021	7.62515920139872	7.86975057487318
USP22_10140	4.29056356218925	3.95015865016054	5.19277620633162	4.02712258884399	5.27289168566669	3.67923383714465	4.7801615288137	4.24229191034391	4.54321149473948	4.23670068163916	4.37578095360119	4.23527934560268	4.51940357034347	5.00446694276306	5.09149035232983	3.88768902952664	4.98647815438668	3.6607102354841	4.73553148925002	5.14393119480163	5.21931487502836	5.12521266093979	4.46891201858054	4.14889768298254	5.09367821279489	3.96949777957369	5.1597650616582	5.63769931283648	5.81436463672957	6.90081100320975	5.73269632713339
TLR8_33238	2.67007759601279	3.29499551926337	2.11607627866511	3.13521712603411	2.3203659775483	2.73745969942468	2.8977089126655	2.40384656438015	2.97902647609017	2.21518528837266	2.57050348564437	2.31125471744316	2.9222245435929	2.45736091690052	2.44760637010816	2.21164181268811	1.50355959614858	3.07238957744923	2.97973351435948	2.14174818214911	2.34365473599275	2.47603137605961	2.96156653112316	2.80755513892366	2.45798308085272	2.72234949607332	2.21022436575676	1.7885585664996	3.80790650478898	2.56330928978951	3.56540695082554
TPM2_32337	1.16220520435311	1.04110692232481	1.84558735315071	1.88160585409051	1.58366085376028	1.27335927476254	2.11684993168527	0.813470060315712	0.775845947931599	0.789672833065017	0.464681694913012	1.40670567992253	1.67508427736771	1.25228736821925	2.60680842175858	0.44699946947668	1.41606065671307	0	2.02201728651649	1.09602894808742	1.83763361654226	0.902472232477434	1.55577315722006	1.36692534555406	2.24652982617442	0.616623592181538	1.10132572243789	3.11618565937903	2.94372108046136	3.37771072515202	2.53333351446151
PPP2R5A_9549	8.16893078655882	8.60703425947845	8.68507091350426	8.50456578105879	8.50187821044687	8.28469661439646	7.96820248445777	7.8150649503612	7.96595974948605	7.92435264183924	8.37500113642011	7.8132534821173	8.05942317172925	8.39012394911373	8.4049344728426	8.11769506742043	8.37086556653212	8.38368288622056	8.33468250717893	8.322946448624	8.81855260532032	8.37775345564425	8.28076148308968	8.72007214403875	8.8437232698265	8.50103676533124	8.97036817700883	8.6121187223231	8.46471759263229	8.47510765842195	8.43174612869571
CTCF_32905	5.88717546508703	6.06472269933549	5.16324157087131	6.35427551649049	5.19636994320156	6.33695667023056	6.01918381796247	6.29481719769787	6.22097515537602	5.942060252526	6.6299876809984	6.25360665953216	6.48327293413594	6.21443515860048	5.42644103708757	6.39529047009667	5.53557997083556	6.28102242581853	6.15815119587562	6.1742704833595	5.92720701126294	6.07679173902094	6.05677942285832	6.70867999406488	6.15433728784524	6.81663422908397	6.27721780078217	6.16750512250997	6.75626157738286	6.38588839265721	7.13067670151838
AMY1A_8041	10.5784627174008	10.5668492840045	10.5284362050465	10.6185453303621	10.7192695267983	10.6216406919108	10.5118878521187	10.4344416298048	10.5040377785203	10.4078363424554	10.8367303305796	10.4634015129829	10.5232300078077	10.8145460384057	10.6487830759248	10.457988355808	10.648194393485	10.6531924443356	10.6895946530814	10.5878800579494	10.5119117129999	10.5405169870733	10.2945395575108	10.3690270234324	10.570693919906	10.398107660066	10.4799055197663	10.4070902867879	9.49209262966457	9.90409830109095	8.7354534199737
TNFRSF12A_10049	1.16220520435311	0	1.31166665296001	0.620088987074699	1.9460862331851	0	1.07894187863999	1.17784706588154	2.26254337313953	1.29711204001997	0.464681694913012	1.2147766463646	0.791711314684877	1.61978026242721	1.54068682346474	1.29443455693269	0.585508274984267	1.37195560232257	1.33956872292777	1.37446464421985	1.44156592769083	1.56357282592217	0.978163545119182	0.961639492194826	2.35612703192934	0.616623592181538	1.95001815973992	3.76344499289521	3.57307713543625	5.21266179126271	2.33139208763639
AR_32869	4.09540989837191	3.81211547683626	3.13454578286635	4.52455075377558	4.48540004452999	4.2797749950846	4.33161649093046	4.03572479415232	4.25113138024182	4.26431572473218	3.91269539088893	4.61168055270522	5.20262177203441	4.24552958694385	3.71066007630914	4.02276624827549	4.19794468969105	3.6607102354841	4.21751768662407	3.95995394762457	4.09499228893258	3.48721373937202	4.30867759626708	4.42825225290438	3.81853375576727	4.21710076228762	2.94151687288865	2.63603941833209	3.57307713543625	3.11872295609904	3.18043672686169
CRP_8385	13.6883023415678	13.7252255166153	13.1093212494871	13.5431247324421	12.8730561324419	13.7984256821773	13.6833275943876	13.865927833773	13.6913958376014	13.7029868416385	13.6617155345689	13.8654002207489	13.8429840548641	13.7372819823082	13.2452469290253	14.0765104088371	13.674890436629	13.8302082651157	13.7500588429248	13.8651998289025	13.8581785207449	13.7546912166009	13.9395045068454	14.0832885645058	13.9169122311113	14.1117753511107	14.1894427820763	13.7049104609988	13.3628439997882	13.1389276378175	12.1415836766526
FBLIM1_8615	0.498418535332342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.467476835552628	0	0	0	0	0.395984739854526	0.247648084295451	0	0.252076014909221	0.690349043802429	0.654220679403708	0.512995818993453	0.588913378606685
ALDH6A1_8027	9.42384673411038	9.51001854990309	9.00421704360093	9.52903371568955	9.02239901903578	9.48237990158663	9.35370231881681	9.19037721756702	9.63885687718994	9.21556166393463	9.62275947026646	8.90553685049314	9.4503690691178	9.43338301958559	8.79636720456403	9.56312071318358	9.04966630993937	9.60393210560409	9.15399795061707	9.13407677910409	9.08390872484625	8.883742180708	9.11240573993338	9.1022779191892	9.04484518695105	9.1796061522652	8.97146601914979	8.82425121897195	8.63609725347568	8.50678483415274	8.44849788977242
DLD_8474	7.7298521956604	7.68800090945158	8.75727147977017	7.79243022265754	8.95349336591854	7.45384860053787	7.90398442264876	7.72324469071839	7.30087984825801	7.58158057980486	7.50387423324505	8.20262841417877	7.82370214563674	8.00396651188411	8.30686304831832	7.41460392257085	8.22482850204108	7.68936002463357	8.23558811459174	8.37033830057289	8.41368399846221	8.40112726680588	8.34586359654998	7.99934257606187	8.35825877922141	7.56210581288102	8.43140580723386	8.59733640453797	8.86163400547865	9.19739298371583	9.45578296295711
TSR1_10097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
