ID	S1P4_C05	S1P4_H04	S1P4_B05	S1P4_A05	S1P4_G05	S1P4_D05	S1P4_E05	S1P4_F05	S1P4_C06	S1P4_B06	S1P4_H05	S1P4_D06	S1P4_E06	S1P4_F06	S1P4_G06	S1P4_H06	S1P4_A07	S1P4_B07	S1P4_C07	S1P4_D07	S1P4_F07	S1P4_G07	S1P4_E07	S1P4_A08	S1P4_H07	S1P4_C08	S1P4_B08	S1P4_E08	S1P4_G08	S1P4_F08	S1P4_D08	S1P4_A09	S1P4_H08	S1P4_B09	S1P4_C09
	0	0	0	0	4	4	4	4	8	8	8	16	16	16	16	125	125	125	125	250	250	250	250	500	500	500	500	1000	1000	1000	1000	2000	2000	2000	2000
VAV3_10150	6.79243193171756	6.32707138466649	7.7161329948395	6.83007515277501	6.0821596206758	7.37195084648619	6.17069853497082	6.42296512844529	6.49490770322682	6.20588135700705	6.47453119841449	7.51838541977559	6.26532424024279	6.38506567539763	6.33171575389531	7.35596243633135	7.04927953841336	7.29953913463557	6.30487701506294	6.59646976836234	6.68527793174353	7.13319881173062	6.28333085987286	7.15486647302241	6.27884143015883	7.00758157712438	6.62976616524739	6.13294186804357	6.28531357754907	6.89477873555075	7.52512641142612	6.77971982507658	6.87065956981107	6.92687971709536	6.80986960748431
SDS_9798	3.69124530239199	3.35804525554573	3.85586254268974	2.49666465285362	3.10913121574872	1.88225768675281	3.45623253983589	3.73003636081694	3.22424624153849	3.22444374673265	3.71747988136053	3.15302317082791	3.62058847311166	2.80721410478769	2.93144019702274	2.00323623382399	3.64059822558172	3.09023519031051	3.04370860788855	4.13466539507949	2.91392873541142	4.05509758893473	3.90778199028087	3.58127441833882	3.62702039183076	2.91598100725034	2.97070096702543	2.71089407329435	2.5428240572034	3.75975609448214	2.88208763724972	2.93276505613653	2.76806966697726	4.22033655921148	3.30679175123174
MYO10_9278	8.49008349845801	8.42012216467465	8.7472464180356	8.29823497283214	7.57563096119068	8.40727162782993	8.12624455162665	8.00683055384044	8.23068750450677	8.18402712911959	8.32711961776381	8.48143945076765	8.11081176397267	8.22156552791438	9.03395994731732	8.78784755431788	8.38336433093325	8.60328882539802	8.32263540595319	8.43149734900254	8.28717474334362	8.13906694507035	7.96901518559554	8.31170447374734	7.94482134996198	8.66972420249184	8.25428733152165	7.98991490580457	7.79185937454985	8.24370928847427	8.51179105013002	8.12011252601585	8.31224481885041	8.30064655046083	8.69216366233231
IL1R1_8893	5.1792758239563	5.594520477687	6.30441460829857	6.2430392770905	5.66970550205666	5.91855609487332	4.73848781390769	5.06513921299095	4.89176358240094	5.77666376014336	4.6013692995071	5.93436842287086	5.30344048408073	5.40222471567448	4.01358286505481	5.94284259923699	6.14540857714164	5.63496708096788	5.19265458886743	5.1361158754612	5.08663565101717	5.40444866695427	5.952427657105	5.09517848780323	6.22510809975811	6.21935286532053	5.73350800161733	5.5747782666418	4.85789429898002	6.07591672186771	5.3514166062556	6.19002018925151	5.91674252379154	5.2126468687965	6.01431016148306
CDC6_32573	1.02594786640562	2.49230250955867	2.9300044511155	2.55211248025327	1.82492100042873	2.15513100452584	2.38738672035031	1.95863066030101	2.95987843752363	2.62776013250786	2.62576370591755	2.64695770603252	2.06285736303296	3.07226373911591	1.27526878149072	3.27688624879013	2.53104908148164	2.71271964612062	2.40102285937813	0	1.47650110858382	2.56103098322543	1.71395045459339	2.00596571037269	2.51884739119056	2.36919606707856	2.35148760846185	1.85219116156508	2.71179852620627	2.52280827876505	0.845205127092385	2.43930833046078	3.0563689603137	2.20420310448581	3.09205054941215
HECTD2_32315	3.29403589514661	3.02687718453567	3.94716109626603	3.85689689594243	3.30743817838135	2.98334604104612	2.30152786309074	3.10067292679732	2.75219563617621	3.54215001688665	2.36111921590626	3.57323663298294	3.29691822362935	3.44376942864437	1.27526878149072	3.06269013260836	3.33368772101792	2.91379059058554	2.98490165075935	2.62683411489754	2.1907604400413	3.06211114801833	3.38517048898535	3.32908399276876	3.69886396788259	3.12727738515398	3.65839310904299	3.0318933332161	2.65764328041232	3.2951134149056	2.88208763724972	4.4683233910129	3.65808774275673	2.81016861675185	3.14880598404359
FBXO11_8619	7.46899425706067	7.07869332886134	7.88871829993244	8.05842819330951	7.5391140870897	8.14899340279259	6.41002167726548	7.69637924025348	7.66057488796718	6.51824386630652	6.58746728783811	8.05352616293951	6.94049936137496	6.84532719146638	6.77382295819949	7.13356562008585	8.29281235062455	6.5057226243628	6.66940096411421	6.20928452985318	6.64729515592232	7.81528167747934	8.16023636581064	7.84539874211803	8.31428195063877	7.33459922687057	6.79585318977722	7.76815954888123	6.64326972866169	7.66595010999511	7.56208027145509	7.37639293499082	7.56327447852011	7.63698741585246	7.45806507903528
COL5A1_8357	3.36830338930591	5.31856206070621	4.70408053070624	4.64981595319724	4.96331936447337	4.6319685047347	3.98297595760373	3.42537665527685	4.05723375923252	4.3625659530485	4.21608021321944	4.77174054879225	5.05025897903462	4.27432513384545	3.38813357057949	4.86214584003024	5.37952756483051	5.03119172250396	4.46463611647278	3.80133738054059	3.84503609615666	4.52705885525162	4.16522409201916	3.24811823909391	4.44741107467094	4.11840263872855	4.3965408190418	4.05856653546578	3.53854172069321	4.29637785614114	3.40029772717121	4.33412994194313	5.33600352944458	3.29572929260318	5.51791488197545
CCND1_8224	8.70594791173624	8.87194314706674	8.90359124149708	8.52040699612263	9.0137022680134	9.19826792648099	9.0928428437849	8.45845518398193	8.82570415179861	9.11570601322549	9.30082008945575	8.72649033100826	9.09707967076776	9.12197883458599	9.47415114760806	9.14385708320882	9.17237786640944	9.17523749411991	9.43259308927051	9.33195297881383	8.77402576138539	8.43943110025534	8.75824593209545	8.9038516482245	9.11354497995068	9.02162733194995	9.01565291697525	9.06385271121101	9.03750466558859	8.93046017349148	8.93916750287267	8.9526957126097	9.36139843234956	8.94520336936823	9.66753659991306
