ID	S1P2_C05	S1P2_H04	S1P2_A05	S1P2_B05	S1P2_D05	S1P2_G05	S1P2_F05	S1P2_E05	S1P2_H05	S1P2_A06	S1P2_C06	S1P2_B06	S1P2_F06	S1P2_G06	S1P2_D06	S1P2_E06	S1P2_H06	S1P2_A07	S1P2_C07	S1P2_B07	S1P2_E07	S1P2_D07	S1P2_F07	S1P2_G07	S1P2_H07	S1P2_C08	S1P2_B08	S1P2_A08	S1P2_D08	S1P2_G08	S1P2_F08	S1P2_E08	S1P2_H08	S1P2_C09	S1P2_A09	S1P2_B09
	0	0	0	0	4	4	4	4	8	8	8	8	16	16	16	16	125	125	125	125	250	250	250	250	500	500	500	500	1000	1000	1000	1000	2000	2000	2000	2000
PYCARD_33242	4.68392095002186	4.89127212631977	3.84131216820351	4.33995306893952	3.18256609801401	4.40404737422171	4.7300053096785	4.54716582660442	4.35449398317134	3.89450141356173	3.74811551403529	4.14169351188732	3.68730001708943	3.20119468759862	3.17971500507988	4.87649523983822	2.97949693464047	3.01444927650407	3.5468854724901	3.23106715030909	3.94893361777233	4.36072709708709	4.13058933842903	4.92412447848632	3.92709701881639	4.03380335182483	4.52009891392894	3.41569115010834	4.37559645805392	3.79294546483236	4.08018295743005	4.37913275536301	5.44370067399058	4.70635466412547	4.2939543696443	3.90781549431694
MAFK_9173	2.0089814441633	1.93517590003032	2.4126071099037	2.03200855039791	1.38727493562552	0.775626336395435	1.40470356683356	1.4443978434009	1.88114304135117	1.26944331799589	1.7818146963385	1.18957836329639	1.18465232534664	0.677887147157218	0	1.33124531338494	0.490697628849128	0.914614881476688	1.12927768157604	0.608195520739894	0.755134262105146	1.12733977738461	1.64665935680929	1.62228413666767	0.938756554662783	0.310691255834262	0.772222335424601	0.757724336576596	0.948443005217754	1.70323017964819	0.28452116774864	1.58647795907757	1.41906820788514	1.46334895008348	0.80292729933087	0.576827424521911
CDH3_8263	0.324328619067565	0.283625273761576	0.783017425689577	0	0	0	0	0.988200962523307	0	0	0	0.279146514213847	0	0.262952294108029	0	0	0	0	0	0	0	0.374220312110337	0	0.333226310078221	0	0.310691255834262	0.305639296105803	0.546509422959107	0.948443005217754	0	0	0	0	0	0	0
NGB_33325	0	0	0	0	0	0	1.40470356683356	0	0	0	0	0	0	0.262952294108029	0	0	0	0	0	0	0	0	0.340715759140006	0	0	0.783167889485037	0	0	0	0	0	0.289920081918126	0.223314719495023	0.80999429404832	0	0.317052555883832
HEATR1_8791	5.26903922369492	5.81759003405541	5.25237748218745	5.452232761442	4.75938452081863	4.96062762895435	4.97641974711913	5.53905259661027	5.61054493187484	6.17471813466627	5.25044929114757	4.90846916554667	4.95035284076678	4.71102097615701	4.26726837988023	5.51841345141114	4.67299169743766	4.86298884694419	4.74566486202099	4.6657531873886	4.52414123871965	5.75512418847631	4.56332299534881	5.61671361929653	4.77400515468113	4.65938148648849	4.4123136656505	5.31890522962718	4.43881194253923	3.74519508263724	5.02728063319688	4.93556107889236	4.58108278643844	4.83882567170961	4.67655161241457	4.91877514104233
NOL3_9328	0.812494020394015	0.902265978119611	1.28773946743337	1.27859922810882	0.94361216973795	0	0.866960879599489	0.317220053322934	0.740640072076554	0.770061637965012	0.792085107084469	0.512938402960317	0.710651549264883	0.847777931566654	0.30695803934737	0.722290301223284	0.684985891015892	0	0.672421680445924	0.837157802745496	0.297793477919685	0.374220312110337	0.340715759140006	1.201093027688	0.297741792785758	1.42336994982856	0.305639296105803	0	0.301525856450823	1.89046641435727	1.06352343988122	0.918607740342862	0.223314719495023	1.00307879825083	0.80292729933087	0.317052555883832
SNURF_33140	3.84401661917144	2.73302780413209	3.2970290934242	2.74505063223188	2.36597805474649	2.46176682133209	1.95730510815555	2.62397833006102	2.67068989701308	2.78195877334258	3.25323973126836	2.88836406944863	3.11078358517111	2.63185496068204	2.79231656924942	3.02640869550225	2.60028216227612	1.68377032514227	2.7313106827332	2.30235869021949	1.99291976467335	2.90978374042651	2.72117122080558	2.0419196793971	2.29181582293699	2.59606177454423	1.84624387078036	2.42631914420977	2.90852894737328	3.1894532911951	1.854423111258	2.25813698180802	2.06379355376554	2.81262884619501	2.23976079784988	1.78986609673766
EVI2B_32891	2.53345144507373	3.10496448155415	2.55210670738134	2.11350399610766	1.91456965311008	2.46176682133209	1.79553865239285	2.88637718537955	2.26359424390918	1.26944331799589	2.21967235196066	2.07112829517887	2.20385179046051	1.76518694703065	2.33074208229193	3.02640869550225	1.77852191234923	1.46995451360255	1.7548805859407	2.37707132468021	2.35803946529863	2.27792687960198	2.77830614462966	2.90606123468127	2.22265050405503	2.27644586917468	3.096079405623	2.29709014390543	2.43736013731583	2.33951540786552	2.47978019090631	2.38650154126026	3.76085491327604	3.3631040964504	3.16072659957483	2.50331645839547
RAD18_9649	1.46705582681374	1.76117797994308	1.66091864133836	1.27859922810882	1.72610947273207	1.64883324567392	0.866960879599489	1.98226505859151	1.79078413039173	1.63970816205833	1.97317081681417	0.714074357568532	1.43159521271741	1.48511008475888	1.41125022688956	1.4503785269346	1.69072234207474	1.68377032514227	2.18981688471301	0.608195520739894	1.1018614410942	1.61963470336831	1.37757265066879	1.62228413666767	1.9071314742488	1.76681494485824	1.4069520774181	2.22785847370968	0.948443005217754	1.79988366055429	1.45630546102404	1.78588448416511	1.50667310390154	1.91140392094763	1.57806920337302	0.576827424521911
