ID	S2P4_F03	S2P4_D03	S2P4_E03	S2P4_G03	S2P4_A04	S2P4_C04	S2P4_H03	S2P4_B04	S2P4_G04	S2P4_F04	S2P4_D04	S2P4_A05	S2P4_C05	S2P4_B05	S2P4_H04	S2P4_F05	S2P4_D05	S2P4_G05	S2P4_H05	S2P4_C06	S2P4_B06	S2P4_D06	S2P4_G06	S2P4_E06	S2P4_F06	S2P4_A07	S2P4_H06	S2P4_B07	S2P4_D07	S2P4_F07	S2P4_C07	S2P4_E07
	0	0	0	0	18.75	18.75	18.75	18.75	37.5	37.5	37.5	75	75	75	75	150	150	150	300	300	300	600	600	600	600	1000	1000	1000	2000	2000	2000	2000
GALM_32658	6.55672004893576	6.68583348700459	6.79093927715816	6.35977284137529	6.87233610753544	7.20553265121587	6.6941088946976	6.61085549503415	6.47617081401624	6.6674526578875	6.78820628978482	6.91776725574497	7.45311070953701	6.52066720836053	6.53111182907264	6.6630016704429	6.75131714249631	6.38066468949403	6.57867755350257	7.32675138397773	6.82852490231994	6.88447174221199	6.03610775156116	6.45453878208015	6.9091091506939	7.09690992724287	6.36661855654244	6.60741248306722	6.52648925041635	6.92734162842835	6.72162707705339	6.75805869951985
PTGDR_33049	0.333612302098261	0	0.663285676558072	0	0	0	0	0.274280457659434	0	0.331217288140112	0	0	0.638442010071143	0.308432086925879	0.739317327781261	0.753319390481548	0.636411100334018	0	0	0.369818368953062	0	0.6322667565194	0	1.11355782620898	1.81384132054972	0	0.297461662100743	0	0	0	0.358143294406786	0
ATP6V0D1_33093	7.42784391388611	7.64961051000272	7.54389736316625	7.71451885177956	7.2785268566218	7.28460932788525	7.25194848361905	7.18674827028571	7.60823759289921	7.31235257190867	7.35870106293063	7.41624245147158	7.15368770151446	7.62504809366381	7.55786954594	7.24647170396328	7.56617221572365	7.33819475272201	7.5289662014433	7.31356208132192	7.48680574120658	7.23983308426799	7.47907239852332	7.48897406729972	7.3921828957921	6.84953754485761	7.35785015369323	7.35064417014099	7.4105917815888	6.33882559919865	7.07815090400479	6.82072934938869
DDX42_8455	6.27105690691469	6.23343748254877	6.74064267741661	6.52690545989835	6.51281239342861	6.39505440246667	6.9104158832795	6.27867278100946	6.37913117620498	6.3851518010932	6.36297550618161	6.96887882332007	6.20246591382408	6.94578625867574	6.61232005229377	7.26802496216351	6.94228732517565	6.49330527463332	6.37060240063895	6.98127693250891	6.5680269790326	6.65176520063488	6.61547861170774	6.63430164284341	6.68934415128047	6.57710134204065	6.47828221163944	6.26026272030909	5.99342406279212	6.21491414435517	6.40407275846524	7.04452573455743
PRPF4_9578	7.17603263175214	7.18364063766477	6.98623094206765	7.08285884734521	7.14096229288195	7.06156041485947	7.45810791662019	7.35856680732486	7.02011745156551	7.23290151017548	7.08929414317986	6.94638581865744	7.01776052856152	7.07127173811582	7.10386146865205	7.44118493334627	7.17319984174573	7.82078416184116	7.18223434682904	7.18040387715794	7.30543596160957	7.39638662832218	7.63949777107592	7.2752929798797	7.17391671270913	7.74079122672599	7.21618538375268	7.37402971241551	7.10471893104948	8.18846147969268	7.32375739365511	7.92356855053962
RPS6KA1_9748	0	0.424515935947464	1.7375747945281	0.717087194696959	1.04662232435859	0.776353164297992	0.22762737205994	0.877793733828994	1.10986186794242	1.19558206291132	1.01861927185679	0.312942318901804	0.638442010071143	1.28105530752981	0.290576062277543	1.24569863395793	1.07650084140269	1.08931480904322	0.647419004562702	0	0	0.867894605291706	0.966305182380682	0.661652020970263	1.17497249621102	0.719938492572148	0	0.978126099199742	0.897602231892082	0.616310675164224	0.64482577788744	0.590566574090024
SHB_9824	6.95184114793831	6.56592396346931	7.0918583586946	6.57641268580123	6.99190750434771	6.7883327553063	6.48705382152784	6.30565598633048	6.54936091069507	6.80032866216624	6.72314711908666	6.93500642676799	6.77172557544642	6.84768351862716	6.96647067319927	6.51582624417049	6.66329897720086	6.28375804691854	6.55859185415836	6.84857717092935	6.69670571730827	6.6238774200285	6.43242186422835	6.83514327483123	7.07307430331956	6.38195651717955	6.67861034379119	6.65678552437704	6.77407811560928	5.53296375244071	6.74834095740947	6.2063437854498
CEP57_8291	5.195448547277	5.08081635040412	5.27231071238142	4.97618154385737	5.24916678286038	5.38774023639731	4.94994806309094	4.68415160528706	4.95951494024577	5.09978342838833	5.20591120267238	5.32194313103316	5.25909779254076	4.87602444484649	4.84136647289481	4.75784137785377	4.77276864401532	4.19904689281419	5.06486148887848	5.29560945590958	5.24851244354072	5.23169719677996	4.31020550340859	4.91143513963828	5.24005319358202	4.91265137251841	4.67247515249642	4.97965997878979	4.44036832619825	4.48013593473926	5.12155537706493	4.77101801868501
INS1_32525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
