ID	S2P2_F03	S2P2_G03	S2P2_D03	S2P2_E03	S2P2_B04	S2P2_A04	S2P2_C04	S2P2_H03	S2P2_F04	S2P2_G04	S2P2_E04	S2P2_D04	S2P2_H04	S2P2_A05	S2P2_C05	S2P2_B05	S2P2_E05	S2P2_D05	S2P2_F05	S2P2_G05	S2P2_C06	S2P2_H05	S2P2_A06	S2P2_B06	S2P2_E06	S2P2_F06	S2P2_G06	S2P2_D06	S2P2_B07	S2P2_A07	S2P2_H06	S2P2_E07	S2P2_F07	S2P2_C07	S2P2_D07
	0	0	0	0	18.75	18.75	18.75	18.75	37.5	37.5	37.5	37.5	75	75	75	75	150	150	150	150	300	300	300	300	600	600	600	600	1000	1000	1000	2000	2000	2000	2000
ZFP36_10204	6.25405638915325	6.42198700996032	6.58425954963058	6.18867673023976	5.90270758283713	5.78489284576779	6.20705356494933	6.42110201422714	6.18678090430438	6.73344207573192	6.09029502423983	6.63911526391008	6.10811211368656	6.83177751887957	5.90250336792014	6.44828709803009	6.06467340074563	6.69237230102921	6.27940966985258	6.61281769795159	6.61238379016485	7.12933454875925	7.88208765765644	6.85151324853688	6.78342379830975	6.60850671806781	6.38614464340557	6.69786022249946	6.97184648940785	6.01155940354155	6.53933812100944	6.66689472631914	6.83109681755843	6.05754925657279	6.56659572565881
RT1-DMB_32359	4.56607331773219	3.51883628680329	4.79880796630311	4.19109407638305	4.34544155575763	3.88164621157444	4.0676997754983	4.06380982727469	3.60446832674861	4.1381141113826	4.3927782501436	4.25826515878499	3.60583100413233	4.24137825247009	3.67395927036695	4.45505019527948	3.69201256442742	4.09232441642655	3.36563292821158	4.07860226330195	4.0488717318344	3.39484751540837	3.2722983153775	3.97802681620038	3.62132885356806	3.70845676416524	3.55818288735208	4.09127070008671	3.26123359405282	4.20750133214721	3.16028835719982	2.8977061540261	2.92204343764207	2.86254004261419	3.1145931461841
RUVBL1_9768	4.81892109205918	4.54348168339241	4.59210109775807	4.19109407638305	4.76880545158046	4.43360833342805	4.58579136179053	4.31757462866979	4.94340210893384	4.55696167660231	4.4079648951906	4.59111787247949	3.95673443516197	4.60540014051628	4.80473789974268	4.46917585219656	4.82556750989465	4.67355969386704	4.04549744721358	4.27254959516971	4.6183890339546	3.85494085332344	3.89326005221277	4.17610689386985	3.9819453992388	4.27583452602288	4.57023928223397	3.70417444362365	3.79514734675156	4.76619644947981	4.10362717163978	4.06802983801322	4.67499359728557	4.56921354224791	4.41563867877223
S100A4_9772	4.9088323670024	3.47426028643441	3.33377912516049	3.32828070282726	3.32683021176682	3.71050720332768	3.64465190554275	3.25949631490981	4.43357745551048	3.99211694858621	4.10665517775943	4.49769094889826	3.44242726837865	5.80290463290346	3.19022813460728	4.33677119656805	3.49666921951483	4.19844173987391	3.23590140954607	3.3974671330571	3.80316586226286	2.82907074570505	2.46052189209537	2.78727832274763	3.07047655341514	3.31079224516645	3.58242652265144	3.85912666770276	2.63555886010344	4.3569417249723	3.3262352079211	2.64558995925481	2.18353101005391	3.41559550691459	4.16251808317298
MAOA_32516	3.62572734168632	3.96784638308882	3.5009299861569	3.69173600981974	3.72087433746759	3.33174474726874	3.54281936167453	3.63637105278823	3.46184127132887	3.88034916327466	3.65069929387982	3.73411360456009	3.8857992111826	3.72400103042455	3.8766161759642	3.97038270489661	3.63884607827219	3.89602634575205	3.79215950798111	4.52777506270605	4.0893744933818	3.83692227933927	3.95901849486272	4.07144605743548	4.67031859775712	3.94808137650412	4.10173091957777	4.25973227349524	4.48993215046968	3.67378360974415	4.05039649932121	4.87962634185203	4.44292685789236	5.2913245893071	4.76310819263973
FMO3_8654	10.9227791805295	10.8744094608243	10.4564256397719	10.5950001030578	10.5825416397269	10.4661293452744	10.6606951152632	10.6436757187769	10.8045881775463	10.5749025573426	10.556457297312	10.3319435364953	10.8552460485217	10.20298825546	10.4556212612644	9.89589222924173	10.4285046575646	10.2147785437941	10.797364113336	10.7692171691046	10.9421708481323	11.1882022245165	11.1283340815643	11.237437143957	10.6800286018626	10.6782946689447	10.410016814149	10.773054522631	10.434605980509	10.2309008510764	11.2058927832708	10.2413486803368	10.45858611839	10.4364544442417	10.1991390257662
IARS_33171	5.6175973799382	4.9538328715025	5.07100630034843	4.89611571658907	5.13935905506923	5.02686942377009	5.06133477105819	4.41745784638404	5.61730619977721	4.36861460247852	5.0545459754996	4.726703286418	4.120166658269	4.41662044786167	4.85890946440831	4.97401528654609	4.99380365019109	4.94147528452452	4.4187309899135	4.21560155417736	4.72506299257099	4.11627867874425	4.67805118437552	4.59642164136305	4.1247890841178	4.50987850919406	5.25280648591146	4.38163251127779	4.27820110727303	5.40378109722095	3.84691056354941	3.79751220613495	4.60170877957974	4.553241280358	4.79091060131267
CYP2B2_32473	6.76810499801287	9.10675094473403	7.1134897654994	9.00460737937774	8.60845426308305	8.98085674107489	7.43610571168622	8.80174891829808	8.64185524248664	9.7550194561009	8.3932768511193	9.59169253668446	9.42679457540733	9.06602319364153	9.06702846814016	8.77836760464434	8.35077496396653	9.34482639729289	9.22830708605458	8.97101095808809	9.56528072481138	9.03236454676345	9.2561771919498	10.0023054648352	10.5047579544873	10.3660850969604	9.05089288637599	9.23627035928737	11.2144418915779	10.2572852146618	10.8660831809568	11.7049097582661	11.7609319242428	13.1618766514334	13.5647497540687
ACMSD_32377	1.8962865706983	1.03297483093235	1.16254550671105	1.15917089651931	1.42263722701996	1.24730850576675	0.512157435924069	1.05106626972521	2.40424778721725	0.22584717917273	0.737159159588465	1.3284838656499	0.246404860600186	0.346444522692796	0.513759496708872	0.281914340143022	0.76674655034598	0.283319284089599	0	0.458404519077451	0.305241668007031	0.238289195880436	0	0	0.269715018885819	1.03546736196827	0.998617291878642	0	0.690131273474307	0	0.208751864973545	0.56360327540573	0	0.334994714226659	0.338207304270497
PAN2_9420	0.539785474576025	0.431619123480803	0.498598251675485	0.496816978003987	0.275118972741285	1.4053266236579	1.18811224793115	0.440796567871731	0	0.421077907176467	0.289594604697332	0.898130338611126	0	1.06052717673537	0.513759496708872	0.720209527623017	0.76674655034598	0.90146869734312	0.529289051882476	0.247332965983921	0.771358933660087	0	0	0.275997278515218	0.865743585434993	0	0.998617291878642	0.508159843424838	0.690131273474307	0.417982006447308	0	0.967841395104187	0.590809366655674	0	0.611993352237143
CHMP6_8311	4.29307685120153	2.27387705515761	3.5009299861569	3.26799013673847	3.16728844054302	3.1649617651898	1.83069668899915	3.02628154520797	4.01531039463184	1.89197145410901	1.78461471363379	2.22357984330885	1.51726232160256	2.26301255870263	2.51233445830731	2.52299882824408	3.08438820753317	2.08911672679709	1.87157041211219	1.3196675098603	2.10392003590416	1.38754850097127	0.759537140217916	0.707076274983019	1.61150132114004	2.05287933792594	1.48364881605646	1.6374594970265	2.31825814448523	2.88461567472442	1.26375032288428	1.28325084509458	1.17965665501376	2.2988318421996	1.51060407323301
SLC2A3_32965	1.23956240112358	0	0.498598251675485	1.61140097040974	0.880000159712288	1.06982928477077	1.43548211486809	0.440796567871731	1.71805130357821	0.74661814449958	0.737159159588465	0.898130338611126	0.803218262529112	1.23702330851099	0.279629341759767	0.720209527623017	0.76674655034598	1.06001853748084	0	0.247332965983921	0	0.442742949019666	1.25453041957147	0.275997278515218	0.865743585434993	1.03546736196827	1.37680964035864	0.707836149387341	0.690131273474307	0.417982006447308	0.55293156727843	0.56360327540573	0.325439057176436	0.334994714226659	0.338207304270497
CYBA_32388	5.09272383343428	3.56207616987892	5.07100630034843	4.37383243687591	4.82335215247657	4.57337984703425	4.24028504722577	4.51087128325448	4.71089402119139	4.40368967886447	4.36191678832657	4.6167365106547	3.99093560187966	4.69882693339657	4.05428040193897	4.77233253882898	4.46223924699104	4.16392935598213	3.88164037030086	3.90937029443197	3.41422345252214	3.18296017081096	3.71441910478982	3.72554337391581	3.46896296873059	4.1535168528545	4.33365373750223	4.29118647239755	3.62625933578589	4.2841556218147	3.02885982354658	3.29897865759395	3.5077787335851	2.96267717961654	3.80168143131793
GNAS_8729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.309150543868479	0	0	0
PSMD2_9598	4.1529122299009	2.71807500247905	3.00329327010663	2.75603168492829	3.52415068285594	3.07373429303892	2.50792013840334	2.8938212033413	4.11400551585061	2.34116904281859	2.85285968946008	2.15529488086142	1.85098454045655	2.55719460255832	2.45721142013152	2.81610785590841	2.31462740985372	2.08911672679709	2.03651202035	0.805740579991784	1.84473980066873	1.48332836640463	2.15857517719191	2.05743710079404	1.15925327415254	2.14135989802695	1.67617033959754	1.90478363086061	2.12890927397276	2.88461567472442	1.5964309139329	1.54192306676836	0.814867978043173	1.74517496953334	1.86467046849885
INPP1_8904	5.01387253615607	4.28418539701278	5.03512644145619	4.83508967892335	4.22094015429504	4.58993626701812	4.10390806735903	4.95501979472417	4.61303958933078	3.64657017175234	4.64432070316505	4.726703286418	3.5380537208683	4.81467028156047	4.32449269787898	4.35209735039522	4.38362193254685	4.59801424823838	4.15722783219568	3.90937029443197	4.0893744933818	3.68404890042404	3.32312735038816	3.99720087348724	3.9048440867991	4.4762517806041	4.015326105597	4.38163251127779	3.88773797625498	5.53504984715615	3.5148911352763	3.58411911348681	4.91170394682367	4.96897745284686	4.34237595872908
