ID	S1P3_G06	S1P3_A07	S1P3_H06	S1P3_F06	S1P3_D07	S1P3_C07	S1P3_E07	S1P3_B07	S1P3_H07	S1P3_F07	S1P3_A08	S1P3_G07	S1P3_B08	S1P3_D08	S1P3_E08	S1P3_C08	S1P3_A09	S1P3_F08	S1P3_H08	S1P3_C09	S1P3_B09	S1P3_E09	S1P3_D09	S1P3_A10	S1P3_H09	S1P3_F09	S1P3_G09	S1P3_D10	S1P3_C10	S1P3_E10	S1P3_B10	S1P3_G10	S1P3_H10	S1P3_A11	S1P3_F10
	0	0	0	0	7.8	7.8	7.8	7.8	15.6	15.6	15.6	15.6	31.25	31.25	31.25	31.25	62.5	62.5	62.5	125	125	125	125	250	250	250	250	500	500	500	500	1000	1000	1000	1000
LOC690911_9146	6.84064957177533	6.74434964831278	6.85595904117557	7.79571535163565	7.40610670974754	7.13361214619829	6.91070665620805	6.73368727923797	7.62344147731668	6.98301756090141	7.06622471850886	7.48616695564424	7.04063825914317	7.22167139154875	6.73361585899059	7.14772633873365	6.65747499967823	7.37218892039239	7.01533150040551	8.19908506348463	7.17524080830253	7.11655389626934	7.32234400349731	6.8884977994218	6.85805557482809	7.0382457193594	7.01277648328088	7.20953127814376	7.48399040099877	7.06608296251969	6.17043052559101	6.69763027391006	7.02688703028555	6.58246640385285	7.32355415775563
NFKB1_9305	6.7673113296415	7.10539906634735	7.24216356413234	6.73411127617123	6.2547995739453	6.48574327928599	6.46461730579257	6.34203311744503	7.81603049999659	6.27780639598019	6.62121569474513	7.36039426174983	7.56571771972634	6.84903299494181	6.26527262215037	6.94745947477207	7.08493548648885	6.53003718731053	6.56227690550625	7.79750351998012	6.60078404894051	6.34704779049673	7.19143518554383	6.68680818319354	6.33992430236804	7.20169222892045	7.17829336368798	7.31074614269455	6.28117604265218	6.20159343224299	7.27015717031784	7.20687161918163	7.76608447302291	6.67105876081538	7.61401477530179
CD33_33256	2.47108133079976	2.30271452010902	1.95715341160217	0.893257002513148	2.5088982340637	2.84980324471026	1.71623685624874	1.42588513102077	1.67369991554356	2.01195480260696	2.19750571789515	2.58243887390858	3.39539805775265	2.21732669093062	1.84917679144852	2.58113782628327	2.12731928477152	1.69135822195905	2.6754243300993	3.67806415712476	1.84646451318788	2.51148178492528	1.97186417695676	3.12580595957403	2.07534550510197	1.48116440613	1.98917534802326	1.05357587271321	2.11699887905871	1.45541297412404	2.20761808069134	2.57871677293976	3.09148199392687	2.65780157072376	2.46523570135078
CAMSAP2_8192	6.84778244825774	6.89102719493344	7.35655512583996	6.49451022255675	5.96086662058232	6.44893117382216	6.53030938542135	6.52492274062719	7.48918413454059	6.27073910755822	6.5722072349888	6.9932329485167	7.35355196634934	6.25271332361992	6.79690082121249	6.50325434075392	6.27361119427457	6.06463796801846	6.28578142339742	7.23618987200749	6.50976664355109	6.86047036838725	6.81444145684179	6.29784833026926	6.42633910818084	6.79923191102291	6.58561156903093	6.90737884922441	6.62807244510731	6.67322184374976	7.48211641474878	7.27022518026155	7.1542692926359	6.68175985911785	6.92768292256546
SLC25A24_9855	3.16237701717988	3.30029473114177	3.47123008393626	3.96117853379603	3.10840067970363	3.48029295523233	2.59185193012031	3.10275354572778	6.80838990513511	3.03633597142589	3.08280771236775	0.735754804205498	6.04188902343116	2.12747359154579	2.29408197630111	4.13009728467848	3.7391114115111	2.9427618928135	2.05989794776985	6.42660052008271	3.36065433321752	2.10146116522294	0.791344559548738	3.65459654747423	2.96089496880366	3.93865438975492	4.41727194685622	4.99257915106889	4.23282702135961	2.49729760825843	4.41667432079489	4.69323070470952	5.18433784440268	4.08169071874033	5.74031209136673
PFKL_9463	6.75218545702261	6.92255842213863	6.55051464348118	7.93869096906094	6.80156960305545	6.96786498831356	7.08598916255035	6.73368727923797	7.81000835418571	7.02981581047797	7.18062590482519	7.0230566779766	6.95567812547525	7.21350611645123	7.02546762699111	6.88038172532328	7.03639227573975	7.23250352386126	7.33997519965935	7.61137590569865	7.13773651217246	7.11655389626934	6.91395512489729	6.72420133906249	7.0913211418636	6.88045809913585	6.96947171496123	6.67907708415527	7.16407559401603	6.94889653389258	5.7888632338294	7.49901610401121	7.1918750702235	6.94422893075257	6.51480762331577
DCP1B_33178	4.70017649006571	4.81809102901093	4.03348796537851	6.30414911410237	5.51009468683869	5.92676752095278	5.36561439705521	4.25799299614521	5.74328916157532	4.61517772100901	5.05665752151664	5.20650642863864	6.08016974815975	4.91659486402993	5.32352071162989	5.26231514038252	5.01990012893595	5.00963765111633	4.51538571068654	6.07170159299888	5.22290094009131	4.37494404871504	4.57862775000882	4.88738228864398	4.97079503666397	5.494313049786	5.33842085059521	5.4603077779245	5.27908510149491	5.31876854429641	4.76758177504601	4.94694067004148	5.45566137105038	5.60870163351948	5.76451665175005
MCM2_9206	6.1586839570039	6.71313578541826	6.40268077473411	6.83506659063865	6.91459124527193	6.50380298120659	6.72367903184462	6.14119177350105	7.11232674208667	6.55877987174596	6.53548909660723	7.13995052462532	7.14815729276238	6.7546489468193	6.36735282324706	6.7360762146653	6.67343586293424	6.52005791810731	6.53787803845927	7.48306325093253	6.34181930300237	6.48974886319626	6.89045343285446	6.61468272994308	6.26149760352744	7.05389372391401	7.09118887888801	8.35124368811511	6.95357039508047	6.79139841007499	7.61122926429666	7.58250407557	7.66274316731802	8.34408773631725	8.22405524949292
IER3_8864	4.7313641426247	5.83434197352975	5.63022113540518	6.35036052808631	5.61740094525002	5.87220214428232	5.54583385505217	5.06482956250762	8.59780880910302	5.35091604263245	5.86764202275558	5.81294187583893	6.85439771860684	6.02282962642018	5.38472256320728	5.25055814677534	6.97332212043605	5.35100616157583	5.89044797785112	8.60544264270803	5.03983603848371	5.35640660559683	5.89372463031515	6.27643106895129	6.09810621296954	6.09527908827828	5.52280277485062	6.56896987169328	6.11742655738017	5.91264787754159	5.54508470084979	6.9698414615105	6.62655985085077	6.38707452902288	6.68297856855859
PANK1_9421	10.5992377986982	10.6486776232363	10.6735128060128	10.4461267140857	10.1874084718376	10.4859850535986	10.459093826187	10.5781959386158	10.1884338202442	10.5929821810341	10.3466601353691	10.3694757509409	10.3788203167724	10.3120974863189	10.7542082642189	10.8291418470467	10.5861701979106	10.2113503773661	10.0170602331602	9.84720157043331	10.5933764302701	10.5001371087395	10.3744307995157	10.3458416871611	10.1347764988331	10.4183330179105	10.4654837602527	10.2637540841448	9.88172915824397	10.213761232621	10.3360306173592	9.75489256998551	9.96273980738719	9.6626744876031	9.91254556039408
