ID	S5P3_D01	S5P3_E01	S5P3_F01	S5P3_G01	S5P3_E02	S5P3_D02	S5P3_F02	S5P3_H01	S5P3_B03	S5P3_H02	S5P3_A03	S5P3_G02	S5P3_C03	S5P3_D03	S5P3_F03	S5P3_E03	S5P3_H03	S5P3_A04	S5P3_G03	S5P3_B04	S5P3_D04	S5P3_F04	S5P3_E04	S5P3_C04	S5P3_A05	S5P3_H04	S5P3_G04	S5P3_B05	S5P3_D05	S5P3_F05	S5P3_C05	S5P3_E05	S5P3_A06	S5P3_H05	S5P3_G05
	0	0	0	0	1.5	1.5	1.5	1.5	3	3	3	3	6.25	6.25	6.25	6.25	12.5	12.5	12.5	12.5	25	25	25	25	50	50	50	50	100	100	100	100	200	200	200
EIF2AK2_8539	6.47566496134888	6.44504099193991	6.62143711619748	6.37474576201245	6.42162416454098	6.28684669575994	6.47391935212123	6.08705725586948	6.37977202769111	6.68956711562086	6.48807148234451	6.04739135756309	6.0927536181869	6.49869696960017	6.41822752972573	6.41546058932295	6.19213635983674	6.27809376164281	6.34918620847607	5.88188149087886	6.6133607443237	6.39654544217926	6.29392517876515	6.25726646694078	6.41599879619331	6.56720785218473	6.49225152952764	6.34232063095785	6.33494398010521	6.25309059889574	6.23367156897929	6.34103106128869	6.54585856534931	6.94910248729511	6.5836143092091
NR3C1_9361	7.56037635218684	7.85307592218507	7.92828606662655	7.83123135079204	7.99532309640016	7.91056757070962	7.91496635113411	7.63653485447088	7.82840334517041	7.89507675191739	7.6470693486483	7.75612654451962	7.9243655264269	7.76109411982229	7.68878998961486	7.91062828226138	7.73179398104799	7.85867940587138	7.75002282631318	7.89888757902257	7.75445783159499	7.84629323658319	7.81203333586586	7.78513954622685	7.80174428920444	7.78789485375258	7.81997610741509	7.80138413774227	7.6429154775149	7.82285221216269	7.79569716701192	7.7828905246128	7.95653808943442	7.5744617082296	7.70649088058559
TGFB3_10006	3.01050858697109	2.26054847998752	3.24406689139628	3.34466883540597	3.25931542817453	3.27994377573593	3.03113819209123	2.30452625929717	3.18203272178313	2.03005318894607	3.38188806286416	3.51960330789167	3.60116454087432	2.54695972165983	2.92540262757882	2.78355453389082	3.16490484369235	3.13232710055928	2.16057919033557	3.09355211241193	2.52826598041827	3.2023528911205	2.77623381306497	3.46221851868372	2.60703736973853	3.38656911049518	3.36786717532475	2.73196081031522	2.93428090111985	2.6270165161465	3.60277220208346	2.59946688902894	2.82805893125769	2.38579238343609	3.36242868079286
H2AFX_32900	2.51239288967183	3.8073794824644	2.8789134651644	3.37604901692673	3.73859604313587	3.50954284593759	2.86348767407115	2.78870202921516	2.59631645821491	2.92770648674613	3.11619796749151	3.3653177854326	2.95766429771718	3.3136515680031	3.20884044173892	3.00117324284726	2.88264102286623	3.36163083869252	2.94682255034288	2.49505785743551	2.52826598041827	3.2023528911205	3.34012948863352	3.09956888824846	3.28244305077446	2.56517998039685	3.28125760134505	3.51609364650102	3.51204280394364	3.37285126151036	3.46390353473408	2.55578907959976	3.34365954596833	2.4881341676252	3.39816081785874
MYH1_33199	0.556371189622004	0	0	0.290881100088043	0	0	0	0	0	0.526669677118178	0	0	0.284921080216169	0.246478921234387	0	0	0.262094455913589	0.517610643709911	0.300295030633539	0	0.226895087722421	0	0	0	0	0	0.679441199974605	0	0	0.261992319808971	0	0.239687228247465	0	0.253511249947277	0.331026992087344
ARPC1B_32419	7.84357504554863	8.19457803779002	7.87068426559199	8.16008359750972	7.87821517246122	8.14895059730436	7.88243704902541	8.23567428436248	7.94429586918541	8.05658959998808	7.92720622618617	8.14796387732884	8.31600975667479	8.35578429099078	8.17386637584991	8.0605179457602	8.07011860882256	7.98078221647926	7.80777958006406	7.9555755418916	7.61728101794903	7.93508398857244	8.07625086796767	7.9462188344334	8.37615070677359	7.77424680634557	8.09533504530757	8.11212079862167	8.13857508256323	8.04251918120526	8.10000433115444	8.00417756389572	7.95653808943442	7.82356600999261	7.98873151577465
LGMN_8994	12.8379412296833	13.2207448501495	13.4886138063817	13.4515367539443	13.4058777417968	13.2925937312501	13.3467891930054	13.0030107280118	13.3297528211672	13.1182702865219	13.2690363704395	13.3639660100271	13.0632228207877	13.3339962013835	13.2628406315182	13.4687118477756	13.070231961762	13.3894388711368	13.1541371958191	13.5072689469807	13.5710904959346	13.2052249148689	13.216667796832	12.9756658324516	13.5401162138829	13.4949306921891	13.3595360986183	13.4172813874488	13.5127433623554	13.5036106524448	13.4929393386943	13.1023662240904	13.3256626676797	12.8096060627205	12.9282846597464
TERT_9999	2.10230859640326	1.05890744293289	1.37238927237947	2.50871549932162	2.44867586253598	1.59011523554094	2.19763639769495	2.30452625929717	1.88438297911684	2.03005318894607	2.42852489803046	1.11314394429359	1.94053024203792	1.517569214025	1.79652354157478	1.92698747595265	2.19721485994293	1.92800456923889	2.00293675256605	1.45368398349277	2.13955812074848	1.37900810249016	1.73995460669714	2.25876401294121	1.77610654941387	1.86722796286174	1.89018864946794	1.82359076728352	2.18375143220649	1.92138659831954	1.87804775903258	1.57922997070532	1.90517039453858	1.80626808927267	1.93997634760924
SPRED2_9931	6.52072348718439	6.52358811821495	6.4130601916192	6.82765588062602	6.45585133217238	6.65150138914829	6.38382958370153	6.47031168077741	6.45916324305984	6.5129059206	6.60312521915582	6.51927292971158	7.12339566333217	6.66684820531224	6.5189565095194	6.65094288201964	6.83989035981389	6.46941737214113	6.5298443985492	6.54628234503849	6.12529293664373	6.56151310339085	6.54234651526567	6.86515969817179	6.55643299457633	6.48428622325403	6.86035388408584	6.71207113853719	6.68158138344284	6.47923304942744	6.73732228328211	6.43141738004589	6.57846027779885	6.40853970112935	6.64066369765179
PAH_9415	12.2959191025391	12.7064235322923	13.0726206152845	13.0890075789	12.7863290065755	12.828764303237	12.7601873566309	12.5246305740069	12.6514066137751	12.4583812128274	12.8153417754404	12.6896957761419	12.6674829544348	12.7673766320814	12.7493328264831	12.9960263911097	12.701106945615	12.9543272172951	12.6189243301571	13.0109331257648	13.2406775902215	12.8277919417456	12.8079210688071	12.8060972202104	13.2709310794025	12.9953673750201	12.7195242423214	12.8275018855329	12.8469340514809	12.9576083950005	13.152988285533	12.6282039669041	12.7563746952747	12.4986500432327	12.5669534905483
LHB_8996	0.556371189622004	0	1.0421725988601	0.290881100088043	0.425471550953296	0	0.534469024223522	0	0.224345171039488	0	0	1.11314394429359	0.52274601760282	0.803419639924169	0.270411459010584	0.35643721039761	0.262094455913589	0.281895441170548	0	0.367196946252459	0.422907967178171	0.263168885831659	0	0.290064428054168	0.978197410919069	0	0.679441199974605	0	0.528988090291546	0	0.290402110028291	0.239687228247465	0	0	0.331026992087344
ECHS1_8519	11.9911399670185	11.9143492810776	11.8787584651344	12.0258577976306	12.0130638220619	12.1047649586696	11.8785848746445	11.927682238889	11.8869904795211	12.0448966298648	11.7864771428009	12.0377801401299	12.1523337467703	11.9288666411656	11.8810076741757	11.8202101293846	12.1154325387586	11.7593980147018	12.0199984443446	11.832246035286	11.8771011280819	11.8715564800205	12.0834185450869	11.7212642567829	11.9787855653312	11.8708774044091	12.0726610556138	11.8911315398222	11.9897407608088	11.9215157364182	11.9855724318666	11.9911705907885	11.9831800713134	12.0203928026995	12.1164671443865
SAT1_32312	11.0619372285002	11.0483997801661	11.0883816968945	11.1403254643259	11.0473634121326	10.9587601435164	11.002830949801	11.0130241346225	10.9889776689376	11.1552380218768	11.140566695173	11.0998276475686	11.0137569617219	10.941999215204	10.7038544912523	10.9316930462383	10.9858757185058	10.6950930408468	10.9106872974222	10.8600100980769	11.4782996477087	10.8020295779515	10.9637850060064	10.9594399103969	10.7770616255719	11.0823238193413	11.2386440655601	10.7675000904692	10.8998369935464	10.9928936531603	10.7943586495586	10.8372437351423	10.7223821515074	11.5081585836272	10.7903697416918
PSME3_32872	8.59743581496937	8.72808860915135	8.50287160423322	8.66930302251194	8.72535614580412	8.76036376315822	8.73653763577017	8.61851465867092	8.68541672615067	8.81227572486876	8.54869859885634	8.74106810583133	8.90899575933946	8.61493434590724	8.67222591127573	8.65926322552525	8.66537521980969	8.62583546233561	8.7255301313865	8.62956720376135	8.84226576513555	8.69359457806233	8.72592689045101	8.80647205991784	8.69425701223987	8.59085764948097	8.73767215048113	8.65703046501586	8.7353871358262	8.59292134355986	8.7690414466167	8.60578989715006	8.78528960834537	8.77617956276584	8.75218455631664
LRRC16A_9159	5.40632499307615	5.66772886106429	5.6513009702015	5.63512785152275	5.78648661873845	5.63205696050977	5.87884200090761	5.59337245556104	5.34717881182907	5.72766957838494	5.29847457516284	5.46064814244608	5.87924156706258	5.65986728905279	5.81374722612202	5.37982017889961	5.59140317188929	5.68030583532041	5.44549173702853	5.63499528415077	5.44554077349869	5.55537838473259	5.5931440112514	5.94422612782954	5.65040910919749	5.55937691256723	5.64454345222257	5.79338987081434	6.04192866848936	5.76468017622905	5.6709470013455	5.62224767678749	5.65591174233774	5.49159765333158	5.77201678122306
