ID	S5P1_D01	S5P1_E01	S5P1_G01	S5P1_F01	S5P1_F02	S5P1_D02	S5P1_H01	S5P1_E02	S5P1_H02	S5P1_A03	S5P1_G02	S5P1_B03	S5P1_E03	S5P1_D03	S5P1_C03	S5P1_F03	S5P1_H03	S5P1_B04	S5P1_A04	S5P1_G03	S5P1_E04	S5P1_F04	S5P1_C04	S5P1_D04	S5P1_G04	S5P1_A05	S5P1_H04	S5P1_B05	S5P1_D05	S5P1_F05	S5P1_E05	S5P1_C05	S5P1_G05	S5P1_A06	S5P1_H05
	0	0	0	0	1.5	1.5	1.5	1.5	3	3	3	3	6.25	6.25	6.25	6.25	12.5	12.5	12.5	12.5	25	25	25	25	50	50	50	50	100	100	100	100	200	200	200
SNX13_9912	7.55211568735146	7.24568126454335	7.83262383974286	7.30100399800074	7.43593568822452	7.61958352120372	7.39660509777663	7.32277814374626	7.51278564277967	7.30253446593848	7.53878336222086	7.20761202605765	7.46016113819978	7.42374777756622	7.39907714394023	7.30127582007061	7.2619538122114	7.35270575116231	7.31574433874978	7.53271511289354	7.45040442877202	7.36907087987161	7.32687462981013	7.37552020321732	7.47436205059354	7.56332484986295	7.25185209649538	7.35116988473229	7.2412890549956	7.40892056841163	7.3732487970853	7.45696024812203	7.65569612558418	7.37234723812027	7.4538082233819
MYBL2_9270	0	0	0	0.484105168533292	0.439817162040278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHAT_32514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.286556454534777	0	0	0	0
KCNG1_32546	0	0	0.534593025020303	0	0	0.268893031773287	0.469025724372832	0	0	0	0	0	0	0.342526496099085	0	0	0	0.466066456872002	0.204058587846758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COL4A1_8355	0.480786491644215	0	0	0	0	0.863567347768762	0.253489769400563	0.303701008642638	0	0.265609451217416	0.908081096336332	0	0.9646357713337	0	0	0.40470027374863	0.947030653986434	0	0.38279875515694	0.91981274035498	0.63202940075573	0.26349567572579	0.4858134502645	0.456895904161866	0	0.760647105094292	0.50354610136268	0.340805192006071	0.466718324396731	0.983815253352676	0.90988968972517	0.507898835697191	0	0.697305583615265	0.598560032211159
NRP1_9366	4.82220963787766	4.48272993081215	4.82581319773278	4.59249569330037	4.46136564774088	4.82015014926072	4.42983889359489	4.76777972911351	4.59615398752817	4.74816081313901	5.06316946765675	4.76639852522202	4.78889349905223	4.69608792782935	4.48116959766321	4.23340968571619	4.26668996143809	4.77148034848839	4.65292084489221	4.9275030532357	4.775455435515	4.5995863839212	4.59823199744063	4.56850089363279	5.0182458350951	4.81125344260284	4.38131534144179	4.65810600556728	4.27308267190851	4.57760479976671	4.84224511458567	4.5199720931131	4.73933642403341	4.39878232345946	4.56224222142523
HIST1H2BF_33070	7.49948255393144	7.38232032897165	6.91061160493528	7.31912817989142	7.27924129624933	7.23030684653876	6.80273898838922	7.10434557885275	6.72244804129418	7.27266961657109	7.2204904564371	7.42372252187438	7.34244135007942	6.75025970029042	7.26488871262768	6.00323570295728	6.96254991523138	7.36610687101735	6.77653977597855	7.13522302750722	6.7889752794862	6.98915455648057	7.14293943039658	7.55916095977066	7.04914596910258	7.03149249980449	7.32883582934417	6.91777131080717	7.26477046411301	6.97444969949143	7.32266035792784	7.30932781821499	7.1659184034435	7.33766220533369	6.88555751601715
PPP1R3A_32479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MRPL12_9245	7.37094678391387	7.41454963422903	7.15267063795396	7.19899307091435	7.27592708265245	7.26146437789715	7.11209902532771	7.19940853062649	7.00882730025889	7.67779662113008	7.69137062248175	7.81193556218613	7.79597600031846	7.06229130674931	7.40153921321771	6.42899730558916	7.1087333755895	7.75283780357619	7.23219579922469	7.14888749549499	6.7793805776864	7.37778819784139	7.20493626900164	7.66888611677068	7.44625484262663	7.40981494475994	7.63652982070324	7.32743116330183	7.57184629595278	7.18489883467751	7.4907026683746	7.65872827437155	7.14715652637466	7.74676244527318	7.09539681258187
